Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae 342 - ortholog count (reference : comparison)	Klebsiella pneumoniae 342 - ortholuge status	Klebsiella pneumoniae 342 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog NCBI RefSeq accession	Escherichia coli str. K-12 substr. MG1655 - ortholog count (reference : comparison)	Escherichia coli str. K-12 substr. MG1655 - ortholuge status	Escherichia coli str. K-12 substr. MG1655 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae KCTC 2242 - ortholog count (reference : comparison)	Klebsiella pneumoniae KCTC 2242 - ortholuge status	Klebsiella pneumoniae KCTC 2242 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog NCBI RefSeq accession
397675040	RVBD_3112	WP_003899918.1	molybdopterin converting factor subunit 1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_415305.1	0	N/A		0	N/A		0	N/A	
397675041	RVBD_3113	WP_003912074.1	HAD hydrolase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675042	RVBD_3114	WP_003906986.1	hypothetical protein	1 to 1	RBB	WP_009486224.1	1 to 1	RBB	WP_012540957.1	1 to 1	RBB	WP_009486224.1	0	N/A		1 to 1	RBB	WP_004899702.1	1 to 1	RBB	WP_009486224.1	1 to 1	RBB	YP_005228103
397675043	RVBD_3115	WP_003901078.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675044	RVBD_3116	WP_003899922.1	molybdopterin biosynthesis protein MoeB	1 to 1	SSD	WP_014907906.1	2 to 1	RBB	WP_012541141.1	1 to 1	RBB	WP_004141998.1	2 to 1	RBB	NP_415347.1	1 to 1	RBB	WP_004176736.1	1 to 1	RBB	WP_014907906.1	1 to 1	RBB	YP_005225993
397675045	RVBD_3117	WP_003404293.1	thiosulfate sulfurtransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675046	RVBD_3118	WP_003404278.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675047	RVBD_3119	WP_003899923.1	molybdopterin synthase catalytic subunit	1 to 2	RBB	WP_002895674.1	2 to 1	SSD	WP_008805750.1	2 to 1	RBB	WP_002895674.1	2 to 1	RBB	NP_415306.1	2 to 1	RBB	WP_004223773.1	2 to 1	RBB	WP_002895674.1	2 to 1	RBB	YP_005225941
397675048	RVBD_3120	WP_003899924.1	methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675049	RVBD_3121	WP_003917126.1	cytochrome P450 141 cyp141	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675050	RVBD_3122	WP_003900634.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675051	RVBD_3123	WP_003901547.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675052	RVBD_3124	WP_003900636.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675053	RVBD_3125c	WP_003899929.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675054	RVBD_3126c	WP_003899930.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675055	RVBD_3127	WP_003416354.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675056	RVBD_3129	WP_003416360.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675057	RVBD_3130c	WP_003899932.1	acyltransferase, WS/DGAT/MGAT	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675058	RVBD_3131	WP_003416362.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675059	RVBD_3132c	WP_003899933.1	redox sensor histidine kinase response regulator devS	1 to 1	RBB	WP_004175566.1	1 to 1	RBB	WP_012541350.1	1 to 1	RBB	WP_015958611.1	2 to 2	RBB	NP_415740.1;NP_416964.1	1 to 1	RBB	WP_004175566.1	1 to 1	RBB	WP_004175566.1	1 to 1	RBB	YP_005227512
397675060	RVBD_3133c	WP_003416369.1	transcriptional regulatory protein devR (dosR)	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675061	RVBD_3134c	WP_003416373.1	universal stress protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675062	RVBD_3135	WP_003906988.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675063	RVBD_3136	WP_003416381.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675064	RVBD_3136Ac	YP_006516599	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675065	RVBD_3137	WP_003917127.1	histidinol-phosphatase	1 to 1	RBB	WP_004178995.1	1 to 1	RBB	WP_008805602.1	1 to 1	RBB	WP_004178995.1	0	N/A		1 to 1	RBB	WP_004151655.1	1 to 1	RBB	WP_004178995.1	1 to 1	RBB	YP_005225767
397675066	RVBD_3138	WP_003899934.1	pyruvate formate lyase activating enzyme	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675067	RVBD_3139	WP_003900638.1	acyl-CoA dehydrogenase fadE24	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675068	RVBD_3140	WP_003899936.1	acyl-CoA dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675069	RVBD_3141	WP_003416403.1	NADPH2:quinone reductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675070	RVBD_3142c	WP_003416407.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675071	RVBD_3143	WP_003416410.1	response regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675072	RVBD_3144c	WP_003913805.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675073	RVBD_3145	WP_003416417.1	NADH-quinone oxidoreductase subunit A	1 to 1	SSD	WP_002913181.1	1 to 1	RBB	WP_002913181.1	1 to 1	SSD	WP_002913181.1	1 to 1	RBB	NP_416791.3	1 to 1	RBB	WP_002913181.1	1 to 1	RBB	WP_002913181.1	1 to 1	SSD	YP_005228045
397675074	RVBD_3146	WP_003416420.1	NADH-quinone oxidoreductase subunit B	1 to 1	SSD	WP_002913178.1	1 to 1	SSD	WP_002913178.1	1 to 1	SSD	WP_002913178.1	1 to 1	RBB	NP_416790.1	1 to 1	RBB	WP_002913178.1	1 to 1	SSD	WP_002913178.1	1 to 1	SSD	YP_005228044
397675075	RVBD_3147	WP_003416425.1	NADH-quinone oxidoreductase subunit C	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675076	RVBD_3148	WP_003416430.1	NADH-quinone oxidoreductase subunit D	1 to 1	SSD	WP_004195340.1	1 to 1	SSD	WP_032691440.1	1 to 1	SSD	WP_004195340.1	1 to 1	RBB	NP_416789.2	1 to 1	RBB	WP_004195340.1	1 to 1	SSD	WP_004195340.1	1 to 1	SSD	YP_005228043
397675077	RVBD_3149	WP_003416434.1	NADH-quinone oxidoreductase subunit E	1 to 1	RBB	WP_002913160.1	1 to 1	SSD	WP_002913160.1	1 to 1	RBB	WP_002913160.1	1 to 1	RBB	NP_416788.1	1 to 1	RBB	WP_002913160.1	1 to 1	SSD	WP_002913160.1	1 to 1	RBB	YP_005228042
397675078	RVBD_3150	WP_003416439.1	NADH-quinone oxidoreductase subunit F	1 to 1	RBB	WP_002913158.1	1 to 1	SSD	WP_002913158.1	1 to 1	SSD	WP_002913158.1	1 to 1	RBB	NP_416787.1	1 to 1	RBB	WP_014599225.1	1 to 1	SSD	WP_002913158.1	1 to 1	SSD	YP_005228041
397675079	RVBD_3151	WP_003916519.1	NADH-quinone oxidoreductase subunit G	1 to 1	RBB	WP_015875066.1	1 to 1	RBB	WP_008803947.1	1 to 1	RBB	WP_004149179.1	1 to 1	RBB	NP_416786.4	1 to 1	RBB	WP_014599224.1	1 to 1	RBB	WP_015875066.1	1 to 1	RBB	YP_005228040
397675080	RVBD_3152	WP_003416445.1	NADH-quinone oxidoreductase subunit H	1 to 1	SSD	WP_002913156.1	1 to 1	RBB	WP_002913156.1	1 to 1	SSD	WP_002913156.1	1 to 1	RBB	NP_416785.1	1 to 1	RBB	WP_002913156.1	1 to 1	RBB	WP_015875065.1	1 to 1	SSD	YP_005228039
397675081	RVBD_3153	WP_031647147.1	NADH-quinone oxidoreductase subunit I	1 to 1	RBB	WP_002913152.1	1 to 1	RBB	WP_008803948.1	1 to 1	SSD	WP_002913152.1	1 to 1	RBB	NP_416784.1	1 to 1	RBB	WP_014599223.1	1 to 1	RBB	WP_002913152.1	1 to 1	SSD	YP_005228038
397675082	RVBD_3154	WP_003416449.1	NADH dehydrogenase I subunit J	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675083	RVBD_3155	WP_003416452.1	NADH-quinone oxidoreductase subunit K	1 to 1	SSD	WP_002913148.1	1 to 1	RBB	WP_002913148.1	1 to 1	SSD	WP_002913148.1	1 to 1	RBB	NP_416782.1	1 to 1	RBB	WP_002913148.1	1 to 1	RBB	WP_002913148.1	1 to 1	SSD	YP_005228036
397675084	RVBD_3156	WP_003900642.1	NADH-quinone oxidoreductase subunit L	1 to 1	SSD	WP_004151106.1	1 to 1	RBB	WP_012540986.1	1 to 1	SSD	WP_004140895.1	1 to 1	RBB	NP_416781.1	1 to 1	RBB	WP_004899579.1	1 to 1	RBB	WP_004151106.1	1 to 1	SSD	YP_005228035
397675085	RVBD_3157	WP_003900643.1	NADH-quinone oxidoreductase subunit M	1 to 1	SSD	WP_014907161.1	1 to 1	RBB	WP_008803950.1	1 to 1	SSD	WP_002913146.1	1 to 1	RBB	NP_416780.1	1 to 1	RBB	WP_002913146.1	1 to 1	RBB	WP_014907161.1	1 to 1	SSD	YP_005228034
397675086	RVBD_3158	WP_003900644.1	NADH-quinone oxidoreductase subunit N	1 to 1	SSD	WP_004151107.1	1 to 1	RBB	WP_008803951.1	1 to 1	SSD	WP_004151107.1	1 to 1	RBB	NP_416779.2	1 to 1	RBB	WP_014599222.1	1 to 1	RBB	WP_004151107.1	1 to 1	SSD	YP_005228033
397675087	RVBD_3159c	WP_003906993.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675088	RVBD_3160c	WP_003416573.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675089	RVBD_3161c	WP_003900647.1	oxidoreductase	1 to 1	RBB	WP_002898571.1	1 to 1	RBB	WP_008805921.1	1 to 1	Borderline-SSD	WP_002898571.1	1 to 1	RBB	NP_416316.1	1 to 1	RBB	WP_004224049.1	1 to 1	RBB	WP_002898571.1	1 to 1	Borderline-SSD	YP_005226186
397675090	RVBD_3162c	WP_003900648.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675091	RVBD_3163c	WP_003416584.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675092	RVBD_3164c	WP_003416588.1	MoxR-like ATPase	1 to 2	RBB	WP_004151555.1	2 to 1	RBB	WP_012543299.1	2 to 1	RBB	WP_004151555.1	2 to 1	RBB	NP_418202.4	2 to 1	RBB	WP_004151555.1	2 to 1	RBB	WP_004151555.1	2 to 1	RBB	YP_005224305
397675093	RVBD_3165c	WP_003416593.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675094	RVBD_3166c	WP_003900649.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675095	RVBD_3167c	WP_003416599.1	TetR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675096	RVBD_3168	WP_003900650.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675097	RVBD_3169	WP_031647150.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675098	RVBD_3170	WP_003416607.1	monoamine oxidase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675099	RVBD_3171c	WP_010924623.1	peroxiredoxin	0	N/A		1 to 1	RBB	WP_008804155.1	0	N/A		1 to 1	RBB	NP_415212.1	0	N/A		0	N/A		0	N/A	
397675100	RVBD_3172c	WP_003917749.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675101	RVBD_3173c	WP_003416617.1	TetR/AcrR family transcriptional regulator	1 to 1	RBB	WP_004176128.1	1 to 1	RBB	WP_012541693.1	1 to 1	RBB	WP_004176128.1	4 to 1	RBB	NP_415533.1	1 to 1	RBB	WP_004176128.1	1 to 1	RBB	WP_004176128.1	1 to 1	RBB	YP_005227000
397675102	RVBD_3174	WP_003900652.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675103	RVBD_3175	WP_003416624.1	amidase	1 to 1	RBB	WP_001297937.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675104	RVBD_3176c	WP_003416627.1	microsomal epoxide hydrolase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675105	RVBD_3177	WP_003416628.1	peroxiredoxin	1 to 1	RBB	WP_004180471.1	0	N/A		1 to 1	RBB	WP_004180471.1	0	N/A		1 to 1	RBB	WP_004180471.1	1 to 1	RBB	WP_004180471.1	1 to 1	RBB	YP_005227809
397675106	RVBD_3178	WP_003416632.1	deazaflavin-dependent nitroreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675107	RVBD_3178A	YP_006516642	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675108	RVBD_3179	WP_003416640.1	ATPase AAA+ superfamily protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675109	RVBD_3180c	WP_003899952.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675110	RVBD_3181c	WP_003899953.1	prevent-host-death family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675111	RVBD_3182	WP_003899954.1	hypothetical protein	0	N/A		2 to 1	RBB	WP_012540399.1	2 to 1	RBB	WP_015959099.1	0	N/A		0	N/A		0	N/A		2 to 1	RBB	YP_005229245
397675112	RVBD_3183	WP_003899955.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675113	RVBD_3184	WP_003899493.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A		16 to 1	RBB	WP_004222278.1	0	N/A		16 to 1	RBB	YP_005225151
397675114	RVBD_3185	WP_003899492.1	transposase	4 to 16	RBB	WP_004146689.1	16 to 1	SSD	WP_012543023.1	16 to 4	RBB	WP_004146689.1;WP_015958955.1	16 to 6	RBB	NP_414833.1;NP_414906.1;NP_415073.1;NP_415545.1;NP_416593.1;NP_418015.1	16 to 7	RBB	WP_004146689.1;WP_004222280.1;WP_014599215.1	16 to 4	RBB	WP_004146689.1	16 to 7	RBB	YP_005224653;YP_005225150;YP_005225191;YP_005225696;YP_005225762;YP_005226399;YP_005229359
397675115	RVBD_3186	WP_003899493.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A		16 to 1	RBB	WP_004222278.1	0	N/A		16 to 1	RBB	YP_005225151
397675116	RVBD_3187	WP_003899492.1	transposase	4 to 16	RBB	WP_004146689.1	16 to 1	SSD	WP_012543023.1	16 to 4	RBB	WP_004146689.1;WP_015958955.1	16 to 6	RBB	NP_414833.1;NP_414906.1;NP_415073.1;NP_415545.1;NP_416593.1;NP_418015.1	16 to 7	RBB	WP_004146689.1;WP_004222280.1;WP_014599215.1	16 to 4	RBB	WP_004146689.1	16 to 7	RBB	YP_005224653;YP_005225150;YP_005225191;YP_005225696;YP_005225762;YP_005226399;YP_005229359
397675117	RVBD_3188	WP_003899956.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675118	RVBD_3189	WP_003899957.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675120	RVBD_3190A	WP_003416778.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675121	RVBD_3190B	YP_006516656	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675119	RVBD_3190c	WP_003912135.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675122	RVBD_3191c	WP_003416786.1	transposase	0	N/A		0	N/A		0	N/A		1 to 3	RBB	NP_414790.1;NP_415922.1;NP_418704.1	0	N/A		0	N/A		0	N/A	
397675123	RVBD_3192	WP_003416793.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675124	RVBD_3192A	YP_006516659	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675125	RVBD_3193c	WP_003899961.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675126	RVBD_3194c	WP_003416799.1	PDZ domain-containing protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675127	RVBD_3195	WP_003912138.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675128	RVBD_3196	WP_021082912.1	bacteriocin biosynthesis cyclodehydratase domain-containing protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675129	RVBD_3196A	WP_015456486.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675130	RVBD_3197	WP_003416815.1	ABC transporter ATP-binding protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675131	RVBD_3197A	WP_003899963.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675133	RVBD_3198A	WP_003416827.1	glutaredoxin-like protein	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_418067.1	0	N/A		0	N/A		0	N/A	
397675132	RVBD_3198c	WP_003912141.1	DNA helicase II/ATP-dependent DNA helicase PcrA	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675134	RVBD_3199c	WP_003899965.1	NADH pyrophosphatase	1 to 1	RBB	WP_002884327.1	1 to 1	RBB	WP_008807994.1	1 to 1	RBB	WP_002884327.1	1 to 1	RBB	YP_026280.1	1 to 1	RBB	WP_002884327.1	1 to 1	RBB	WP_002884327.1	1 to 1	RBB	YP_005224515
397675135	RVBD_3200c	WP_003899966.1	NAD+ diphosphatase	2 to 1	RBB	WP_004150031.1;WP_004145992.1	1 to 2	RBB	WP_008807038.1;WP_012542877.1	1 to 2	RBB	WP_004145992.1;WP_015959084.1	1 to 1	RBB	NP_415766.1	1 to 2	RBB	WP_004222636.1;WP_004150031.1	1 to 2	RBB	WP_004145992.1;WP_004150031.1	1 to 2	RBB	YP_005225056;YP_005229186
397675136	RVBD_3201c	WP_003416833.1	DNA helicase II/ATP-dependent DNA helicase PcrA	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675138	RVBD_3202A	WP_003907005.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675137	RVBD_3202c	WP_003899967.1	ATP-dependent DNA helicase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675139	RVBD_3203	WP_003899968.1	lipase lipV	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675140	RVBD_3204	WP_003917132.1	methyltransferase	1 to 1	RBB	WP_004142687.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675141	RVBD_3205c	WP_003416850.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675142	RVBD_3206c	WP_003416855.1	molybdopterin biosynthesis protein MoeB	0	N/A		2 to 1	RBB	WP_012541141.1	0	N/A		2 to 1	RBB	NP_415347.1	0	N/A		0	N/A		0	N/A	
397675143	RVBD_3207c	WP_003900656.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675144	RVBD_3208	WP_003416861.1	TetR family transcriptional regulator	0	N/A		0	N/A		0	N/A		4 to 1	RBB	NP_415533.1	0	N/A		0	N/A		0	N/A	
397675145	RVBD_3208A	WP_003416863.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675146	RVBD_3209	WP_003416868.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675147	RVBD_3210c	WP_003416873.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675148	RVBD_3211	WP_003416875.1	ATP-dependent RNA helicase rhlE	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675149	RVBD_3212	WP_003416876.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675150	RVBD_3213c	WP_003917133.1	chromosome partitioning protein	0	N/A		2 to 1	RBB	WP_008804300.1	2 to 1	RBB	WP_002910900.1	0	N/A		2 to 1	RBB	WP_002910900.1	0	N/A		0	N/A	
397675151	RVBD_3214	WP_003416878.1	phosphoglycerate mutase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_005227036
397675152	RVBD_3215	WP_003416879.1	isochorismate synthase	1 to 1	RBB	WP_014907941.1	1 to 1	RBB	WP_012542487.1	1 to 1	RBB	WP_004176916.1	1 to 1	RBB	NP_415125.1	1 to 1	RBB	WP_014599079.1	1 to 1	RBB	WP_014907941.1	1 to 1	RBB	YP_005225746
397675153	RVBD_3216	YP_006516688	hypothetical protein	1 to 1	RBB	WP_002910717.1	1 to 1	RBB	WP_012541306.1	1 to 1	RBB	WP_002910717.1	0	N/A		1 to 1	RBB	WP_002910717.1	1 to 1	RBB	WP_002910717.1	1 to 1	RBB	YP_005227588
397675155	RVBD_3217Ac	YP_006516690	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675154	RVBD_3217c	WP_003416881.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675156	RVBD_3218	WP_003416883.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675157	RVBD_3219	WP_003416884.1	transcriptional regulator whib-like whiB1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675158	RVBD_3220c	WP_003416886.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675160	RVBD_3221A	WP_003416891.1	anti-sigma factor	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675159	RVBD_3221c	WP_003416887.1	biotinylated protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675161	RVBD_3222c	WP_003899976.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675162	RVBD_3223c	WP_003900660.1	RNA polymerase sigma-E factor	1 to 1	RBB	WP_002914074.1	1 to 1	RBB	WP_002914074.1	1 to 1	RBB	WP_002914074.1	1 to 1	RBB	NP_417068.1	1 to 1	RBB	WP_002914074.1	1 to 1	RBB	WP_002914074.1	1 to 1	RBB	YP_005228270
397675163	RVBD_3224	WP_003416899.1	citronellol/citronellal dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675164	RVBD_3224A	WP_003416901.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675165	RVBD_3224B	WP_003416902.1	hypothetical protein	1 to 1	RBB	YP_006637596	1 to 1	RBB	WP_004204728.1	1 to 1	RBB	WP_002892205.1	1 to 1	RBB	NP_415014.1	1 to 1	RBB	WP_002892205.1	1 to 1	RBB	WP_002892205.1	1 to 1	RBB	YP_005225510
397675166	RVBD_3225c	WP_003899979.1	hypothetical protein	1 to 1	RBB	WP_004140943.1	0	N/A		1 to 1	RBB	WP_004140943.1	0	N/A		1 to 1	RBB	WP_004140943.1	1 to 1	RBB	WP_004140943.1	1 to 1	RBB	YP_005228063
397675167	RVBD_3226c	WP_003416907.1	hypothetical protein	1 to 1	SSD	WP_014907646.1	1 to 1	RBB	WP_012542028.1	1 to 2	RBB	WP_015958329.1;WP_009485285.1	1 to 1	RBB	YP_025310.1	0	N/A		1 to 1	RBB	WP_014907646.1	1 to 1	SSD	YP_005226805
397675168	RVBD_3227	WP_003416914.1	3-phosphoshikimate 1-carboxyvinyltransferase	1 to 1	SSD	WP_012737722.1	1 to 1	RBB	WP_008805857.1	1 to 1	SSD	WP_012068507.1	1 to 1	RBB	NP_415428.1	1 to 1	RBB	WP_002898157.1	1 to 1	RBB	WP_012737722.1	1 to 1	SSD	YP_005226116
