Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae KCTC 2242 - ortholog count (reference : comparison)	Klebsiella pneumoniae KCTC 2242 - ortholuge status	Klebsiella pneumoniae KCTC 2242 - ortholog NCBI RefSeq accession	Mycobacterium tuberculosis H37Rv - ortholog count (reference : comparison)	Mycobacterium tuberculosis H37Rv - ortholuge status	Mycobacterium tuberculosis H37Rv - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae 342 - ortholog count (reference : comparison)	Klebsiella pneumoniae 342 - ortholuge status	Klebsiella pneumoniae 342 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog NCBI RefSeq accession
16131662	b3810	NP_418255.1	conserved protein, DUF484 family	1 to 1	SSD	YP_005224454	1 to 1	SSD	WP_002883395.1	0	N/A		1 to 1	SSD	WP_012737129.1	1 to 1	SSD	WP_012737129.1	1 to 1	SSD	WP_008807952.1	1 to 1	SSD	WP_002883395.1
16131663	b3811	NP_418256.1	site-specific tyrosine recombinase	1 to 1	SSD	YP_005224455	1 to 1	SSD	WP_002883396.1	0	N/A		1 to 1	SSD	WP_002883396.1	1 to 1	SSD	WP_002883396.1	1 to 1	SSD	WP_012543237.1	1 to 1	SSD	WP_015959227.1
16131664	b3812	NP_418257.1	FMN phosphatase	1 to 1	SSD	YP_005224456	1 to 1	SSD	WP_002883397.1	0	N/A		1 to 1	SSD	WP_012737130.1	1 to 1	SSD	WP_012737130.1	1 to 1	SSD	WP_012543236.1	1 to 1	SSD	WP_004146477.1
16131665	b3813	NP_418258.1	DNA-dependent ATPase I and helicase II	1 to 1	SSD	YP_005224457	1 to 1	SSD	WP_002883398.1	1 to 1	RBB	WP_003404859.1	1 to 1	SSD	WP_002883398.1	1 to 1	SSD	WP_002883398.1	1 to 1	SSD	WP_012543235.1	1 to 1	SSD	WP_002883398.1
16131666	b3816	NP_418260.1	magnesium/nickel/cobalt transporter	1 to 1	Borderline-SSD	YP_005224459	1 to 1	SSD	WP_002883400.1	1 to 1	RBB	WP_003916789.1	1 to 1	SSD	WP_002883400.1	1 to 1	SSD	WP_002883400.1	1 to 1	SSD	WP_012543234.1	1 to 1	SSD	WP_002883400.1
16131667	b3817	NP_418261.1	predicted inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111651	b3818	NP_418262.2	conserved inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
49176418	b3819	YP_026262.1	predicted chloramphenical resistance permease	1 to 1	SSD	YP_005224460	1 to 1	SSD	WP_004187777.1	0	N/A		1 to 1	SSD	WP_002883402.1	1 to 1	SSD	WP_002883402.1	1 to 1	SSD	WP_002883402.1	1 to 1	SSD	WP_002883402.1
90111652	b3820	NP_418264.4	conserved protein, 4HBT family of thioesterases	1 to 1	SSD	YP_005224461	1 to 1	SSD	WP_002883404.1	0	N/A		1 to 1	SSD	WP_002883404.1	1 to 1	SSD	WP_002883404.1	1 to 1	SSD	WP_008807947.1	1 to 1	SSD	WP_002883404.1
16131671	b3821	NP_418265.1	outer membrane phospholipase A	1 to 1	SSD	YP_005224462	1 to 1	SSD	WP_002883408.1	0	N/A		1 to 1	SSD	WP_002883408.1	1 to 1	SSD	WP_002883408.1	1 to 1	SSD	WP_002883408.1	1 to 1	SSD	WP_002883408.1
162135918	b3822	YP_026263.3	ATP-dependent DNA helicase	1 to 1	SSD	YP_005224463	1 to 1	SSD	WP_004152055.1	0	N/A		1 to 1	SSD	WP_004152055.1	1 to 1	SSD	WP_004152055.1	1 to 1	SSD	WP_012543233.1	1 to 1	SSD	WP_004213315.1
49176421	b3823	YP_026264.1	threonine efflux pump	1 to 1	SSD	YP_005224464	1 to 1	SSD	WP_004152056.1	0	N/A		1 to 1	SSD	WP_004177928.1	1 to 1	SSD	WP_004177928.1	1 to 1	SSD	WP_008807945.1	1 to 1	SSD	WP_004177928.1
49176422	b3824	YP_026265.1	homoserine, homoserine lactone and S-methyl-methionine efflux pump	1 to 1	SSD	YP_005224466	1 to 1	SSD	WP_002883411.1	0	N/A		1 to 1	SSD	WP_004181651.1	1 to 1	SSD	WP_004181651.1	1 to 1	SSD	WP_008807943.1	1 to 1	SSD	WP_004181651.1
49176423	b3825	YP_026266.1	lysophospholipase L2	1 to 1	SSD	YP_005224467	1 to 1	SSD	WP_002883412.1	0	N/A		1 to 1	SSD	WP_002883412.1	1 to 1	SSD	WP_002883412.1	1 to 1	SSD	WP_012543231.1	1 to 1	SSD	WP_002883412.1
49176424	b3826	YP_026267.1	predicted hydrolase	1 to 1	SSD	YP_005224468	1 to 1	SSD	WP_004146466.1	0	N/A		1 to 1	SSD	WP_004146466.1	1 to 1	SSD	WP_004146466.1	1 to 1	SSD	WP_008807941.1	1 to 1	SSD	WP_015959229.1
16131676	b3827	NP_418271.1	predicted inner membrane protein	1 to 1	SSD	YP_005224469	1 to 1	SSD	WP_002883414.1	0	N/A		1 to 1	SSD	WP_012737134.1	1 to 1	SSD	WP_012737134.1	1 to 1	Borderline-SSD	WP_008807940.1	1 to 1	SSD	WP_002883414.1
16131677	b3828	NP_418272.1	DNA-binding transcriptional activator, homocysteine-binding	0	N/A		1 to 1	SSD	WP_002883415.1	0	N/A		0	N/A		1 to 1	SSD	WP_012737135.1	0	N/A		1 to 1	SSD	WP_002883415.1
16131678	b3829	NP_418273.1	5-methyltetrahydropteroyltriglutamate- homocysteine S-methyltransferase	1 to 1	SSD	YP_005224470	1 to 1	SSD	WP_002883416.1	1 to 1	RBB	WP_003405914.1	1 to 1	SSD	WP_002883416.1	1 to 1	SSD	WP_002883416.1	1 to 1	SSD	WP_012543230.1	1 to 1	SSD	WP_015959230.1
49176425	b3830	YP_026268.1	predicted hydrolase	1 to 1	SSD	YP_005224471	1 to 1	SSD	WP_004901889.1	1 to 1	RBB	WP_003414079.1	1 to 1	SSD	WP_002883417.1	1 to 1	SSD	WP_002883417.1	1 to 1	SSD	WP_012543223.1	1 to 1	SSD	WP_002883417.1
16131680	b3831	NP_418275.1	uridine phosphorylase	1 to 1	SSD	YP_005224472	1 to 1	SSD	WP_002883419.1	0	N/A		1 to 1	SSD	WP_002883419.1	1 to 1	SSD	WP_002883419.1	1 to 1	SSD	WP_002883419.1	1 to 1	SSD	WP_002883419.1
16131681	b3832	NP_418276.1	predicted recombination limiting protein	1 to 1	SSD	YP_005224473	1 to 1	SSD	WP_002883420.1	0	N/A		1 to 1	SSD	WP_004895061.1	1 to 1	SSD	WP_004895061.1	1 to 1	SSD	WP_012543222.1	1 to 1	SSD	WP_015959231.1
49176426	b3833	YP_026269.1	bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase/ S-adenosylmethionine:2-DMK methyltransferase	1 to 1	SSD	YP_005224474	1 to 1	SSD	WP_002883421.1	1 to 1	RBB	WP_003402936.1	1 to 1	SSD	WP_002883421.1	1 to 1	SSD	WP_002883421.1	1 to 1	SSD	WP_008807935.1	1 to 1	SSD	WP_002883421.1
16131683	b3834	NP_418278.1	conserved protein, SCP2 family	1 to 1	SSD	YP_005224475	1 to 1	SSD	WP_002883422.1	0	N/A		1 to 1	SSD	WP_004895056.1	1 to 1	SSD	WP_004895056.1	1 to 1	SSD	WP_012543221.1	1 to 1	SSD	WP_002883422.1
16131684	b3835	NP_418279.1	2-octaprenylphenol hydroxylase	1 to 1	SSD	YP_005224476	1 to 1	SSD	WP_002883424.1	1 to 1	RBB	WP_003904450.1	1 to 1	SSD	WP_004177924.1	1 to 1	SSD	WP_004177924.1	1 to 1	SSD	WP_012543220.1	1 to 1	SSD	WP_002883424.1
90111653	b3836	NP_418280.4	TatABCE protein translocation system subunit	1 to 1	SSD	YP_005224477	1 to 1	SSD	WP_002883425.1	0	N/A		1 to 1	SSD	WP_002883425.1	1 to 1	SSD	WP_002883425.1	1 to 1	SSD	WP_002883425.1	1 to 1	SSD	WP_002883425.1
49176428	b3838	YP_026270.1	TatABCE protein translocation system subunit	1 to 1	SSD	YP_005224478	1 to 1	SSD	WP_004181653.1	0	N/A		1 to 1	SSD	WP_012737137.1	1 to 1	SSD	WP_012737137.1	1 to 1	SSD	WP_008807932.1	1 to 1	SSD	WP_015959232.1
16131687	b3839	NP_418282.1	TatABCE protein translocation system subunit	1 to 1	SSD	YP_005224479	1 to 1	SSD	WP_002883427.1	1 to 1	RBB	WP_009937728.1	1 to 1	SSD	WP_002883427.1	1 to 1	SSD	WP_002883427.1	1 to 1	Borderline-SSD	WP_004886745.1	1 to 1	SSD	WP_002883427.1
16131688	b3842	NP_418284.1	DNA-binding transcriptional antiterminator	1 to 1	SSD	YP_005224481	1 to 1	SSD	WP_004901899.1	0	N/A		1 to 1	SSD	WP_002883430.1	1 to 1	SSD	WP_002883430.1	1 to 1	SSD	WP_008807930.1	1 to 1	SSD	WP_002883430.1
16131689	b3843	NP_418285.1	3-octaprenyl-4-hydroxybenzoate decarboxylase	1 to 1	SSD	YP_005224483	1 to 1	SSD	WP_004146456.1	0	N/A		1 to 1	SSD	WP_009309755.1	1 to 1	SSD	WP_009309755.1	1 to 1	SSD	WP_008807929.1	1 to 1	SSD	WP_004146456.1
16131690	b3844	NP_418286.1	NAD(P)H-flavin reductase	1 to 1	SSD	YP_005224484	1 to 1	SSD	WP_002883448.1	2 to 1	RBB	WP_003401910.1;WP_003409714.1	1 to 1	SSD	WP_002883448.1	1 to 1	SSD	WP_002883448.1	1 to 1	SSD	WP_008807928.1	1 to 1	SSD	WP_002883448.1
49176430	b3845	YP_026272.1	3-ketoacyl-CoA thiolase (thiolase I)	1 to 1	SSD	YP_005224485	1 to 1	SSD	WP_004150456.1	0	N/A		1 to 1	SSD	WP_012737138.1	1 to 1	SSD	WP_012737138.1	1 to 1	SSD	WP_008807927.1	1 to 1	SSD	WP_015959234.1
16131692	b3846	NP_418288.1	fused 3-hydroxybutyryl-CoA epimerase/delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase/enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase	1 to 1	SSD	YP_005224486	1 to 1	SSD	WP_004901902.1	1 to 2	RBB	WP_003404426.1	1 to 1	SSD	WP_004181655.1	1 to 1	SSD	WP_004181655.1	1 to 1	SSD	WP_012543218.1	1 to 1	SSD	WP_004901902.1
16131693	b3847	NP_418289.1	proline dipeptidase	1 to 1	SSD	YP_005224487	1 to 1	SSD	WP_004152060.1	0	N/A		1 to 1	SSD	WP_004152060.1	1 to 1	SSD	WP_004152060.1	1 to 1	SSD	WP_012543217.1	1 to 1	SSD	WP_004181656.1
90111654	b3848	NP_418290.4	conserved protein, UPF0029 family	1 to 1	SSD	YP_005224488	1 to 1	SSD	WP_002883449.1	0	N/A		1 to 1	SSD	WP_002883449.1	1 to 1	SSD	WP_002883449.1	1 to 1	SSD	WP_008807924.1	1 to 1	SSD	WP_002883449.1
49176432	b3849	YP_026273.1	potassium transporter	1 to 1	SSD	YP_005224489	1 to 1	SSD	WP_002883450.1	0	N/A		1 to 1	SSD	WP_002883450.1	1 to 1	SSD	WP_002883450.1	1 to 1	SSD	WP_008807923.1	1 to 1	SSD	WP_002883450.1
16131696	b3850	NP_418292.1	protoporphyrin oxidase, flavoprotein	1 to 1	SSD	YP_005224490	1 to 1	SSD	WP_002883453.1	0	N/A		1 to 1	SSD	WP_002883453.1	1 to 1	SSD	WP_002883453.1	1 to 1	SSD	WP_012543216.1	1 to 1	SSD	WP_002883453.1
145698333	b3856	NP_418293.2	molybdopterin-guanine dinucleotide biosynthesis protein B	1 to 1	SSD	YP_005224315	1 to 1	SSD	WP_004901656.1	0	N/A		1 to 1	SSD	WP_002882596.1	1 to 1	SSD	WP_002882596.1	1 to 1	Borderline-SSD	WP_012543293.1	1 to 1	SSD	WP_002882596.1
16131698	b3857	NP_418294.1	molybdopterin-guanine dinucleotide synthase	1 to 1	SSD	YP_005224316	1 to 1	SSD	WP_002882607.1	1 to 1	RBB	WP_003412618.1	1 to 1	SSD	WP_014908127.1	1 to 1	SSD	WP_012737088.1	1 to 1	SSD	WP_008807920.1	1 to 1	SSD	WP_004178039.1
16131699	b3858	NP_418295.1	conserved protein	1 to 1	SSD	YP_005224317	1 to 1	SSD	WP_002882612.1	0	N/A		1 to 1	SSD	WP_002882612.1	1 to 1	SSD	WP_002882612.1	1 to 1	SSD	WP_012543292.1	1 to 1	SSD	WP_002882612.1
16131700	b3859	NP_418296.1	Thr/Ser kinase implicated in Cpx stress response	1 to 1	SSD	YP_005224318	1 to 1	SSD	WP_004901659.1	0	N/A		1 to 1	SSD	WP_004187940.1	1 to 1	SSD	WP_012737089.1	1 to 1	SSD	WP_008807918.1	1 to 1	SSD	WP_004187940.1
16131701	b3860	NP_418297.1	periplasmic protein disulfide isomerase I	1 to 1	SSD	YP_005224319	1 to 1	SSD	WP_004146224.1	0	N/A		1 to 1	SSD	WP_004146224.1	1 to 1	SSD	WP_004146224.1	1 to 1	SSD	WP_008807917.1	1 to 1	SSD	WP_004146224.1
90111655	b3861	NP_418298.4	conserved protein, DUF945 family	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16131703	b3862	NP_418299.1	inner membrane protein, Predicted acyltransferas	1 to 1	SSD	YP_005224320	1 to 1	SSD	WP_004150336.1	0	N/A		1 to 1	SSD	WP_041169011.1	1 to 1	SSD	WP_002882728.1	1 to 1	Borderline-SSD	WP_012543291.1	1 to 1	SSD	WP_004150336.1
16131704	b3863	NP_418300.1	fused DNA polymerase I 5'->3' polymerase/3'->5' exonuclease/5'->3' exonuclease	1 to 1	SSD	YP_005224321	1 to 1	SSD	WP_004187174.1	1 to 1	RBB	WP_003408063.1	1 to 1	SSD	WP_004187937.1	1 to 1	SSD	WP_004187937.1	1 to 1	SSD	WP_012543290.1	1 to 1	SSD	WP_015959197.1
145698334	b3865	NP_418301.3	GTP-binding protein required for normal cell division	1 to 1	SSD	YP_005224322	1 to 1	SSD	WP_002882734.1	0	N/A		1 to 1	SSD	WP_002882734.1	1 to 1	SSD	WP_002882734.1	1 to 1	SSD	WP_008807914.1	1 to 1	SSD	WP_002882734.1
16131706	b3866	NP_418302.1	activator of Der GTPase	1 to 1	SSD	YP_005224323	1 to 1	SSD	WP_002882743.1	0	N/A		1 to 1	SSD	WP_009309723.1	1 to 1	SSD	WP_009309723.1	1 to 1	SSD	WP_008807913.1	1 to 1	SSD	WP_002882743.1
90111657	b3867	NP_418303.2	coproporphyrinogen III oxidase, SAM and NAD(P)H dependent, oxygen-independent	1 to 1	SSD	YP_005224324	1 to 1	SSD	WP_002882745.1	0	N/A		1 to 1	SSD	WP_002882745.1	1 to 1	SSD	WP_002882745.1	1 to 1	SSD	WP_012543289.1	1 to 1	SSD	WP_002882745.1
16131708	b3868	NP_418304.1	fused DNA-binding response regulator in two-component regulatory system with GlnL: response regulator/sigma54 interaction protein	1 to 1	Borderline-SSD	YP_005224325	1 to 1	Borderline-SSD	WP_002882749.1	0	N/A		1 to 1	Borderline-SSD	WP_002882749.1	1 to 1	Borderline-SSD	WP_002882749.1	1 to 1	Borderline-SSD	WP_008807911.1	1 to 1	Borderline-SSD	WP_002882749.1
16131709	b3869	NP_418305.1	sensory histidine kinase in two-component regulatory system with GlnG	1 to 1	SSD	YP_005224326	1 to 1	SSD	WP_004146229.1	0	N/A		1 to 1	SSD	WP_004146229.1	1 to 1	SSD	WP_004146229.1	1 to 1	SSD	WP_008807910.1	1 to 1	SSD	WP_004146229.1
16131710	b3870	NP_418306.1	glutamine synthetase	1 to 1	SSD	YP_005224327	1 to 1	SSD	WP_002882753.1	1 to 1	RBB	WP_003411475.1	1 to 1	SSD	WP_002882753.1	1 to 1	SSD	WP_002882753.1	1 to 1	SSD	WP_004203622.1	1 to 1	SSD	WP_002882753.1
49176434	b3871	YP_026274.1	GTP-binding protein	1 to 1	SSD	YP_005224329	1 to 1	SSD	WP_002882755.1	1 to 1	RBB	WP_003406099.1	1 to 1	SSD	WP_002882755.1	1 to 1	SSD	WP_002882755.1	1 to 1	SSD	WP_008807909.1	1 to 1	SSD	WP_002882755.1
16131712	b3872	NP_418308.1	predicted DNA-binding transcriptional regulator	1 to 1	RBB	YP_005229533	1 to 1	RBB	WP_004145049.1	0	N/A		1 to 1	RBB	WP_004145049.1	1 to 1	RBB	WP_004145049.1	0	N/A		1 to 1	RBB	WP_041937687.1
16131713	b3873	NP_418309.1	predicted sugar phosphate isomerase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16131714	b3874	NP_418310.1	inner membrane protein, predicted transporter	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16131715	b3875	NP_418311.1	outer membrane porin L	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
49176435	b3876	YP_026275.1	predicted transporter	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
145698335	b3877	NP_418313.4	predicted transporter	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16131718	b3878	NP_418314.1	alpha-glucosidase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
49176437	b3879	NP_418315.3	predicted aldose-1-epimerase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111658	b3880	NP_418316.4	aldose-ketose isomerase; D-mannose isomerase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16131721	b3881	NP_418317.1	predicted aldolase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16131722	b3882	NP_418318.1	gamma-hydroxybutyrate dehydrogenase, NADH-dependent	0	N/A		0	N/A		1 to 4	RBB	WP_003403844.1	0	N/A		0	N/A		0	N/A		0	N/A	
90111659	b3883	NP_418319.2	predicted sugar kinase	1 to 1	RBB	YP_005225388	1 to 1	RBB	WP_002890372.1	0	N/A		1 to 1	RBB	WP_002890372.1	1 to 1	RBB	WP_041937767.1	1 to 1	RBB	WP_008805365.1	1 to 1	RBB	WP_002890372.1
90111660	b3884	NP_418320.2	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111661	b3885	NP_418321.4	alpha-D-Glucose-1-P phosphatase, anomer-specific	1 to 1	SSD	YP_005224330	1 to 1	SSD	WP_004901669.1	1 to 1	RBB	WP_003417903.1	1 to 1	SSD	WP_004151865.1	1 to 1	SSD	WP_004151865.1	1 to 1	SSD	WP_008807908.1	1 to 1	SSD	WP_004151865.1
16131726	b3886	NP_418322.1	predicted inner membrane protein	1 to 1	SSD	YP_005224331	1 to 1	SSD	WP_002882807.1	0	N/A		1 to 1	SSD	WP_004146232.1	1 to 1	SSD	WP_004146232.1	1 to 1	SSD	WP_008807907.1	1 to 1	SSD	WP_004146232.1
16131727	b3887	NP_418323.1	D-tyr-tRNA(Tyr) deacylase	1 to 1	SSD	YP_005224332	1 to 1	SSD	WP_002882809.1	1 to 1	RBB	WP_003409533.1	1 to 1	SSD	WP_002882809.1	1 to 1	SSD	WP_002882809.1	1 to 1	SSD	WP_012543288.1	1 to 1	SSD	WP_002882809.1
16131728	b3888	NP_418324.1	predicted acetyltransferase	1 to 1	SSD	YP_005224333	1 to 1	SSD	WP_004178031.1	0	N/A		1 to 1	SSD	WP_041169010.1	1 to 1	SSD	WP_004178031.1	1 to 1	SSD	WP_012543287.1	1 to 1	SSD	WP_004178031.1
145698336	b3889	NP_418325.3	predicted transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111663	b3890	NP_418326.2	conserved protein	1 to 1	SSD	YP_005224335	1 to 1	SSD	WP_002882814.1	0	N/A		1 to 1	SSD	WP_002882814.1	1 to 1	SSD	WP_002882814.1	1 to 1	SSD	WP_002882814.1	1 to 1	SSD	WP_002882814.1
16131731	b3891	NP_418327.1	formate dehydrogenase formation protein	1 to 1	SSD	YP_005224337	1 to 1	SSD	WP_004150358.1	0	N/A		1 to 1	SSD	WP_004150358.1	1 to 1	SSD	WP_004150358.1	1 to 1	SSD	WP_004150358.1	1 to 1	SSD	WP_004150358.1
16131732	b3892	NP_418328.1	formate dehydrogenase-O, cytochrome b556 subunit	1 to 1	SSD	YP_005224338	1 to 1	SSD	WP_004901683.1	0	N/A		1 to 1	SSD	WP_002882818.1	1 to 1	SSD	WP_002882818.1	1 to 1	SSD	WP_008807902.1	1 to 1	SSD	WP_002882818.1
16131733	b3893	NP_418329.1	formate dehydrogenase-O, Fe-S subunit	1 to 1	SSD	YP_005224339	1 to 1	SSD	WP_004901686.1	0	N/A		1 to 1	SSD	WP_002882822.1	1 to 1	SSD	WP_002882822.1	1 to 1	SSD	WP_002882822.1	1 to 1	SSD	WP_002882822.1
16131734	b3894	NP_418330.1	formate dehydrogenase-O, large subunit	1 to 1	SSD	YP_005224340	1 to 1	SSD	WP_004178025.1	0	N/A		1 to 1	SSD	WP_041169009.1	1 to 1	SSD	WP_041169009.1	1 to 1	SSD	WP_008807901.1	1 to 1	SSD	WP_004178025.1
16131735	b3895	NP_418331.1	formate dehydrogenase formation protein	1 to 1	SSD	YP_005224342	1 to 1	SSD	WP_014599293.1	1 to 1	RBB	WP_003414705.1	1 to 1	SSD	WP_002882828.1	1 to 1	SSD	WP_002882828.1	1 to 1	SSD	WP_008807900.1	1 to 1	SSD	WP_002882828.1
16131736	b3896	NP_418332.1	conserved lipoprotein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16131737	b3897	NP_418333.1	putative frv operon regulator; contains a PTS EIIA domain	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16131738	b3898	NP_418334.1	predicted peptidase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111664	b3899	NP_418335.4	fused predicted PTS enzymes: IIB component/IIC component	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16131740	b3900	NP_418336.1	predicted enzyme IIA component of PTS	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16131741	b3901	NP_418337.1	L-rhamnose mutarotase	1 to 1	RBB	YP_005224357	1 to 1	RBB	WP_002882870.1	0	N/A		1 to 1	RBB	WP_012737098.1	1 to 1	RBB	WP_012737098.1	1 to 1	RBB	WP_002882870.1	1 to 1	RBB	WP_015959204.1
16131742	b3902	NP_418338.1	rhamnulose-1-phosphate aldolase	1 to 1	RBB	YP_005224363	1 to 1	RBB	WP_002882882.1	0	N/A		1 to 1	RBB	WP_012737101.1	1 to 1	RBB	WP_012737101.1	1 to 1	RBB	WP_008807883.1	1 to 1	RBB	WP_002882882.1
49176441	b3903	YP_026276.1	L-rhamnose isomerase	1 to 1	RBB	YP_005224364	1 to 1	RBB	WP_004150375.1	0	N/A		1 to 1	RBB	WP_004150375.1	1 to 1	RBB	WP_004150375.1	1 to 1	RBB	WP_012543272.1	1 to 1	RBB	WP_004150375.1
16131744	b3904	NP_418340.1	rhamnulokinase	1 to 1	RBB	YP_005224365	1 to 1	RBB	WP_002882885.1	0	N/A		1 to 1	RBB	WP_002882885.1	1 to 1	RBB	WP_002882885.1	1 to 1	RBB	WP_012543271.1	1 to 1	RBB	WP_004187190.1
16131745	b3905	NP_418341.1	DNA-binding transcriptional activator for rhaBAD and rhaT, L-rhamnose-binding	1 to 1	RBB	YP_005224366	1 to 1	RBB	WP_004146257.1	0	N/A		1 to 1	RBB	WP_002882888.1	1 to 1	RBB	WP_002882888.1	1 to 1	RBB	WP_008807880.1	1 to 1	RBB	WP_002882888.1
171701684	b3906	NP_418342.2	DNA-binding transcriptional activator for rhaSR, L-rhamnose-binding	1 to 1	RBB	YP_005224367	1 to 1	RBB	WP_002882891.1	0	N/A		1 to 1	RBB	WP_002882891.1	1 to 1	RBB	WP_002882891.1	1 to 1	RBB	WP_008807878.1	1 to 1	RBB	WP_002882891.1
16131747	b3907	NP_418343.1	L-rhamnose:proton symporter	1 to 1	RBB	YP_005224368	1 to 1	RBB	WP_002882892.1	0	N/A		1 to 1	RBB	WP_012737103.1	1 to 1	RBB	WP_012737103.1	1 to 1	RBB	WP_012543269.1	1 to 1	RBB	WP_002882892.1
49176442	b3908	NP_418344.3	superoxide dismutase, Mn	1 to 1	SSD	YP_005224369	1 to 1	SSD	WP_002882894.1	1 to 2	RBB	WP_003399735.1	1 to 1	SSD	WP_002882894.1	1 to 1	SSD	WP_002882894.1	1 to 1	SSD	WP_004203668.1	1 to 1	SSD	WP_002882894.1
90111665	b3909	NP_418345.2	2-keto-3-deoxy-D-gluconate transporter	0	N/A		1 to 1	RBB	WP_004140602.1	0	N/A		1 to 1	RBB	WP_004190951.1	1 to 1	RBB	WP_004190951.1	1 to 1	RBB	WP_004204602.1	1 to 1	RBB	WP_004140602.1
90111666	b3910	NP_418346.2	6-N-hydroxylaminopurine resistance protein	1 to 1	SSD	YP_005224370	1 to 1	SSD	WP_002882896.1	1 to 1	RBB	WP_003409351.1	1 to 1	SSD	WP_002882896.1	1 to 1	SSD	WP_002882896.1	1 to 1	SSD	WP_008807875.1	1 to 1	SSD	WP_004181626.1
16131751	b3911	NP_418347.1	sensory histidine kinase in two-component regulatory system with CpxR	1 to 1	SSD	YP_005224371	1 to 1	SSD	WP_002882898.1	1 to 2	RBB	WP_003917137.1	0	N/A		1 to 1	SSD	WP_002882898.1	1 to 1	SSD	WP_008807874.1	1 to 1	SSD	WP_002882898.1
16131752	b3912	NP_418348.1	DNA-binding response regulator in two-component regulatory system with CpxA	1 to 1	SSD	YP_005224372	1 to 1	SSD	WP_002882901.1	0	N/A		1 to 1	SSD	WP_002882901.1	1 to 1	SSD	WP_002882901.1	1 to 1	SSD	WP_002882901.1	1 to 1	SSD	WP_002882901.1
16131753	b3915	NP_418350.1	ferrous iron and zinc transporter	1 to 1	SSD	YP_005224374	1 to 1	SSD	WP_002882907.1	1 to 1	RBB	WP_003410146.1	1 to 1	SSD	WP_002882907.1	1 to 1	SSD	WP_002882907.1	1 to 1	SSD	WP_008807873.1	1 to 1	SSD	WP_002882907.1
16131754	b3916	NP_418351.1	6-phosphofructokinase I	1 to 1	SSD	YP_005224375	1 to 1	SSD	WP_002882911.1	1 to 1	RBB	WP_003415251.1	1 to 1	SSD	WP_002882911.1	1 to 1	SSD	WP_002882911.1	1 to 1	SSD	WP_002882911.1	1 to 1	SSD	WP_002882911.1
