Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Lactobacillus rhamnosus GG NC_013198 - ortholog count (reference : comparison)	Lactobacillus rhamnosus GG NC_013198 - ortholuge status	Lactobacillus rhamnosus GG NC_013198 - ortholog NCBI RefSeq accession	Bacteroides vulgatus ATCC 8482 - ortholog count (reference : comparison)	Bacteroides vulgatus ATCC 8482 - ortholuge status	Bacteroides vulgatus ATCC 8482 - ortholog NCBI RefSeq accession	Eubacterium eligens ATCC 27750 - ortholog count (reference : comparison)	Eubacterium eligens ATCC 27750 - ortholuge status	Eubacterium eligens ATCC 27750 - ortholog NCBI RefSeq accession	Eubacterium rectale ATCC 33656 - ortholog count (reference : comparison)	Eubacterium rectale ATCC 33656 - ortholuge status	Eubacterium rectale ATCC 33656 - ortholog NCBI RefSeq accession
397674892	RVBD_2972c	WP_003415024.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674893	RVBD_2973c	WP_003415026.1	ATP-dependent DNA helicase recG	1 to 1	RBB	WP_005684364.1	1 to 1	RBB	WP_005840791.1	1 to 1	RBB	WP_041688077.1	1 to 1	RBB	WP_012742512.1
397674894	RVBD_2974c	WP_003415028.1	DAK2 domain fusion protein YloV	0	N/A		0	N/A		1 to 1	RBB	WP_012739195.1	0	N/A	
397674896	RVBD_2975A	WP_003415030.1	50S ribosomal protein L28 1	0	N/A		0	N/A		1 to 1	RBB	WP_012739193.1	0	N/A	
397674895	RVBD_2975c	WP_003906954.1	dak phosphatase	0	N/A		0	N/A		0	N/A		0	N/A	
397674897	RVBD_2976c	WP_003899565.1	uracil-DNA glycosylase	1 to 1	RBB	WP_005684558.1	1 to 1	RBB	WP_005840435.1	1 to 1	RBB	WP_041688063.1	1 to 1	RBB	WP_012742322.1
397674898	RVBD_2977c	WP_003415034.1	thiamine-monophosphate kinase	0	N/A		1 to 1	RBB	WP_005845048.1	0	N/A		0	N/A	
397674899	RVBD_2978c	WP_003415037.1	transposase	4 to 1	RBB	WP_014570023.1	0	N/A		0	N/A		4 to 1	RBB	WP_012741946.1
397674900	RVBD_2979c	WP_003899566.1	resolvase	0	N/A		0	N/A		0	N/A		6 to 1	RBB	WP_012741945.1
397674901	RVBD_2980	WP_003899567.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674902	RVBD_2981c	WP_003912011.1	D-alanine--D-alanine ligase	1 to 1	SSD	WP_014568966.1	1 to 1	RBB	WP_005845987.1	1 to 1	RBB	WP_041687980.1	1 to 1	RBB	WP_015516048.1
397674903	RVBD_2982c	WP_003917087.1	glycerol-3-phosphate dehydrogenase [NAD(P)+]	1 to 1	RBB	WP_014569366.1	2 to 1	RBB	WP_005839736.1	1 to 1	RBB	WP_041688090.1	1 to 1	RBB	WP_012743119.1
397674904	RVBD_2983	WP_003415094.1	2-phospho-L-lactate guanylyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
397674905	RVBD_2984	WP_003415097.1	polyphosphate kinase	1 to 1	SSD	WP_014570144.1	1 to 2	RBB	WP_005845667.1;WP_005846813.1	1 to 1	RBB	WP_041688452.1	1 to 1	RBB	WP_041254421.1
397674906	RVBD_2985	WP_003899569.1	hydrolase mutT1	0	N/A		0	N/A		0	N/A		0	N/A	
397674907	RVBD_2986c	WP_003415107.1	DNA-binding protein HU-beta	1 to 1	RBB	WP_005686429.1	1 to 4	RBB	WP_005844385.1;WP_005841299.1;WP_012055707.1;WP_005839749.1	1 to 1	RBB	WP_012739616.1	1 to 1	RBB	WP_015515594.1
397674908	RVBD_2987c	WP_003415110.1	3-isopropylmalate dehydratase small subunit	0	N/A		1 to 1	RBB	WP_005848913.1	0	N/A		1 to 1	RBB	WP_012742833.1
397674909	RVBD_2988c	WP_003899570.1	3-isopropylmalate dehydratase large subunit	0	N/A		1 to 1	RBB	WP_005840840.1	1 to 2	RBB	WP_012739596.1;WP_041688659.1	1 to 1	SSD	WP_012742834.1
397674910	RVBD_2989	WP_003415115.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397674911	RVBD_2990c	WP_003415118.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674912	RVBD_2991	WP_003899572.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674913	RVBD_2992c	WP_031647610.1	glutamyl-tRNA synthetase	1 to 1	SSD	WP_005686122.1	1 to 1	RBB	WP_005845466.1	0	N/A		1 to 1	RBB	WP_041254052.1
561108361	RVBD_2993c	WP_003415138.1	hypothetical protein	1 to 1	Borderline-SSD	WP_005687502.1	1 to 1	RBB	WP_005839207.1	0	N/A		0	N/A	
397674915	RVBD_2994	WP_032073275.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674916	RVBD_2995c	WP_003899576.1	3-isopropylmalate dehydrogenase	0	N/A		1 to 1	RBB	WP_005840846.1	1 to 1	RBB	WP_012739005.1	1 to 1	SSD	WP_012742719.1
397674917	RVBD_2996c	WP_003899578.1	D-3-phosphoglycerate dehydrogenase	1 to 1	SSD	WP_014568980.1	1 to 1	RBB	WP_005851581.1	1 to 1	RBB	WP_012738332.1	1 to 1	SSD	WP_012742067.1
397674918	RVBD_2997	WP_003415150.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397674919	RVBD_2998	WP_009935747.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674920	RVBD_2998A	WP_003415155.1	two-component system, OmpR family, sensor kinase	0	N/A		0	N/A		0	N/A		0	N/A	
397674921	RVBD_2999	WP_003917088.1	lipoprotein LppY	0	N/A		0	N/A		0	N/A		0	N/A	
397674922	RVBD_3000	WP_003415160.1	ABC transporter permease	1 to 1	SSD	WP_005685244.1	1 to 1	RBB	WP_005842037.1	0	N/A		0	N/A	
397674923	RVBD_3000Ac	YP_006516458	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674924	RVBD_3001c	WP_003415166.1	ketol-acid reductoisomerase	0	N/A		1 to 1	RBB	WP_005847241.1	1 to 1	RBB	WP_012739603.1	1 to 1	SSD	WP_012742838.1
397674925	RVBD_3002c	WP_003415167.1	acetolactate synthase small subunit	0	N/A		1 to 1	RBB	WP_005847237.1	1 to 1	RBB	WP_012739604.1	1 to 1	RBB	WP_012742839.1
397674926	RVBD_3003c	WP_003415168.1	acetolactate synthase	1 to 3	RBB	WP_014569142.1;WP_005717088.1;WP_029943740.1	1 to 1	RBB	WP_011965645.1	1 to 1	RBB	WP_012739007.1	1 to 1	RBB	WP_012742109.1
397674927	RVBD_3004	WP_031647387.1	protein antigen 6	0	N/A		0	N/A		0	N/A		0	N/A	
397674928	RVBD_3005c	WP_003415171.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674929	RVBD_3006	WP_003899583.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674930	RVBD_3007c	WP_003415174.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397674931	RVBD_3008	WP_003899584.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674932	RVBD_3009c	WP_003415248.1	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	1 to 1	SSD	WP_014569421.1	0	N/A		1 to 1	RBB	WP_012738700.1	1 to 1	SSD	WP_012742033.1
397674933	RVBD_3010c	WP_003415251.1	6-phosphofructokinase	1 to 1	RBB	WP_005686462.1	1 to 1	RBB	WP_005844296.1	1 to 1	RBB	WP_012738733.1	1 to 1	RBB	WP_041253799.1
397674934	RVBD_3011c	WP_003900613.1	glutamyl-tRNA(Gln) amidotransferase subunit A	1 to 1	SSD	WP_014569420.1	0	N/A		1 to 1	RBB	WP_012738699.1	1 to 1	SSD	WP_012742032.1
397674935	RVBD_3012c	WP_003415256.1	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C	1 to 1	RBB	WP_005710356.1	0	N/A		0	N/A		0	N/A	
397674936	RVBD_3013	WP_003415259.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674937	RVBD_3014c	WP_003415263.1	DNA ligase	1 to 1	RBB	WP_014569419.1	1 to 1	RBB	WP_005852506.1	1 to 1	RBB	WP_012739435.1	1 to 1	RBB	WP_012743053.1
397674938	RVBD_3015c	WP_003415268.1	5- methyltetrahydropteroyltriglutamate/homocysteine S-methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
397674939	RVBD_3016	WP_003415270.1	lipoprotein LpqA	0	N/A		0	N/A		0	N/A		0	N/A	
397674940	RVBD_3017c	WP_003912054.1	ESAT-6-like protein esxQ	0	N/A		0	N/A		0	N/A		0	N/A	
397674942	RVBD_3018Bc	YP_006516477	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674941	RVBD_3018c	WP_003910691.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674943	RVBD_3019c	WP_003415340.1	ESAT-6-like protein esxR	0	N/A		0	N/A		0	N/A		0	N/A	
397674944	RVBD_3020c	WP_003415342.1	ESAT-6-like protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674945	RVBD_3021c	WP_003910692.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674946	RVBD_3022A	WP_003415766.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674947	RVBD_3023c	WP_003901078.1	transposase	0	N/A		7 to 1	RBB	WP_005839427.1	7 to 2	RBB	WP_041687873.1	0	N/A	
397674948	RVBD_3024c	WP_003415909.1	tRNA-specific 2-thiouridylase mnmA	1 to 1	RBB	WP_014569598.1	1 to 2	RBB	WP_011964996.1;WP_032944072.1	0	N/A		1 to 1	RBB	WP_012741234.1
397674949	RVBD_3025c	WP_003415911.1	cysteine desulfurase	1 to 2	RBB	WP_014569571.1;WP_014569595.1	0	N/A		1 to 2	RBB	WP_012739396.1;WP_012739428.1	1 to 2	RBB	WP_012741232.1;WP_012742742.1
397674950	RVBD_3026c	WP_003415914.1	1-acylglycerol-3-phosphate O-acyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
397674951	RVBD_3027c	WP_003900617.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674952	RVBD_3028c	WP_003899889.1	electron transfer flavoprotein subunit alpha	0	N/A		1 to 1	RBB	WP_005840637.1	0	N/A		1 to 1	SSD	WP_015569027.1
397674953	RVBD_3029c	WP_003415921.1	electron transfer flavoprotein subunit beta	0	N/A		1 to 1	RBB	WP_005840635.1	0	N/A		1 to 1	RBB	WP_012741638.1
397674954	RVBD_3030	WP_003415922.1	3-demethylubiquinone-9 3-methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
397674955	RVBD_3031	WP_003899891.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674956	RVBD_3032	WP_003415928.1	hypothetical protein	1 to 1	RBB	WP_014569860.1	1 to 1	RBB	WP_011965589.1	1 to 1	RBB	WP_012738364.1	1 to 2	RBB	WP_012743474.1;WP_041254654.1
397674957	RVBD_3032A	WP_003415930.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674958	RVBD_3033	WP_003415932.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674959	RVBD_3034c	WP_003415934.1	transferase	1 to 1	Non-SSD	WP_005695851.1	1 to 1	RBB	WP_008671350.1	1 to 1	RBB	WP_041687852.1	1 to 2	RBB	WP_041254456.1;WP_012743470.1
397674960	RVBD_3035	WP_031647618.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674961	RVBD_3036c	WP_003415939.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674962	RVBD_3037c	WP_003415940.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674963	RVBD_3038c	WP_003415941.1	methyltransferase	0	N/A		0	N/A		1 to 1	RBB	WP_012738521.1	0	N/A	
397674964	RVBD_3039c	WP_003415942.1	enoyl-CoA hydratase	0	N/A		0	N/A		0	N/A		0	N/A	
397674965	RVBD_3040c	WP_003415943.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674966	RVBD_3041c	WP_003901526.1	iron complex transporter ATP-binding protein	0	N/A		1 to 1	RBB	WP_005843375.1	0	N/A		0	N/A	
397674967	RVBD_3042c	WP_020476913.1	phosphoserine phosphatase	0	N/A		1 to 1	RBB	WP_005842290.1	0	N/A		1 to 1	RBB	WP_012743726.1
397674968	RVBD_3043c	WP_003415946.1	cytochrome c oxidase subunit I	0	N/A		0	N/A		0	N/A		0	N/A	
397674969	RVBD_3044	WP_003415959.1	iron complex transporter substrate-binding protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674970	RVBD_3045	WP_003415965.1	NADP-dependent alcohol dehydrogenase C	0	N/A		0	N/A		0	N/A		0	N/A	
397674971	RVBD_3046c	WP_003415968.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674972	RVBD_3047c	WP_003899894.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674973	RVBD_3048c	WP_003415973.1	ribonucleoside-diphosphate reductase subunit beta nrdF2	2 to 1	RBB	WP_005710444.1	2 to 1	RBB	WP_005846512.1	0	N/A		0	N/A	
397674974	RVBD_3049c	WP_003899895.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397674975	RVBD_3050c	WP_003415979.1	AsnC family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
561108363	RVBD_3051c	WP_003415980.1	ribonucleoside-diphosphate reductase subunit alpha	1 to 1	RBB	WP_014569654.1	1 to 1	RBB	WP_005846509.1	0	N/A		0	N/A	
397674977	RVBD_3052c	WP_003415981.1	protein nrdI	1 to 1	RBB	WP_005705470.1	0	N/A		0	N/A		0	N/A	
397674979	RVBD_3053Ac	YP_006516514	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674978	RVBD_3053c	WP_003415982.1	glutaredoxin-like protein NrdH	1 to 1	RBB	WP_005685874.1	0	N/A		0	N/A		0	N/A	
397674980	RVBD_3054c	WP_031647141.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674981	RVBD_3055	WP_003415984.1	TetR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397674982	RVBD_3056	WP_003899898.1	DNA polymerase IV 2	2 to 1	RBB	WP_005685511.1	0	N/A		0	N/A		1 to 2	SSD	WP_041254721.1;WP_023922632.1
397674983	RVBD_3057c	WP_003415986.1	short-chain type alcohol dehydrogenase/reductase	0	N/A		0	N/A		0	N/A		0	N/A	
397674984	RVBD_3058c	WP_003415987.1	TetR family transcriptional regulator	1 to 1	RBB	WP_014568926.1	0	N/A		0	N/A		2 to 1	RBB	YP_002936920
397674985	RVBD_3059	WP_003899900.1	cytochrome P450 136 cyp136	0	N/A		0	N/A		0	N/A		0	N/A	
397674986	RVBD_3060c	WP_003415989.1	GntR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397674987	RVBD_3061c	WP_003902404.1	acyl-CoA dehydrogenase fadE22	0	N/A		0	N/A		0	N/A		0	N/A	
397674988	RVBD_3062	WP_003912069.1	DNA ligase I	0	N/A		0	N/A		0	N/A		0	N/A	
397674989	RVBD_3063	WP_003917116.1	carbon starvation protein	0	N/A		1 to 1	RBB	WP_005851068.1	1 to 1	RBB	WP_012740102.1	1 to 1	RBB	WP_012741121.1
397674990	RVBD_3064c	WP_003415994.1	SMR family small multidrug resistance protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674991	RVBD_3065	WP_003415995.1	multidrug resistance protein mmr	1 to 1	SSD	WP_005684980.1	0	N/A		0	N/A		0	N/A	
397674992	RVBD_3066	WP_003416005.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674993	RVBD_3067	WP_003416011.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674994	RVBD_3068c	WP_003899902.1	phosphoglucomutase, alpha-D-glucose phosphate-specific	0	N/A		0	N/A		0	N/A		0	N/A	
397674995	RVBD_3069	WP_003416045.1	crcB protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674996	RVBD_3070	WP_003416046.1	crcB protein	0	N/A		1 to 1	RBB	WP_005841677.1	0	N/A		0	N/A	
397674997	RVBD_3071	WP_003901532.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674998	RVBD_3072c	WP_003416049.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397674999	RVBD_3073c	WP_003416050.1	hypothetical protein	1 to 1	RBB	WP_005715174.1	1 to 1	RBB	WP_011965195.1	0	N/A		0	N/A	
397675000	RVBD_3074	WP_003416051.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675001	RVBD_3075c	WP_003912070.1	citrate lyase subunit beta	0	N/A		0	N/A		0	N/A		0	N/A	
397675002	RVBD_3076	WP_003416053.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675003	RVBD_3077	WP_003917117.1	hydrolase	0	N/A		1 to 1	RBB	WP_005841699.1	0	N/A		0	N/A	
397675004	RVBD_3078	WP_003416059.1	hydroxylaminobenzene mutase hab	0	N/A		0	N/A		0	N/A		0	N/A	
397675005	RVBD_3079c	WP_003416061.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675006	RVBD_3080c	WP_003899905.1	serine/threonine-protein kinase pknK	0	N/A		0	N/A		0	N/A		0	N/A	
397675007	RVBD_3081	WP_003416066.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675008	RVBD_3082c	WP_003416068.1	araC/xylS-family virulence-regulating transcriptional regulator virS	0	N/A		1 to 1	RBB	WP_032946382.1	0	N/A		0	N/A	
397675009	RVBD_3083	WP_003899906.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397675010	RVBD_3084	WP_003901538.1	esterase/lipase	1 to 1	RBB	WP_005687573.1	0	N/A		0	N/A		1 to 1	RBB	WP_012743243.1
397675011	RVBD_3085	WP_003416074.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397675012	RVBD_3086	WP_003416075.1	Rxyl_3153 family oxidoreductase	2 to 1	RBB	WP_005686583.1	2 to 1	RBB	WP_005843572.1	0	N/A		4 to 1	RBB	WP_012742269.1
397675013	RVBD_3087	WP_003906978.1	acyltransferase, WS/DGAT/MGAT	0	N/A		0	N/A		0	N/A		0	N/A	
397675014	RVBD_3088	WP_003416079.1	acyltransferase, WS/DGAT/MGAT	0	N/A		0	N/A		0	N/A		0	N/A	
397675015	RVBD_3089	WP_003416081.1	o-succinylbenzoate--CoA ligase	3 to 1	RBB	WP_014570113.1	0	N/A		2 to 1	RBB	WP_041688300.1	0	N/A	
397675016	RVBD_3089Ac	YP_006516551	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675017	RVBD_3090	WP_003416086.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675018	RVBD_3091	WP_003900628.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675019	RVBD_3092c	WP_003416091.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675020	RVBD_3093c	WP_003912071.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397675021	RVBD_3094c	WP_003416097.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675022	RVBD_3095	WP_003416099.1	transcriptional regulator	1 to 1	RBB	WP_005684433.1	2 to 1	RBB	WP_005842561.1	0	N/A		0	N/A	
397675023	RVBD_3096	WP_003899909.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675024	RVBD_3097c	WP_003912072.1	triacylglycerol lipase	0	N/A		0	N/A		0	N/A		0	N/A	
561108365	RVBD_3098A	WP_003416110.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675025	RVBD_3098c	YP_006516560	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675027	RVBD_3099c	WP_003416111.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675028	RVBD_3100c	WP_003416113.1	SsrA-binding protein	1 to 1	RBB	WP_014569376.1	1 to 1	RBB	WP_005847465.1	1 to 1	RBB	WP_022097410.1	1 to 1	RBB	WP_012742392.1
397675029	RVBD_3101c	WP_003416117.1	cell division transporter permease	1 to 1	RBB	WP_005684490.1	1 to 1	RBB	WP_005844021.1	1 to 1	RBB	WP_012740034.1	1 to 1	RBB	WP_012741617.1
397675030	RVBD_3102c	WP_003416120.1	type II (General) Secretory Pathway (IISP) Family protein	1 to 1	RBB	WP_005684489.1	1 to 1	RBB	WP_005841212.1	1 to 1	RBB	WP_012740035.1	1 to 1	RBB	WP_012741616.1
397675031	RVBD_3103c	WP_003416124.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675032	RVBD_3104c	WP_003416127.1	MscS family small conductance mechanosensitive ion channel	1 to 1	RBB	WP_014569312.1	0	N/A		0	N/A		0	N/A	
397675033	RVBD_3105c	WP_003416129.1	peptide chain release factor 2	1 to 1	RBB	WP_014569358.1	1 to 1	RBB	WP_005845487.1	1 to 1	RBB	WP_012738638.1	1 to 1	RBB	WP_012741622.1
397675034	RVBD_3106	WP_003900632.1	NADPH-ferredoxin reductase fprA	0	N/A		0	N/A		0	N/A		0	N/A	
397675035	RVBD_3107c	WP_003899914.1	alkyl-dihydroxyacetonephosphate synthase	0	N/A		0	N/A		0	N/A		0	N/A	
397675036	RVBD_3108	WP_031647143.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675037	RVBD_3109	WP_003900633.1	molybdenum cofactor biosynthesis protein A 1	0	N/A		1 to 1	RBB	WP_011964690.1	0	N/A		0	N/A	
397675038	RVBD_3110	WP_003416149.1	4a-hydroxytetrahydrobiopterin dehydratase	0	N/A		0	N/A		0	N/A		0	N/A	
397675039	RVBD_3111	WP_003899917.1	molybdenum cofactor biosynthesis protein C 1	0	N/A		0	N/A		0	N/A		2 to 1	RBB	WP_041254692.1
397675040	RVBD_3112	WP_003899918.1	molybdopterin converting factor subunit 1	0	N/A		0	N/A		0	N/A		0	N/A	
397675041	RVBD_3113	WP_003912074.1	HAD hydrolase	0	N/A		0	N/A		0	N/A		0	N/A	
397675042	RVBD_3114	WP_003906986.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675043	RVBD_3115	WP_003901078.1	transposase	0	N/A		7 to 1	RBB	WP_005839427.1	7 to 2	RBB	WP_041687873.1	0	N/A	
397675044	RVBD_3116	WP_003899922.1	molybdopterin biosynthesis protein MoeB	2 to 1	RBB	WP_005684415.1	2 to 1	RBB	WP_005845950.1	2 to 1	RBB	WP_012738892.1	2 to 1	SSD	WP_015516814.1
397675045	RVBD_3117	WP_003404293.1	thiosulfate sulfurtransferase	0	N/A		0	N/A		0	N/A		0	N/A	
397675046	RVBD_3118	WP_003404278.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675047	RVBD_3119	WP_003899923.1	molybdopterin synthase catalytic subunit	0	N/A		0	N/A		0	N/A		0	N/A	
397675048	RVBD_3120	WP_003899924.1	methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
397675049	RVBD_3121	WP_003917126.1	cytochrome P450 141 cyp141	0	N/A		0	N/A		0	N/A		0	N/A	
397675050	RVBD_3122	WP_003900634.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675051	RVBD_3123	WP_003901547.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675052	RVBD_3124	WP_003900636.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675053	RVBD_3125c	WP_003899929.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675054	RVBD_3126c	WP_003899930.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675055	RVBD_3127	WP_003416354.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675056	RVBD_3129	WP_003416360.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675057	RVBD_3130c	WP_003899932.1	acyltransferase, WS/DGAT/MGAT	0	N/A		0	N/A		0	N/A		0	N/A	
397675058	RVBD_3131	WP_003416362.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675059	RVBD_3132c	WP_003899933.1	redox sensor histidine kinase response regulator devS	2 to 1	RBB	WP_005684425.1	0	N/A		1 to 1	RBB	WP_041688866.1	2 to 1	RBB	WP_012744410.1
397675060	RVBD_3133c	WP_003416369.1	transcriptional regulatory protein devR (dosR)	1 to 1	RBB	WP_005684424.1	1 to 1	RBB	WP_005845430.1	0	N/A		0	N/A	
397675061	RVBD_3134c	WP_003416373.1	universal stress protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675062	RVBD_3135	WP_003906988.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675063	RVBD_3136	WP_003416381.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675064	RVBD_3136Ac	YP_006516599	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675065	RVBD_3137	WP_003917127.1	histidinol-phosphatase	0	N/A		0	N/A		0	N/A		0	N/A	
397675066	RVBD_3138	WP_003899934.1	pyruvate formate lyase activating enzyme	0	N/A		0	N/A		0	N/A		0	N/A	
397675067	RVBD_3139	WP_003900638.1	acyl-CoA dehydrogenase fadE24	0	N/A		0	N/A		0	N/A		0	N/A	
397675068	RVBD_3140	WP_003899936.1	acyl-CoA dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A	
397675069	RVBD_3141	WP_003416403.1	NADPH2:quinone reductase	1 to 1	RBB	WP_014569266.1	0	N/A		0	N/A		0	N/A	
397675070	RVBD_3142c	WP_003416407.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675071	RVBD_3143	WP_003416410.1	response regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397675072	RVBD_3144c	WP_003913805.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397675073	RVBD_3145	WP_003416417.1	NADH-quinone oxidoreductase subunit A	0	N/A		1 to 1	RBB	WP_005842860.1	0	N/A		0	N/A	
397675074	RVBD_3146	WP_003416420.1	NADH-quinone oxidoreductase subunit B	0	N/A		1 to 1	RBB	WP_005842862.1	0	N/A		0	N/A	
397675075	RVBD_3147	WP_003416425.1	NADH-quinone oxidoreductase subunit C	0	N/A		0	N/A		0	N/A		0	N/A	
397675076	RVBD_3148	WP_003416430.1	NADH-quinone oxidoreductase subunit D	0	N/A		1 to 1	RBB	WP_005842864.1	0	N/A		0	N/A	
397675077	RVBD_3149	WP_003416434.1	NADH-quinone oxidoreductase subunit E	0	N/A		1 to 1	RBB	YP_001297736	0	N/A		0	N/A	
397675078	RVBD_3150	WP_003416439.1	NADH-quinone oxidoreductase subunit F	0	N/A		0	N/A		0	N/A		0	N/A	
397675079	RVBD_3151	WP_003916519.1	NADH-quinone oxidoreductase subunit G	0	N/A		0	N/A		1 to 1	RBB	WP_012738474.1	0	N/A	
397675080	RVBD_3152	WP_003416445.1	NADH-quinone oxidoreductase subunit H	0	N/A		1 to 1	RBB	WP_005849254.1	0	N/A		0	N/A	
397675081	RVBD_3153	WP_031647147.1	NADH-quinone oxidoreductase subunit I	0	N/A		1 to 1	RBB	WP_005842869.1	1 to 1	RBB	WP_012740116.1	0	N/A	
