Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Mycobacterium tuberculosis H37Rv - ortholog count (reference : comparison)	Mycobacterium tuberculosis H37Rv - ortholuge status	Mycobacterium tuberculosis H37Rv - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog NCBI RefSeq accession	Mycobacterium intracellulare ATCC 13950 - ortholog count (reference : comparison)	Mycobacterium intracellulare ATCC 13950 - ortholuge status	Mycobacterium intracellulare ATCC 13950 - ortholog NCBI RefSeq accession	Mycobacterium abscessus ATCC 19977 - ortholog count (reference : comparison)	Mycobacterium abscessus ATCC 19977 - ortholuge status	Mycobacterium abscessus ATCC 19977 - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PAO1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PAO1 - ortholuge status	Pseudomonas aeruginosa PAO1 - ortholog NCBI RefSeq accession	Acinetobacter baumannii ATCC 17978 - ortholog count (reference : comparison)	Acinetobacter baumannii ATCC 17978 - ortholuge status	Acinetobacter baumannii ATCC 17978 - ortholog NCBI RefSeq accession	Escherichia coli IAI1 - ortholog count (reference : comparison)	Escherichia coli IAI1 - ortholuge status	Escherichia coli IAI1 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus N315 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus N315 - ortholuge status	Staphylococcus aureus subsp. aureus N315 - ortholog NCBI RefSeq accession	Mycobacterium marinum M - ortholog count (reference : comparison)	Mycobacterium marinum M - ortholuge status	Mycobacterium marinum M - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Mycobacterium avium 104 - ortholog count (reference : comparison)	Mycobacterium avium 104 - ortholuge status	Mycobacterium avium 104 - ortholog NCBI RefSeq accession	Mycobacterium avium subsp. paratuberculosis K-10 - ortholog count (reference : comparison)	Mycobacterium avium subsp. paratuberculosis K-10 - ortholuge status	Mycobacterium avium subsp. paratuberculosis K-10 - ortholog NCBI RefSeq accession	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholog count (reference : comparison)	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholuge status	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholog NCBI RefSeq accession	Enterococcus faecium Aus0004 - ortholog count (reference : comparison)	Enterococcus faecium Aus0004 - ortholuge status	Enterococcus faecium Aus0004 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholuge status	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholog NCBI RefSeq accession	Acinetobacter baumannii AYE - ortholog count (reference : comparison)	Acinetobacter baumannii AYE - ortholuge status	Acinetobacter baumannii AYE - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholuge status	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholog NCBI RefSeq accession	Enterobacter cloacae subsp. cloacae ATCC 13047 - ortholog count (reference : comparison)	Enterobacter cloacae subsp. cloacae ATCC 13047 - ortholuge status	Enterobacter cloacae subsp. cloacae ATCC 13047 - ortholog NCBI RefSeq accession
16128024	b0030	NP_414571.1	ribonucleoside hydrolase 3	1 to 3	RBB	WP_003417946.1	1 to 1	Borderline-SSD	YP_005235694	1 to 3	RBB	WP_014381040.1	1 to 3	RBB	YP_001704439	1 to 1	Borderline-SSD	NP_459056.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385527	0	N/A		1 to 3	RBB	WP_012393035.1	0	N/A		3 to 1	RBB	WP_011726013.1	3 to 1	RBB	WP_019306762.1	3 to 1	RBB	YP_885999.1	1 to 3	RBB	WP_002296444.1	1 to 1	RBB	WP_002887981.1	0	N/A		0	N/A		0	N/A		0	N/A	
16128025	b0031	NP_414572.1	dihydrodipicolinate reductase	1 to 1	RBB	WP_003414099.1	1 to 1	Borderline-SSD	YP_005235708	1 to 1	Borderline-SSD	WP_008258635.1	1 to 1	SSD	YP_001703827	1 to 1	Borderline-SSD	NP_459069.1	1 to 1	SSD	NP_253447.1	1 to 1	SSD	YP_001086433	1 to 1	RBB	YP_002385528	1 to 1	SSD	WP_000698231.1	1 to 1	RBB	WP_012393728.1	1 to 1	SSD	WP_003095210.1	1 to 1	Borderline-SSD	WP_011725599.1	1 to 1	Borderline-SSD	WP_003875178.1	1 to 1	SSD	YP_887001.1	1 to 1	Borderline-SSD	WP_002286877.1	1 to 1	SSD	WP_004177440.1	1 to 1	SSD	YP_001575221	1 to 1	SSD	WP_001271382.1	1 to 1	Borderline-SSD	YP_499924.1	1 to 1	SSD	YP_003611350
16128026	b0032	NP_414573.1	"carbamoyl phosphate synthetase small subunit, glutamine amidotransferase"	1 to 1	RBB	WP_003407208.1	1 to 1	Borderline-SSD	YP_005235710	1 to 1	SSD	WP_020415577.1	1 to 1	RBB	YP_001703561	1 to 1	Borderline-SSD	NP_459071.1	1 to 1	SSD	NP_253446.1	1 to 1	SSD	YP_001085701	1 to 1	RBB	YP_002385529	1 to 1	SSD	WP_001190913.1	1 to 1	RBB	WP_012393962.1	1 to 1	SSD	WP_011666772.1	1 to 1	SSD	WP_009977672.1	1 to 1	SSD	WP_003872561.1	1 to 1	SSD	YP_887362.1	1 to 1	SSD	WP_002288877.1	1 to 1	SSD	WP_004177433.1	1 to 1	SSD	YP_001575034	1 to 1	SSD	WP_000106445.1	1 to 1	SSD	YP_499708.1	1 to 1	SSD	YP_003611351
16128027	b0033	NP_414574.1	carbamoyl-phosphate synthase large subunit	1 to 1	RBB	WP_003898855.1	1 to 1	SSD	YP_005235711	1 to 1	SSD	WP_009951745.1	1 to 1	RBB	YP_001703560	1 to 1	SSD	NP_459072.1	1 to 1	SSD	NP_253444.1	1 to 1	SSD	YP_001085702	1 to 1	RBB	YP_002385530	1 to 1	SSD	WP_001126259.1	1 to 1	RBB	WP_041324579.1	1 to 1	SSD	WP_003095207.1	1 to 1	SSD	WP_011725441.1	1 to 1	SSD	WP_003872560.1	1 to 1	SSD	YP_887363.1	1 to 1	Borderline-SSD	WP_002288878.1	1 to 1	SSD	WP_002888056.1	1 to 1	SSD	YP_001575035	1 to 1	SSD	WP_001126293.1	1 to 1	Borderline-SSD	YP_499709.1	1 to 1	SSD	YP_003611352
90111079	b0034	NP_414576.4	DNA-binding transcriptional activator	0	N/A		1 to 1	RBB	YP_005235714	0	N/A		0	N/A		1 to 1	RBB	NP_459073.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385532	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111080	b0035	NP_414577.2	stimulator of CaiD and CaiB enzyme activities	1 to 2	RBB	WP_003419208.1	1 to 1	RBB	YP_005235715	1 to 2	SSD	WP_014379037.1	1 to 2	RBB	YP_001704899	1 to 1	RBB	NP_459074.1	0	N/A		1 to 2	RBB	YP_001084378	1 to 1	RBB	YP_002385533	0	N/A		1 to 2	RBB	WP_012396538.1	0	N/A		2 to 1	RBB	WP_009974811.1	2 to 1	RBB	WP_009974811.1	3 to 1	RBB	YP_889438.1	0	N/A		0	N/A		0	N/A		1 to 2	RBB	WP_001112269.1	0	N/A		0	N/A	
221800779	b0036	NP_414578.2	carnitinyl-CoA dehydratase	0	N/A		1 to 1	RBB	YP_005235716	2 to 1	RBB	WP_009957567.1;WP_036396789.1	0	N/A		1 to 1	RBB	NP_459075.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385534	0	N/A		1 to 1	RBB	WP_012395880.1	0	N/A		1 to 2	RBB	WP_011724046.1;WP_033722663.1	1 to 1	RBB	WP_003875428.1	1 to 2	RBB	YP_886579.1;YP_889444.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
221800780	b0037	NP_414579.4	probable crotonobetaine/carnitine-CoA ligase	1 to 1	RBB	WP_003416081.1	1 to 1	RBB	YP_005235717	0	N/A		0	N/A		1 to 1	RBB	NP_459076.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385535	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_888322.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128032	b0038	NP_414580.1	crotonobetainyl CoA:carnitine CoA transferase	0	N/A		1 to 1	RBB	YP_005235718	0	N/A		0	N/A		1 to 1	RBB	NP_459077.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385536	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128033	b0039	NP_414581.1	"crotonobetaine reductase subunit II, FAD-binding"	2 to 1	RBB	WP_003417122.1;WP_003401972.1	1 to 1	RBB	YP_005235720	2 to 2	RBB	WP_008253669.1;WP_008254047.1	8 to 2	RBB	YP_001702588;YP_001702600;YP_001703772;YP_001701930;YP_001703679;YP_001705261;YP_001702816;YP_001704346	1 to 1	RBB	NP_459078.1	5 to 1	RBB	NP_250705.1;NP_249437.1;NP_251242.1;NP_253681.1;NP_250322.1	3 to 1	RBB	YP_001084671;YP_001083763;YP_001083194	1 to 1	RBB	YP_002385537	1 to 2	RBB	WP_000142198.1	2 to 2	RBB	WP_012396279.1;WP_012396085.1	6 to 1	RBB	WP_003140948.1;WP_003139055.1;WP_003095742.1;WP_011666661.1;WP_003088600.1;WP_003109952.1	2 to 15	RBB	WP_011724230.1;WP_003873177.1;WP_009975904.1;WP_011724361.1;WP_011724416.1;WP_009953794.1;WP_011724911.1;WP_009953890.1;WP_011724986.1;WP_011725571.1;WP_003878960.1;WP_011726237.1;WP_033713125.1;WP_033711875.1;WP_011726432.1	2 to 2	RBB	WP_003873014.1;WP_003872817.1	1 to 6	RBB	YP_884942.1;YP_886192.1;YP_886806.1;YP_888269.1;YP_889088.1;YP_889512.1	0	N/A		1 to 2	RBB	WP_000337350.1	1 to 2	RBB	YP_001574152	5 to 1	RBB	WP_000617420.1;WP_001053251.1;WP_001984166.1;WP_001160766.1;WP_000617392.1	1 to 2	RBB	YP_498794.1	0	N/A	
16128034	b0040	NP_414582.1	predicted transporter	0	N/A		1 to 1	RBB	YP_005235721	0	N/A		0	N/A		1 to 1	RBB	NP_459079.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385538	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111081	b0041	NP_414583.2	"predicted electron transfer flavoprotein subunit, required for anaerobic carnitine reduction"	1 to 2	RBB	WP_003415921.1	1 to 1	RBB	YP_005235723	1 to 2	SSD	WP_008259088.1	1 to 2	RBB	YP_001704093	1 to 1	RBB	NP_459080.1	1 to 2	RBB	NP_251642.1	1 to 2	Non-SSD	YP_001085647	1 to 1	RBB	YP_002385539	0	N/A		1 to 2	RBB	WP_012393508.1	1 to 2	RBB	WP_003091107.1	2 to 1	SSD	WP_003878760.1	2 to 1	RBB	WP_003878760.1	2 to 1	SSD	YP_886694.1	0	N/A		0	N/A		0	N/A		1 to 2	Non-SSD	WP_000646180.1	0	N/A		0	N/A	
16128036	b0042	NP_414584.1	"predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein"	1 to 2	RBB	WP_003899889.1	1 to 1	RBB	YP_005235724	1 to 2	RBB	WP_009955847.1	1 to 2	RBB	YP_001704092	1 to 1	RBB	NP_459081.1	1 to 2	RBB	NP_251641.1	1 to 2	RBB	YP_001085646	1 to 1	RBB	YP_002385540	0	N/A		1 to 2	RBB	WP_011739999.1	1 to 2	RBB	WP_003091099.1	2 to 1	RBB	WP_003874979.1	2 to 1	SSD	WP_003878759.1	2 to 1	RBB	YP_886695.1	0	N/A		0	N/A		0	N/A		1 to 2	RBB	WP_000025988.1	0	N/A		0	N/A	
16128037	b0043	NP_414585.1	predicted oxidoreductase with FAD/NAD(P)-binding domain	0	N/A		1 to 1	RBB	YP_005235725	0	N/A		0	N/A		1 to 1	RBB	NP_459082.1	1 to 3	RBB	NP_251643.1	1 to 3	RBB	YP_001083439	1 to 1	RBB	YP_002385541	0	N/A		0	N/A		1 to 3	RBB	WP_003138616.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 3	RBB	WP_000400008.1	0	N/A		0	N/A	
16128038	b0044	NP_414586.1	predicted 4Fe-4S ferredoxin-type protein	0	N/A		1 to 1	RBB	YP_005235726	0	N/A		0	N/A		1 to 1	RBB	NP_459083.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385542	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128039	b0045	NP_414587.1	predicted transporter	0	N/A		1 to 1	RBB	YP_005235727	0	N/A		0	N/A		1 to 1	RBB	NP_459084.1	1 to 1	RBB	NP_252876.1	1 to 2	RBB	YP_001083949	1 to 1	RBB	YP_002385543	0	N/A		0	N/A		1 to 1	RBB	WP_003129340.1	0	N/A		0	N/A		1 to 2	RBB	YP_887285.1;YP_888361.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_000182783.1	0	N/A		0	N/A	
16128040	b0046	NP_414588.1	flavoprotein subunit for the KefC potassium efflux system	0	N/A		1 to 1	SSD	YP_005235736	0	N/A		0	N/A		1 to 1	SSD	NP_459090.1	3 to 2	RBB	NP_249916.1;NP_253662.1;NP_249915.1	1 to 1	RBB	YP_001084309	1 to 1	RBB	YP_002385544	0	N/A		0	N/A		2 to 2	RBB	WP_003140470.1;WP_003102071.1	0	N/A		0	N/A		2 to 1	RBB	YP_889799.1	1 to 2	RBB	WP_002286851.1	1 to 1	SSD	WP_002888068.1	0	N/A		1 to 1	RBB	WP_001196263.1	0	N/A		1 to 1	SSD	YP_003611356
16128041	b0047	NP_414589.1	potassium:proton antiporter	0	N/A		1 to 1	SSD	YP_005235737	0	N/A		0	N/A		1 to 1	SSD	NP_459091.1	1 to 2	RBB	NP_249898.1	1 to 2	RBB	YP_001083429	1 to 1	RBB	YP_002385545	0	N/A		0	N/A		1 to 2	RBB	WP_003086638.1	0	N/A		0	N/A		0	N/A		1 to 3	RBB	WP_002295931.1	1 to 1	SSD	WP_004145992.1	0	N/A		1 to 1	SSD	WP_000093480.1	0	N/A		1 to 1	SSD	YP_003611357
16128042	b0048	NP_414590.1	dihydrofolate reductase	1 to 1	RBB	WP_003900566.1	1 to 1	SSD	YP_005235739	1 to 1	SSD	WP_008258621.1	1 to 1	RBB	YP_001703821	1 to 1	SSD	NP_459092.1	1 to 1	SSD	NP_249041.1	1 to 1	Borderline-SSD	YP_001083514	1 to 1	RBB	YP_002385546	1 to 1	RBB	WP_000175746.1	1 to 1	RBB	WP_011740204.1	1 to 1	SSD	WP_003084430.1	1 to 1	RBB	WP_009978008.1	1 to 1	SSD	WP_003875189.1	1 to 1	SSD	YP_887008.1	1 to 1	SSD	WP_000868795.1	1 to 1	SSD	WP_002888320.1	1 to 1	RBB	YP_001575252	1 to 1	Borderline-SSD	WP_000312548.1	1 to 1	SSD	YP_499959.1	1 to 1	SSD	YP_003611358
16128043	b0049	NP_414591.1	diadenosine tetraphosphatase	0	N/A		1 to 1	SSD	YP_005235740	0	N/A		0	N/A		1 to 1	SSD	NP_459093.1	1 to 1	SSD	NP_249281.1	1 to 1	SSD	YP_001086000	1 to 1	RBB	YP_002385547	0	N/A		0	N/A		1 to 1	SSD	WP_003113213.1	0	N/A		0	N/A		1 to 1	RBB	YP_885659.1	0	N/A		1 to 1	SSD	WP_004177431.1	0	N/A		1 to 1	SSD	WP_000167234.1	0	N/A		1 to 1	SSD	YP_003611359
16128044	b0050	NP_414592.1	protein associated with Co2+ and Mg2+ efflux	0	N/A		1 to 1	SSD	YP_005235741	0	N/A		0	N/A		1 to 1	SSD	NP_459094.1	1 to 1	RBB	NP_249282.1	0	N/A		1 to 1	RBB	YP_002385548	0	N/A		0	N/A		1 to 1	Borderline-SSD	WP_003085085.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_002888323.1	0	N/A		0	N/A		0	N/A		1 to 1	Borderline-SSD	YP_003611360
16128045	b0051	NP_414593.1	"16S rRNA dimethyladenosine transferase, SAM-dependent"	1 to 1	RBB	WP_003405191.1	1 to 1	SSD	YP_005235742	1 to 1	SSD	WP_014379327.1	1 to 1	SSD	YP_001701873	1 to 1	SSD	NP_459095.1	1 to 1	SSD	NP_249283.1	1 to 1	SSD	YP_001086001	1 to 1	RBB	YP_002385549	1 to 1	SSD	WP_000368866.1	1 to 1	RBB	WP_041324920.1	1 to 1	SSD	WP_003099569.1	1 to 1	SSD	WP_011723970.1	1 to 1	SSD	WP_010949048.1	1 to 1	SSD	YP_889677.1	1 to 1	SSD	WP_002294004.1	1 to 1	SSD	WP_002888324.1	1 to 1	SSD	YP_001574398	1 to 1	SSD	WP_000284347.1	1 to 1	SSD	YP_499043.1	1 to 1	SSD	YP_003611361
16128046	b0052	NP_414594.1	"4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent"	0	N/A		1 to 1	SSD	YP_005235743	0	N/A		0	N/A		1 to 1	SSD	NP_459096.1	1 to 1	SSD	NP_249284.1	1 to 1	SSD	YP_001086002	1 to 1	RBB	YP_002385550	0	N/A		0	N/A		1 to 1	SSD	WP_003137368.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	Borderline-SSD	WP_012737386.1	0	N/A		1 to 1	RBB	WP_001985648.1	0	N/A		1 to 1	Borderline-SSD	YP_003611362
16128047	b0053	NP_414595.1	peptidyl-prolyl cis-trans isomerase (PPIase)	0	N/A		1 to 1	Borderline-SSD	YP_005235744	0	N/A		0	N/A		1 to 1	Borderline-SSD	NP_459097.1	1 to 1	SSD	NP_249285.1	1 to 1	SSD	YP_001084574	1 to 1	RBB	YP_002385551	1 to 1	RBB	WP_000782121.1	0	N/A		1 to 1	SSD	WP_003109024.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_002888329.1	1 to 1	RBB	YP_001575715	1 to 1	Borderline-SSD	WP_000850091.1	1 to 1	RBB	YP_500469.1	1 to 1	SSD	YP_003611363
16128048	b0054	NP_414596.1	"LPS assembly OM complex LptDE, beta-barrel component"	0	N/A		1 to 1	SSD	YP_005235745	0	N/A		0	N/A		1 to 1	SSD	NP_459098.1	1 to 1	SSD	NP_249286.1	1 to 1	SSD	YP_001084575	1 to 1	RBB	YP_002385552	0	N/A		0	N/A		1 to 1	SSD	WP_003137369.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_012737387.1	0	N/A		1 to 1	SSD	WP_000682628.1	0	N/A		1 to 1	SSD	YP_003611364
16128049	b0055	NP_414597.1	"DnaJ-like protein, membrane anchored"	0	N/A		1 to 1	SSD	YP_005235747	0	N/A		0	N/A		1 to 1	SSD	NP_459099.1	1 to 1	Borderline-SSD	NP_249289.1	0	N/A		1 to 1	RBB	YP_002385553	0	N/A		0	N/A		1 to 1	SSD	WP_003099547.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_012737388.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003611365
16128052	b0058	NP_414600.1	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)	0	N/A		1 to 1	SSD	YP_005235748	0	N/A		0	N/A		1 to 1	SSD	NP_459100.1	1 to 1	RBB	NP_251936.1	1 to 1	RBB	YP_001085483	1 to 1	RBB	YP_002385554	0	N/A		0	N/A		1 to 1	RBB	WP_003091582.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_004145980.1	0	N/A		1 to 1	RBB	WP_001130507.1	0	N/A		1 to 1	SSD	YP_003611366
16128053	b0059	NP_414601.1	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	0	N/A		1 to 1	SSD	YP_005235749	0	N/A		0	N/A		1 to 1	SSD	NP_459101.1	1 to 1	SSD	NP_251998.1	1 to 1	SSD	YP_001085482	1 to 1	RBB	YP_002385555	0	N/A		0	N/A		1 to 1	SSD	WP_016254262.1	0	N/A		0	N/A		0	N/A		1 to 1	Borderline-SSD	WP_002288952.1	1 to 1	SSD	WP_004178574.1	0	N/A		1 to 1	SSD	WP_000413589.1	0	N/A		1 to 1	SSD	YP_003611367
16128054	b0060	NP_414602.1	DNA polymerase II	0	N/A		1 to 1	RBB	YP_005235750	0	N/A		0	N/A		1 to 1	RBB	NP_459102.1	1 to 1	RBB	NP_250577.1	0	N/A		1 to 1	RBB	YP_002385556	0	N/A		0	N/A		1 to 1	RBB	WP_016254161.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_012737391.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003611368
16128055	b0061	NP_414603.1	L-ribulose-5-phosphate 4-epimerase	0	N/A		1 to 1	SSD	YP_005235753	0	N/A		0	N/A		1 to 1	SSD	NP_459106.1	1 to 3	RBB	NP_250374.1	0	N/A		1 to 1	RBB	YP_002385557	0	N/A		0	N/A		1 to 3	RBB	WP_003110430.1	0	N/A		0	N/A		3 to 1	RBB	YP_886090.1	1 to 2	RBB	WP_002287284.1	1 to 1	SSD	WP_002888353.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003611369
16128056	b0062	NP_414604.1	L-arabinose isomerase	0	N/A		1 to 1	SSD	YP_005235754	0	N/A		0	N/A		1 to 1	SSD	NP_459107.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385558	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_886091.1	1 to 1	RBB	WP_002287282.1	1 to 1	SSD	WP_004177424.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003611370
16128057	b0063	NP_414605.1	L-ribulokinase	0	N/A		1 to 1	SSD	YP_005235755	0	N/A		0	N/A		1 to 1	SSD	NP_459108.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385559	1 to 1	RBB	WP_000122354.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_886089.1	0	N/A		1 to 1	SSD	WP_012737392.1	1 to 1	RBB	YP_001574450	0	N/A		1 to 1	RBB	YP_499106.1	1 to 1	SSD	YP_003611371
16128058	b0064	NP_414606.1	DNA-binding transcriptional dual regulator	0	N/A		1 to 1	SSD	YP_005235756	0	N/A		0	N/A		1 to 1	SSD	NP_459109.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385560	1 to 1	RBB	WP_001188472.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_888284.1	2 to 1	RBB	WP_014386982.1;WP_002288251.1	1 to 1	SSD	WP_004145972.1	1 to 1	RBB	YP_001574029	0	N/A		1 to 1	RBB	YP_498661.1	1 to 1	SSD	YP_003611372
16128059	b0065	NP_414607.1	"inner membrane protein, SNARE_assoc family"	0	N/A		1 to 1	SSD	YP_005235757	0	N/A		0	N/A		1 to 1	SSD	NP_459110.1	1 to 1	SSD	NP_252700.1	0	N/A		1 to 1	RBB	YP_002385561	0	N/A		0	N/A		1 to 1	RBB	WP_003110372.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_002888373.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003611373
16128060	b0066	NP_414608.1	thiamin transporter subunit	0	N/A		1 to 1	SSD	YP_005235758	0	N/A		0	N/A		1 to 1	SSD	NP_459111.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385562	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_004145970.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003611374
16128061	b0067	NP_414609.1	fused thiamin transporter subunits of ABC superfamily: membrane components	0	N/A		1 to 1	SSD	YP_005235759	0	N/A		0	N/A		1 to 1	SSD	NP_459112.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385563	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_012737393.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003611375
16128062	b0068	NP_414610.1	thiamin transporter subunit	0	N/A		1 to 1	SSD	YP_005235760	0	N/A		0	N/A		1 to 1	SSD	NP_459113.1	1 to 1	RBB	NP_253376.1	0	N/A		1 to 1	RBB	YP_002385564	0	N/A		0	N/A		1 to 1	RBB	WP_031627775.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_012737394.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003611376
16128063	b0069	NP_414611.1	transcriptional DNA-binding transcriptional activator of sgrS sRNA	0	N/A		1 to 1	SSD	YP_005235762	0	N/A		0	N/A		1 to 1	SSD	NP_459114.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385565	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_004147044.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003611377
49175994	b0070	YP_025293.1	broad specificity sugar efflux system	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002385567	1 to 3	RBB	WP_000367062.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_004147046.1	1 to 3	RBB	YP_001574596	0	N/A		1 to 3	RBB	YP_499240.1	1 to 1	SSD	YP_003611379
16128065	b0071	NP_414613.1	3-isopropylmalate dehydratase small subunit	1 to 1	RBB	WP_003415110.1	1 to 1	Borderline-SSD	YP_005235764	1 to 1	SSD	WP_008259008.1	1 to 1	RBB	YP_001704023	1 to 1	Borderline-SSD	NP_459115.1	1 to 1	RBB	NP_251810.1	1 to 1	Borderline-SSD	YP_001083475	1 to 1	RBB	YP_002385568	1 to 1	RBB	WP_000718953.1	1 to 1	RBB	WP_011740035.1	1 to 1	SSD	WP_003138498.1	1 to 1	SSD	WP_011725707.1	1 to 1	SSD	WP_003875017.1	1 to 1	SSD	YP_886728.1	0	N/A		1 to 1	SSD	WP_002888481.1	1 to 1	RBB	YP_001575931	1 to 1	Borderline-SSD	WP_000649450.1	1 to 1	RBB	YP_500770.1	1 to 1	SSD	YP_003611381
