Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Lactobacillus rhamnosus GG NC_013198 - ortholog count (reference : comparison)	Lactobacillus rhamnosus GG NC_013198 - ortholuge status	Lactobacillus rhamnosus GG NC_013198 - ortholog NCBI RefSeq accession	Eubacterium rectale ATCC 33656 - ortholog count (reference : comparison)	Eubacterium rectale ATCC 33656 - ortholuge status	Eubacterium rectale ATCC 33656 - ortholog NCBI RefSeq accession	Bacteroides vulgatus ATCC 8482 - ortholog count (reference : comparison)	Bacteroides vulgatus ATCC 8482 - ortholuge status	Bacteroides vulgatus ATCC 8482 - ortholog NCBI RefSeq accession	Eubacterium eligens ATCC 27750 - ortholog count (reference : comparison)	Eubacterium eligens ATCC 27750 - ortholuge status	Eubacterium eligens ATCC 27750 - ortholog NCBI RefSeq accession
49176363	b3486	YP_026225.1	fused ribosome-associated ATPase: ATP-binding protein/ATP-binding protein/predicted membrane protein	1 to 2	RBB	WP_014569392.1	2 to 2	RBB	WP_005609481.1;WP_012743799.1	0	N/A		1 to 3	RBB	WP_012739743.1
16131359	b3487	NP_417944.1	predicted membrane fusion protein (MFP) of efflux pump	0	N/A		0	N/A		2 to 1	RBB	WP_005839262.1;WP_011964679.1	0	N/A	
16131360	b3488	NP_417945.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
226524753	b3491	NP_417948.4	inner membrane protein, DUF1323 family	0	N/A		0	N/A		0	N/A		0	N/A	
16131364	b3492	NP_417949.1	predicted oxidoreductase with FAD/NAD(P)-binding domain	0	N/A		2 to 1	RBB	WP_012742594.1;WP_012742477.1	0	N/A		2 to 1	RBB	WP_012739217.1;WP_012739164.1
16131365	b3493	NP_417950.1	phosphate transporter, low-affinity	0	N/A		0	N/A		1 to 2	RBB	WP_011965707.1	0	N/A	
16131366	b3494	NP_417951.1	universal stress (ethanol tolerance) protein B	0	N/A		0	N/A		0	N/A		0	N/A	
16131367	b3495	NP_417952.1	universal stress global response regulator	0	N/A		0	N/A		0	N/A		0	N/A	
16131368	b3496	NP_417953.1	dipeptide and tripeptide permease B	1 to 2	RBB	WP_005687714.1	0	N/A		1 to 4	RBB	WP_012055523.1	0	N/A	
16131369	b3497	NP_417954.1	predicted SAM-dependent methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
16131370	b3498	NP_417955.1	oligopeptidase A	0	N/A		0	N/A		0	N/A		0	N/A	
16131371	b3499	NP_417956.1	protein required for the utilization of DNA as a carbon source, predicted DNA processing protein	0	N/A		0	N/A		0	N/A		0	N/A	
16131372	b3500	NP_417957.1	glutathione oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
16131373	b3501	NP_417958.1	DNA-binding transcriptional repressor	2 to 1	RBB	WP_005687062.1;WP_005686809.1	1 to 1	SSD	WP_012743722.1	0	N/A		1 to 1	RBB	WP_012739660.1
90111602	b3502	NP_417959.4	arsenite/antimonite transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16131375	b3503	NP_417960.1	arsenate reductase	0	N/A		0	N/A		0	N/A		0	N/A	
16131377	b3505	NP_417962.1	IS5 transposase and trans-activator	0	N/A		0	N/A		0	N/A		0	N/A	
90111603	b3506	NP_417963.4	outer membrane lipoprotein	0	N/A		0	N/A		0	N/A		0	N/A	
16131379	b3507	NP_417964.1	predicted DNA-binding ranscriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
16131380	b3508	NP_417965.1	predicted Mg(2+) transport ATPase, inner membrane protein	1 to 1	RBB	WP_014569223.1	0	N/A		1 to 1	RBB	WP_007835476.1	0	N/A	
162135912	b3509	NP_417966.4	acid-resistance protein	0	N/A		0	N/A		0	N/A		0	N/A	
16131382	b3510	NP_417967.1	stress response protein acid-resistance protein	0	N/A		0	N/A		0	N/A		0	N/A	
16131383	b3511	NP_417968.1	acid-resistance membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
16131384	b3512	NP_417969.1	DNA-binding transcriptional activator	0	N/A		0	N/A		0	N/A		0	N/A	
16131385	b3513	NP_417970.1	multidrug resistance efflux transporter	0	N/A		0	N/A		1 to 3	RBB	WP_005842144.1	0	N/A	
16131386	b3514	NP_417971.1	multidrug transporter, RpoS-dependent	0	N/A		1 to 6	RBB	WP_012743418.1	1 to 2	RBB	WP_005845172.1	0	N/A	
16131387	b3515	NP_417972.1	transcriptional activator of gadA and gadBC in absence of GadX	0	N/A		0	N/A		1 to 1	RBB	YP_001298599	0	N/A	
16131388	b3516	NP_417973.1	DNA-binding transcriptional dual regulator	0	N/A		0	N/A		0	N/A		0	N/A	
16131389	b3517	NP_417974.1	glutamate decarboxylase A, PLP-dependent	0	N/A		0	N/A		1 to 2	RBB	WP_012055931.1	0	N/A	
16131390	b3518	NP_417975.1	predicted cytochrome C peroxidase	0	N/A		0	N/A		0	N/A		0	N/A	
16131391	b3519	NP_417976.1	cytoplasmic trehalase	0	N/A		0	N/A		0	N/A		0	N/A	
16131392	b3520	NP_417977.1	predicted two-component system response regulator, LuxR-like HTH domain, function unknown	0	N/A		0	N/A		1 to 1	RBB	WP_008667703.1	0	N/A	
145698322	b3521	NP_417978.2	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
16131394	b3522	NP_417979.1	putative alternate lipid exporter, suppressor of msbA and KDO essentiality, inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
16131395	b3523	NP_417980.1	inner membrane protein, predicted transporter	0	N/A		0	N/A		0	N/A		0	N/A	
226524754	b3524	NP_417981.2	Inner membrane protein, AsmA family	0	N/A		0	N/A		0	N/A		0	N/A	
90111605	b3525	NP_417982.2	cyclic-di-GMP phosphodiesterase, FlhDC-regulated	0	N/A		0	N/A		0	N/A		0	N/A	
90111606	b3526	NP_417983.2	ketodeoxygluconokinase	1 to 1	RBB	WP_005685332.1	0	N/A		1 to 1	RBB	WP_011965677.1	1 to 1	RBB	WP_012738311.1
16131399	b3527	NP_417984.1	predicted zinc-dependent peptidase	0	N/A		0	N/A		0	N/A		0	N/A	
16131400	b3528	NP_417985.1	C4-dicarboxylic acid, orotate and citrate transporter	0	N/A		0	N/A		0	N/A		0	N/A	
226524755	b3529	NP_417986.4	predicted diguanylate cyclase	0	N/A		0	N/A		0	N/A		0	N/A	
226524756	b3530	YP_026226.4	cellulose synthase subunit	0	N/A		1 to 1	RBB	WP_012742795.1	0	N/A		0	N/A	
16131403	b3531	NP_417988.1	endo-1,4-D-glucanase	0	N/A		0	N/A		0	N/A		0	N/A	
16131404	b3532	NP_417989.1	regulator of cellulose synthase, cyclic di-GMP binding	0	N/A		0	N/A		0	N/A		0	N/A	
90111609	b3533	NP_417990.4	cellulose synthase, catalytic subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16131407	b3535	NP_417992.1	putative protein	0	N/A		0	N/A		0	N/A		0	N/A	
16131408	b3536	NP_417993.1	cellulose production protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111610	b3537	NP_417994.2	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16131410	b3538	NP_417995.1	inner membrane protein, predicted endoglucanase, DUF3260 family	0	N/A		0	N/A		0	N/A		0	N/A	
16131411	b3539	NP_417996.1	predicted transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16131412	b3540	NP_417997.1	dipeptide transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16131413	b3541	NP_417998.1	dipeptide/heme transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16131414	b3542	NP_417999.1	dipeptide/heme transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16131415	b3543	NP_418000.1	dipeptide/heme transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16131416	b3544	NP_418001.1	dipeptide transporter	0	N/A		0	N/A		0	N/A		0	N/A	
90111611	b3546	NP_418002.2	KDO phosphoethanolamine transferase, Ca(2+)-inducible	0	N/A		0	N/A		1 to 2	RBB	WP_005847079.1	0	N/A	
16131418	b3547	NP_418003.1	Inner membrane protein, predicted oxalate-formate antiporter	1 to 1	RBB	WP_014569196.1	0	N/A		0	N/A		0	N/A	
90111612	b3548	NP_418004.4	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16131420	b3549	NP_418005.1	3-methyl-adenine DNA glycosylase I, constitutive	1 to 1	RBB	WP_005684662.1	0	N/A		1 to 1	RBB	WP_011964920.1	0	N/A	
16131421	b3550	NP_418006.1	predicted acyltransferase with acyl-CoA N-acyltransferase domain	1 to 1	RBB	WP_005685396.1	0	N/A		0	N/A		0	N/A	
145698325	b3551	NP_418007.3	biotin sulfoxide reductase	0	N/A		0	N/A		0	N/A		0	N/A	
49176370	b3552	YP_026228.1	outer membrane lipoprotein	0	N/A		1 to 2	RBB	WP_012742639.1	1 to 1	RBB	WP_005852557.1	1 to 1	RBB	WP_012739064.1
90111614	b3553	NP_418009.2	glyoxylate/hydroxypyruvate reductase B	1 to 1	RBB	WP_014568980.1	1 to 1	RBB	WP_012741265.1	1 to 1	RBB	WP_005851581.1	1 to 1	RBB	WP_012738332.1
90111615	b3554	NP_418010.2	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16131426	b3555	NP_418011.1	predicted transcriptional regulator, HTH_CROC1 family	0	N/A		1 to 1	RBB	WP_012743193.1	0	N/A		0	N/A	
16131427	b3556	NP_418012.1	RNA chaperone and anti-terminator, cold-inducible	1 to 2	RBB	WP_003563620.1	1 to 6	RBB	WP_012743213.1	0	N/A		1 to 6	RBB	WP_041687948.1
16131428	b3557	NP_418014.1	IS150 transposase A	4 to 1	RBB	WP_014569708.1;WP_014570119.1	0	N/A		0	N/A		0	N/A	
16131429	b3558	NP_418015.1	IS150 transposase B	5 to 1	RBB	WP_014569097.1;WP_014570118.1	1 to 1	RBB	WP_041254642.1	0	N/A		0	N/A	
16131430	b3559	NP_418016.1	glycine tRNA synthetase, beta subunit	1 to 1	RBB	WP_014569666.1	0	N/A		0	N/A		0	N/A	
16131431	b3560	NP_418017.1	glycine tRNA synthetase, alpha subunit	1 to 1	RBB	WP_005685932.1	0	N/A		0	N/A		0	N/A	
16131432	b3561	NP_418018.1	O-acetyltransferase for enterobacterial common antigen (ECA)	0	N/A		1 to 1	RBB	WP_012743460.1	1 to 1	RBB	WP_011965078.1	0	N/A	
90111616	b3562	NP_418019.4	inner membrane protein, YiaAB family	0	N/A		0	N/A		0	N/A		0	N/A	
90111617	b3563	NP_418020.2	inner membrane protein, YiaAB family	0	N/A		0	N/A		0	N/A		0	N/A	
16131435	b3564	NP_418021.1	xylulokinase	1 to 1	RBB	WP_014568996.1	1 to 1	RBB	WP_012743379.1	1 to 1	RBB	WP_005843149.1	1 to 1	RBB	WP_012738867.1
16131436	b3565	NP_418022.1	D-xylose isomerase	0	N/A		0	N/A		1 to 1	RBB	WP_005851486.1	0	N/A	
16131437	b3566	NP_418023.1	D-xylose transporter subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16131438	b3567	NP_418024.1	fused D-xylose transporter subunits of ABC superfamily: ATP-binding components	0	N/A		0	N/A		0	N/A		0	N/A	
16131439	b3568	NP_418025.1	D-xylose ABC transporter permease subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16131440	b3569	NP_418026.1	DNA-binding transcriptional activator, xylose-binding	0	N/A		0	N/A		0	N/A		0	N/A	
49176373	b3570	YP_026230.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16131442	b3571	NP_418028.1	alpha-amylase	0	N/A		1 to 1	RBB	WP_012741944.1	0	N/A		0	N/A	
49176374	b3572	YP_026231.1	valine-pyruvate aminotransferase 1	0	N/A		0	N/A		0	N/A		0	N/A	
16131444	b3573	NP_418030.1	predicted hydrogenase, 4Fe-4S ferredoxin-type component	0	N/A		1 to 3	RBB	WP_015568820.1	1 to 9	RBB	WP_022508245.1	0	N/A	
16131445	b3574	NP_418031.1	DNA-binding transcriptional repressor of yiaK-S operon	0	N/A		0	N/A		0	N/A		0	N/A	
16131446	b3575	NP_418032.1	2,3-diketo-L-gulonate reductase, NADH-dependent	0	N/A		0	N/A		0	N/A		0	N/A	
16131447	b3576	NP_418033.1	conserved protein	0	N/A		0	N/A		1 to 2	RBB	WP_005842047.1	0	N/A	
16131448	b3577	NP_418034.1	L-dehydroascorbate transporter, TRAP permease small subunit for TRAP (TRipartite ATP-independent Periplasmic) family transporter YiaMNO	0	N/A		0	N/A		0	N/A		0	N/A	
49176375	b3578	YP_026232.1	L-dehydroascorbate transporter, TRAP permease large subunit for TRAP (TRipartite ATP-independent Periplasmic) family transporter YiaMNO	0	N/A		1 to 1	RBB	WP_012743595.1	0	N/A		0	N/A	
16131450	b3579	NP_418036.1	L-dehydroascorbate transporter, periplasmic binding protein for TRAP (TRipartite ATP-independent Periplasmic) family transporter YiaMNO	0	N/A		1 to 1	RBB	WP_041254211.1	0	N/A		0	N/A	
16131451	b3580	NP_418037.1	L-xylulose kinase	0	N/A		0	N/A		0	N/A		0	N/A	
16131452	b3581	NP_418038.1	3-keto-L-gulonate 6-phosphate decarboxylase	1 to 1	RBB	WP_005687764.1	0	N/A		0	N/A		0	N/A	
90111618	b3582	NP_418039.2	predicted L-xylulose 5-phosphate 3-epimerase	1 to 2	RBB	WP_015765089.1	0	N/A		0	N/A		0	N/A	
16131454	b3583	NP_418040.1	L-ribulose-5-phosphate 4-epimerase	1 to 3	RBB	WP_014571689.1	0	N/A		0	N/A		0	N/A	
16131455	b3584	NP_418041.1	predicted outer membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
16131456	b3585	NP_418042.1	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
16131457	b3586	NP_418043.1	membrane fusion protein (MFP) component of efflux pump, signal anchor	0	N/A		0	N/A		0	N/A		0	N/A	
16131458	b3587	NP_418044.1	inner membrane protein, DUF3302 family	0	N/A		0	N/A		0	N/A		0	N/A	
90111619	b3588	NP_418045.4	aldehyde dehydrogenase B	1 to 6	RBB	WP_005690034.1	0	N/A		0	N/A		1 to 8	RBB	WP_041687921.1
49176377	b3589	YP_026233.1	predicted Fe-containing alcohol dehydrogenase, Pfam00465 family	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012738680.1
16131461	b3590	NP_418047.1	selenocysteinyl-tRNA-specific translation factor	0	N/A		0	N/A		0	N/A		0	N/A	
16131462	b3591	NP_418048.1	selenocysteine synthase	1 to 1	RBB	WP_005687728.1	0	N/A		0	N/A		0	N/A	
16131463	b3592	NP_418049.1	glutathione S-transferase homolog	0	N/A		0	N/A		0	N/A		0	N/A	
16131464	b3593	NP_418050.1	rhsA element core protein RshA	0	N/A		0	N/A		0	N/A		0	N/A	
16131465	b3594	NP_418051.1	Predicted lyase containing HEAT-repeat	0	N/A		0	N/A		0	N/A		0	N/A	
16131467	b3596	NP_418053.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16131468	b3597	NP_418054.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16131469	b3598	NP_418055.1	inner membrane protein, DUF3302 family	0	N/A		0	N/A		0	N/A		0	N/A	
16131470	b3599	NP_418056.1	fused mannitol-specific PTS enzymes: IIA components/IIB components/IIC components	1 to 1	RBB	WP_014570237.1	0	N/A		0	N/A		0	N/A	
16131471	b3600	NP_418057.1	mannitol-1-phosphate dehydrogenase, NAD(P)-binding	1 to 1	RBB	WP_032952282.1	0	N/A		0	N/A		0	N/A	
16131472	b3601	NP_418058.1	mannitol operon repressor	0	N/A		0	N/A		0	N/A		0	N/A	
16131473	b3602	NP_418059.1	conserved protein, ribosome-associated	0	N/A		0	N/A		0	N/A		0	N/A	
16131474	b3603	NP_418060.1	L-lactate permease	0	N/A		0	N/A		1 to 2	RBB	WP_016270256.1	0	N/A	
16131475	b3604	NP_418061.1	dual role activator/repressor for lldPRD operon	1 to 1	RBB	WP_005685986.1	1 to 4	RBB	WP_012741421.1	0	N/A		0	N/A	
16131476	b3605	NP_418062.1	L-lactate dehydrogenase, FMN-linked	2 to 1	RBB	WP_014569277.1;WP_014570055.1	1 to 1	Borderline-SSD	WP_012742566.1	0	N/A		0	N/A	
16131477	b3606	NP_418063.1	tRNA Leu mC34/mU34 2'-O-methyltransferase, SAM-dependent	1 to 1	RBB	WP_005688659.1	1 to 1	RBB	WP_012743757.1	0	N/A		1 to 1	RBB	WP_012740077.1
16131478	b3607	NP_418064.1	serine acetyltransferase	0	N/A		1 to 1	SSD	WP_012742420.1	1 to 1	SSD	WP_005844169.1	1 to 1	RBB	WP_012738739.1
16131479	b3608	NP_418065.1	glycerol-3-phosphate dehydrogenase (NAD+)	1 to 1	RBB	WP_014569366.1	1 to 1	RBB	WP_012743119.1	1 to 1	RBB	WP_005839736.1	1 to 1	RBB	WP_041688090.1
16131480	b3609	NP_418066.1	protein export chaperone	0	N/A		0	N/A		0	N/A		0	N/A	
16131481	b3610	NP_418067.1	glutaredoxin 3	0	N/A		0	N/A		0	N/A		0	N/A	
16131482	b3611	NP_418068.1	predicted rhodanese-related sulfurtransferase	1 to 1	RBB	WP_005684415.1	0	N/A		1 to 1	RBB	WP_005845993.1	0	N/A	
16131483	b3612	NP_418069.1	phosphoglycero mutase III, cofactor-independent	0	N/A		1 to 1	SSD	WP_012742378.1	1 to 1	SSD	WP_005849646.1	1 to 1	RBB	WP_012739421.1
162135913	b3613	NP_418070.6	activator of AmiB,C murein hydrolases, septal ring factor	0	N/A		0	N/A		0	N/A		0	N/A	
90111621	b3614	NP_418071.4	predicted polysaccharide deacetylase	0	N/A		0	N/A		0	N/A		0	N/A	
16131486	b3615	NP_418072.1	predicted glycosyl transferase	3 to 1	RBB	WP_005685790.1;WP_005685367.1;WP_014569232.1	1 to 1	RBB	WP_012743344.1	2 to 1	RBB	WP_005843136.1;WP_012055721.1	1 to 1	RBB	WP_041687859.1
16131487	b3616	NP_418073.1	threonine 3-dehydrogenase, NAD(P)-binding	1 to 6	RBB	WP_005687935.1	0	N/A		0	N/A		0	N/A	
16131488	b3617	NP_418074.1	glycine C-acetyltransferase	0	N/A		0	N/A		2 to 1	RBB	WP_005844404.1	0	N/A	
90111622	b3618	NP_418075.2	conserved protein, pfam09612 family	0	N/A		0	N/A		0	N/A		0	N/A	
16131490	b3619	NP_418076.1	ADP-L-glycero-D-mannoheptose-6-epimerase, NAD(P)-binding	0	N/A		0	N/A		0	N/A		0	N/A	
16131491	b3620	NP_418077.1	ADP-heptose:LPS heptosyltransferase II	0	N/A		0	N/A		0	N/A		0	N/A	
16131492	b3621	NP_418078.1	ADP-heptose:LPS heptosyl transferase I	0	N/A		0	N/A		0	N/A		0	N/A	
16131493	b3622	NP_418079.1	O-antigen ligase	0	N/A		0	N/A		0	N/A		0	N/A	
16131494	b3623	NP_418080.1	lipopolysaccharide core biosynthesis	0	N/A		0	N/A		0	N/A		0	N/A	
16131495	b3624	NP_418081.1	lipopolysaccharide core biosynthesis protein	0	N/A		0	N/A		0	N/A		0	N/A	
16131496	b3625	NP_418082.1	lipopolysaccharide core biosynthesis protein	0	N/A		0	N/A		0	N/A		0	N/A	
16131497	b3626	NP_418083.1	UDP-D-glucose:(galactosyl)lipopolysaccharide glucosyltransferase	1 to 2	RBB	WP_014569406.1	0	N/A		0	N/A		1 to 2	RBB	WP_041688686.1
16131498	b3627	NP_418084.1	UDP-D-galactose:(glucosyl)lipopolysaccharide- alpha-1,3-D-galactosyltransferase	1 to 2	RBB	WP_014569406.1	0	N/A		0	N/A		1 to 2	RBB	WP_041688686.1
226524757	b3628	NP_418085.2	UDP-D-galactose:(glucosyl)lipopolysaccharide-1, 6-D-galactosyltransferase	3 to 1	RBB	WP_005688088.1;WP_014569699.1;WP_014569020.1	0	N/A		5 to 1	RBB	WP_012055971.1;WP_005843126.1;WP_041174499.1;WP_005843131.1;WP_012055969.1	1 to 1	RBB	WP_012738536.1
16131500	b3629	NP_418086.1	lipopolysaccharide core biosynthesis protein	0	N/A		0	N/A		0	N/A		0	N/A	
16131501	b3630	NP_418087.1	kinase that phosphorylates core heptose of lipopolysaccharide	0	N/A		0	N/A		0	N/A		0	N/A	
16131502	b3631	NP_418088.1	glucosyltransferase I	1 to 1	RBB	WP_014569860.1	0	N/A		1 to 1	SSD	WP_011965675.1	1 to 1	RBB	WP_012738401.1
16131503	b3632	NP_418089.1	lipopolysaccharide core biosynthesis protein	0	N/A		0	N/A		0	N/A		0	N/A	
16131504	b3633	NP_418090.1	3-deoxy-D-manno-octulosonic-acid transferase (KDO transferase)	0	N/A		0	N/A		1 to 1	RBB	WP_011965199.1	0	N/A	
16131505	b3634	NP_418091.1	pantetheine-phosphate adenylyltransferase	1 to 1	RBB	WP_005685634.1	1 to 1	RBB	WP_012742520.1	1 to 1	RBB	WP_005849847.1	1 to 1	RBB	WP_012739271.1
16131506	b3635	NP_418092.1	formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase	1 to 1	RBB	WP_014569730.1	0	N/A		0	N/A		0	N/A	
16131507	b3636	NP_418093.1	50S ribosomal subunit protein L33	1 to 1	RBB	WP_003566154.1	1 to 1	RBB	WP_012741283.1	1 to 1	RBB	WP_005841291.1	1 to 1	RBB	WP_012738549.1
16131508	b3637	NP_418094.1	50S ribosomal subunit protein L28	1 to 1	RBB	WP_005684367.1	0	N/A		1 to 1	RBB	WP_005841284.1	0	N/A	
162135914	b3638	NP_418095.4	conserved protein, UPF0758 family; not radC	1 to 1	RBB	WP_005713815.1	1 to 1	RBB	WP_012742588.1	1 to 1	RBB	WP_011964786.1	1 to 1	RBB	WP_012739231.1
90111624	b3639	NP_418096.4	fused 4'-phosphopantothenoylcysteine decarboxylase/phosphopantothenoylcysteine synthetase, FMN-binding	1 to 1	RBB	WP_005684378.1	1 to 1	SSD	WP_012741715.1	1 to 1	SSD	WP_005847882.1	1 to 1	RBB	WP_012739391.1
16131511	b3640	NP_418097.1	deoxyuridinetriphosphatase	1 to 1	RBB	WP_005686110.1	1 to 1	RBB	WP_012743118.1	1 to 1	RBB	WP_005845350.1	0	N/A	
90111625	b3641	NP_418098.4	division inhibitor	0	N/A		0	N/A		0	N/A		0	N/A	
16131513	b3642	NP_418099.1	orotate phosphoribosyltransferase	0	N/A		1 to 1	RBB	WP_012743292.1	1 to 1	SSD	WP_005844513.1	1 to 1	RBB	WP_022097793.1
157783152	b3643	YP_001491547	defective ribonuclease PH	0	N/A		0	N/A		0	N/A		0	N/A	
16131515	b3644	NP_418101.1	conserved protein, UPF0701 family	0	N/A		1 to 1	RBB	WP_041254564.1	1 to 1	RBB	WP_032934774.1	1 to 1	RBB	WP_012739364.1
90111626	b3645	NP_418102.2	DNA-damage-inducible protein	0	N/A		1 to 1	RBB	WP_041254410.1	1 to 1	RBB	WP_011965093.1	0	N/A	
90111627	b3646	NP_418103.4	inner membrane protein, UPF0126 family	0	N/A		0	N/A		0	N/A		0	N/A	
90111628	b3647	NP_418104.2	DNA ligase, NAD(+)-dependent	0	N/A		0	N/A		0	N/A		0	N/A	
16131519	b3648	NP_418105.1	guanylate kinase	1 to 1	RBB	WP_005684381.1	1 to 1	RBB	WP_012742515.1	1 to 1	RBB	WP_005839220.1	1 to 1	RBB	WP_012739363.1
16131520	b3649	NP_418106.1	RNA polymerase, omega subunit	1 to 1	RBB	WP_005684379.1	0	N/A		0	N/A		0	N/A	
16131521	b3650	NP_418107.1	bifunctional (p)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase	1 to 1	RBB	WP_005687678.1	0	N/A		2 to 1	RBB	WP_011965376.1;WP_005843316.1	0	N/A	
16131522	b3651	NP_418108.1	tRNA mG18-2'-O-methyltransferase, SAM-dependen	0	N/A		0	N/A		0	N/A		0	N/A	
16131523	b3652	NP_418109.1	ATP-dependent DNA helicase	1 to 1	RBB	WP_005684364.1	1 to 1	RBB	WP_012742512.1	1 to 1	RBB	WP_005840791.1	1 to 1	RBB	WP_041688077.1
16131524	b3653	NP_418110.1	glutamate transporter	0	N/A		1 to 1	RBB	WP_012742693.1	0	N/A		0	N/A	
16131525	b3654	NP_418111.1	xanthine permease	0	N/A		1 to 2	RBB	WP_012743925.1	1 to 1	RBB	WP_011965637.1	1 to 2	RBB	WP_041688699.1
16131526	b3655	NP_418112.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16131527	b3656	NP_418113.1	predicted alpha-glucosidase	1 to 2	RBB	WP_014570182.1	1 to 1	RBB	WP_012741408.1	1 to 1	RBB	WP_011965820.1	0	N/A	
90111629	b3657	NP_418114.4	predicted transporter	1 to 2	RBB	WP_014569160.1	0	N/A		1 to 2	RBB	WP_008782290.1	1 to 6	RBB	WP_041688284.1
16131529	b3659	NP_418115.1	predicted sugar efflux system	0	N/A		0	N/A		0	N/A		0	N/A	
16131530	b3660	NP_418116.1	predicted inner membrane protein	2 to 1	RBB	WP_014569983.1;WP_005684213.1	0	N/A		0	N/A		0	N/A	
16131531	b3661	NP_418117.1	cytoplasmic membrane lipoprotein-28	0	N/A		0	N/A		0	N/A		0	N/A	
145698327	b3662	NP_418118.2	predicted transporter	0	N/A		0	N/A		0	N/A		0	N/A	
90111630	b3663	NP_418119.2	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111631	b3664	NP_418120.2	Probable adenine permease	1 to 3	RBB	WP_005687419.1	1 to 4	RBB	WP_041253946.1	0	N/A		1 to 2	RBB	WP_012739516.1
16131535	b3665	NP_418121.1	cryptic adenine deaminase	0	N/A		0	N/A		0	N/A		0	N/A	
16131536	b3666	NP_418122.1	hexose phosphate transporter	0	N/A		0	N/A		0	N/A		0	N/A	
90111632	b3667	NP_418123.2	membrane protein regulates uhpT expression	0	N/A		0	N/A		0	N/A		0	N/A	
90111633	b3668	NP_418124.4	sensory histidine kinase in two-component regulatory sytem with UhpA	0	N/A		0	N/A		0	N/A		0	N/A	
16131539	b3669	NP_418125.1	DNA-binding response regulator in two-component regulatory system wtih UhpB	1 to 1	RBB	WP_015764933.1	0	N/A		0	N/A		0	N/A	
16131540	b3670	NP_418126.1	acetolactate synthase I, small subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16131541	b3671	NP_418127.1	acetolactate synthase I, large subunit	1 to 2	RBB	WP_005686061.1	0	N/A		0	N/A		0	N/A	
16131542	b3672	NP_418128.1	ilvB operon leader peptide	0	N/A		0	N/A		0	N/A		0	N/A	
90111634	b3673	NP_418129.2	multidrug efflux system protein	0	N/A		0	N/A		0	N/A		0	N/A	
16131544	b3674	NP_418130.1	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
16131545	b3675	NP_418131.1	inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
16131546	b3676	NP_418132.1	inner membrane protein, DUF202 family	0	N/A		0	N/A		0	N/A		0	N/A	
16131547	b3677	NP_418133.1	inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
16131548	b3678	NP_418134.1	predicted sulfatase/phosphatase	0	N/A		0	N/A		1 to 1	RBB	WP_005841699.1	0	N/A	
16131549	b3679	NP_418135.1	predicted transporter	0	N/A		1 to 1	RBB	WP_041254176.1	1 to 1	RBB	WP_011965818.1	0	N/A	
226524758	b3680	NP_418136.2	predicted transcriptional regulator, AraC family	0	N/A		0	N/A		1 to 1	RBB	WP_005841013.1	0	N/A	
16131552	b3684	NP_418139.1	predicted DNA-binding transcriptional regulator	1 to 2	RBB	WP_005685382.1	0	N/A		0	N/A		0	N/A	
