Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog NCBI RefSeq accession	Mycobacterium avium subsp. paratuberculosis K-10 - ortholog count (reference : comparison)	Mycobacterium avium subsp. paratuberculosis K-10 - ortholuge status	Mycobacterium avium subsp. paratuberculosis K-10 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus N315 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus N315 - ortholuge status	Staphylococcus aureus subsp. aureus N315 - ortholog NCBI RefSeq accession	Escherichia coli str. K-12 substr. MG1655 - ortholog count (reference : comparison)	Escherichia coli str. K-12 substr. MG1655 - ortholuge status	Escherichia coli str. K-12 substr. MG1655 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PAO1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PAO1 - ortholuge status	Pseudomonas aeruginosa PAO1 - ortholog NCBI RefSeq accession	Mycobacterium abscessus ATCC 19977 - ortholog count (reference : comparison)	Mycobacterium abscessus ATCC 19977 - ortholuge status	Mycobacterium abscessus ATCC 19977 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog NCBI RefSeq accession	Mycobacterium intracellulare ATCC 13950 - ortholog count (reference : comparison)	Mycobacterium intracellulare ATCC 13950 - ortholuge status	Mycobacterium intracellulare ATCC 13950 - ortholog NCBI RefSeq accession	Acinetobacter baumannii ATCC 17978 - ortholog count (reference : comparison)	Acinetobacter baumannii ATCC 17978 - ortholuge status	Acinetobacter baumannii ATCC 17978 - ortholog NCBI RefSeq accession	Mycobacterium marinum M - ortholog count (reference : comparison)	Mycobacterium marinum M - ortholuge status	Mycobacterium marinum M - ortholog NCBI RefSeq accession	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholog count (reference : comparison)	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholuge status	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholog NCBI RefSeq accession	Escherichia coli IAI1 - ortholog count (reference : comparison)	Escherichia coli IAI1 - ortholuge status	Escherichia coli IAI1 - ortholog NCBI RefSeq accession	Mycobacterium avium 104 - ortholog count (reference : comparison)	Mycobacterium avium 104 - ortholuge status	Mycobacterium avium 104 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholuge status	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholuge status	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholog NCBI RefSeq accession	Acinetobacter baumannii AYE - ortholog count (reference : comparison)	Acinetobacter baumannii AYE - ortholuge status	Acinetobacter baumannii AYE - ortholog NCBI RefSeq accession	Enterococcus faecium Aus0004 - ortholog count (reference : comparison)	Enterococcus faecium Aus0004 - ortholuge status	Enterococcus faecium Aus0004 - ortholog NCBI RefSeq accession
397675163	RVBD_3224	WP_003416899.1	citronellol/citronellal dehydrogenase	0	N/A		1 to 1	SSD	WP_003878914.1	0	N/A		0	N/A		1 to 1	RBB	NP_251582.1	1 to 1	Non-SSD	YP_001704674	1 to 1	RBB	WP_003101741.1	0	N/A		1 to 1	SSD	WP_008259702.1	0	N/A		1 to 1	SSD	WP_012393200.1	1 to 1	RBB	YP_886260.1	0	N/A		1 to 1	SSD	WP_011725923.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675164	RVBD_3224A	WP_003416901.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675165	RVBD_3224B	WP_003416902.1	hypothetical protein	1 to 1	RBB	YP_005236196	0	N/A		0	N/A		1 to 1	RBB	NP_415014.1	1 to 1	RBB	NP_252270.1	1 to 1	Non-SSD	YP_001704274	1 to 1	RBB	WP_003092163.1	1 to 1	RBB	NP_459490.1	1 to 1	Non-SSD	WP_009952808.1	1 to 1	RBB	YP_001084675	1 to 1	Non-SSD	WP_012393199.1	1 to 1	Non-SSD	YP_886279.1	1 to 1	RBB	YP_002385960	0	N/A		1 to 1	RBB	YP_006637596	0	N/A		0	N/A		1 to 1	RBB	WP_000186516.1	0	N/A	
397675166	RVBD_3225c	WP_003899979.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	Non-SSD	YP_001705559	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_041325289.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_004140943.1	0	N/A		0	N/A		0	N/A		0	N/A	
397675167	RVBD_3226c	WP_003416907.1	hypothetical protein	1 to 2	RBB	YP_005236784;YP_005237064	1 to 1	SSD	WP_003878925.1	0	N/A		1 to 1	RBB	YP_025310.1	1 to 1	RBB	NP_253324.1	1 to 1	SSD	YP_001704275	1 to 1	RBB	WP_003141612.1	1 to 1	SSD	NP_460027.1	1 to 1	SSD	WP_009952821.1	0	N/A		1 to 1	SSD	WP_036451449.1	1 to 1	SSD	YP_886257.1	1 to 1	RBB	YP_002387429	1 to 1	SSD	WP_011725932.1	1 to 1	SSD	WP_014907646.1	0	N/A		0	N/A		0	N/A		0	N/A	
397675168	RVBD_3227	WP_003416914.1	3-phosphoshikimate 1-carboxyvinyltransferase	1 to 1	SSD	YP_005236696	1 to 1	SSD	WP_010949928.1	0	N/A		1 to 1	RBB	NP_415428.1	0	N/A		1 to 1	SSD	YP_001704276	1 to 1	SSD	WP_011666597.1	1 to 1	SSD	NP_459953.1	1 to 1	SSD	WP_026071230.1	1 to 1	SSD	YP_001085301	1 to 1	SSD	WP_012393187.1	1 to 1	SSD	YP_886256.1	1 to 1	RBB	YP_002386407	1 to 1	SSD	WP_011725933.1	1 to 1	SSD	WP_012737722.1	0	N/A		0	N/A		1 to 1	SSD	WP_000082052.1	1 to 1	RBB	WP_002289139.1
397675169	RVBD_3228	WP_003416916.1	ribosome small subunit-dependent GTPase A	1 to 1	SSD	YP_005240664	1 to 1	SSD	WP_003878926.1	1 to 1	RBB	WP_000847936.1	1 to 1	RBB	NP_418585.4	1 to 1	SSD	NP_253639.1	1 to 1	SSD	YP_001704277	1 to 1	SSD	WP_003141723.1	1 to 1	RBB	NP_463213.2	1 to 1	SSD	WP_014380943.1	1 to 1	RBB	YP_001083586	1 to 1	SSD	WP_012393186.1	1 to 1	SSD	YP_886255.1	1 to 1	RBB	YP_002389630	1 to 1	SSD	WP_009978701.1	1 to 1	RBB	WP_004178332.1	1 to 1	RBB	YP_001575052	1 to 1	RBB	YP_499727.2	1 to 1	RBB	WP_001173998.1	1 to 1	RBB	WP_002287379.1
397675170	RVBD_3229c	WP_003416919.1	stearoyl-CoA 9-desaturase	0	N/A		1 to 1	SSD	WP_003874582.1	0	N/A		0	N/A		1 to 1	RBB	NP_253575.1	1 to 1	RBB	YP_001702883	1 to 1	RBB	WP_003116117.1	0	N/A		1 to 1	SSD	WP_009952833.1	1 to 2	RBB	YP_001083138;YP_001085478	1 to 1	SSD	WP_012393182.1	1 to 1	SSD	YP_886252.1	0	N/A		1 to 1	SSD	WP_003874582.1	0	N/A		0	N/A		0	N/A		1 to 2	RBB	WP_001057073.1;WP_001055517.1	0	N/A	
397675171	RVBD_3230c	WP_003416922.1	stearoyl-CoA 9-desaturase electron transfer partner	2 to 1	RBB	YP_005236642	1 to 1	SSD	WP_009978714.1	0	N/A		1 to 1	RBB	NP_415393.1	1 to 1	RBB	NP_253576.1	1 to 1	RBB	YP_001704279	1 to 1	RBB	WP_011666776.1	2 to 1	RBB	NP_459913.1	1 to 1	SSD	WP_026071229.1	1 to 1	RBB	YP_001083137	1 to 1	SSD	WP_012393181.1	1 to 1	SSD	YP_886251.1	1 to 1	RBB	YP_002386371	1 to 1	SSD	WP_009978714.1	1 to 1	RBB	WP_004147771.1	3 to 1	RBB	YP_001574159	3 to 1	RBB	YP_498801.1	1 to 1	RBB	WP_000994544.1	0	N/A	
397675172	RVBD_3231c	WP_031647152.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_031347667.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001704280	0	N/A		0	N/A		1 to 1	SSD	WP_009957351.1	0	N/A		1 to 1	SSD	WP_012393180.1	1 to 1	SSD	YP_886250.1	0	N/A		1 to 1	SSD	WP_031347667.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675173	RVBD_3232c	WP_009938021.1	polyphosphate kinase 2	0	N/A		1 to 1	SSD	WP_019305749.1	0	N/A		0	N/A		1 to 1	RBB	NP_251118.1	1 to 2	RBB	YP_001701784;YP_001704862	1 to 1	RBB	WP_003089666.1	0	N/A		0	N/A		1 to 1	RBB	YP_001083414	1 to 1	SSD	WP_012393179.1	1 to 1	Non-SSD	YP_885294.1	0	N/A		1 to 1	SSD	WP_011725940.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_000003544.1	0	N/A	
397675174	RVBD_3233c	YP_006516709	"acyltransferase, WS/DGAT/MGAT"	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675175	RVBD_3234c	YP_006516710	"acyltransferase, WS/DGAT/MGAT"	0	N/A		1 to 1	SSD	WP_003874578.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001704281	0	N/A		0	N/A		1 to 1	SSD	WP_008259749.1	0	N/A		1 to 1	SSD	WP_012393178.1	1 to 1	SSD	YP_886248.1	0	N/A		1 to 1	SSD	WP_003874578.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675176	RVBD_3235	WP_003912151.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_003874577.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001704282	0	N/A		0	N/A		1 to 1	SSD	WP_014380951.1	0	N/A		1 to 1	SSD	WP_020727266.1	1 to 1	RBB	YP_886247.1	0	N/A		1 to 1	SSD	WP_011725941.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675177	RVBD_3236c	WP_003416933.1	CPA2 family monovalent cation:H+ antiporter-2	1 to 1	RBB	YP_005236192	1 to 1	RBB	WP_003874576.1	0	N/A		1 to 1	RBB	NP_415011.1	1 to 1	RBB	NP_254216.1	0	N/A		1 to 1	RBB	WP_003142154.1	1 to 1	RBB	NP_459487.1	0	N/A		0	N/A		1 to 1	RBB	WP_012393176.1	1 to 1	SSD	YP_887967.1	1 to 1	RBB	YP_002385957	1 to 1	RBB	WP_009978726.1	1 to 1	SSD	WP_002892195.1	0	N/A		0	N/A		0	N/A		0	N/A	
397675178	RVBD_3237c	WP_003899982.1	TrkA domain-containing protein	0	N/A		1 to 1	RBB	WP_003874575.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012393175.1	1 to 1	SSD	YP_887968.1	0	N/A		1 to 1	RBB	WP_003874575.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_002287801.1
397675179	RVBD_3238c	WP_003416945.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_010949933.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_014380952.1	0	N/A		1 to 1	SSD	WP_012393174.1	0	N/A		0	N/A		1 to 1	SSD	WP_024637614.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675180	RVBD_3239c	WP_003900661.1	drug:H+ antiporter-2 (14 Spanner) (DHA2) family drug resistance MFS transporter	1 to 1	RBB	YP_005240156	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_462786.1	0	N/A		0	N/A		1 to 1	RBB	WP_036451451.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675181	RVBD_3240c	WP_003901576.1	protein translocase subunit secA 1	1 to 1	RBB	YP_005235795	1 to 1	SSD	WP_010949934.1	1 to 1	RBB	WP_000506531.1	1 to 1	RBB	NP_414640.1	1 to 1	SSD	NP_253093.1	1 to 1	SSD	YP_001704309	1 to 1	SSD	WP_003141268.1	1 to 1	RBB	NP_459141.1	1 to 1	SSD	WP_009957356.1	1 to 1	RBB	YP_001085870	1 to 1	SSD	WP_012393172.1	1 to 1	SSD	YP_886246.1	1 to 1	RBB	YP_002385594	0	N/A		1 to 1	RBB	WP_002888638.1	1 to 1	RBB	YP_001574680	1 to 1	RBB	YP_499326.1	1 to 1	RBB	WP_000881342.1	1 to 1	RBB	WP_002296588.1
397675182	RVBD_3241c	WP_003901577.1	ribosomal subunit interface protein	1 to 1	RBB	YP_005239501	1 to 1	SSD	WP_003878939.1	1 to 1	RBB	WP_000617735.1	1 to 1	RBB	NP_417670.1	1 to 1	RBB	NP_253153.1	1 to 1	SSD	YP_001704312	1 to 1	RBB	WP_003094359.1	1 to 1	RBB	NP_462231.1	1 to 1	SSD	WP_014380956.1	0	N/A		1 to 1	SSD	WP_011740530.1	1 to 1	SSD	YP_886244.1	1 to 1	RBB	YP_002388686	1 to 1	SSD	WP_009978732.1	1 to 1	RBB	WP_002918423.1	1 to 1	RBB	YP_001574679	1 to 1	RBB	YP_499325.1	0	N/A		1 to 1	RBB	WP_002296587.1
397675183	RVBD_3242c	WP_003416963.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_003878940.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001704314	0	N/A		0	N/A		1 to 1	SSD	WP_014380957.1	0	N/A		1 to 1	SSD	WP_012393171.1	1 to 1	SSD	YP_886243.1	0	N/A		1 to 1	SSD	WP_011725945.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675184	RVBD_3243c	WP_003416966.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_012393170.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675185	RVBD_3244c	WP_003901578.1	lipoprotein lpqB	0	N/A		1 to 1	SSD	WP_003878942.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001704318	0	N/A		0	N/A		1 to 1	SSD	WP_036397692.1	0	N/A		1 to 1	SSD	WP_036451453.1	1 to 1	SSD	YP_886242.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675186	RVBD_3245c	WP_003917137.1	sensor histidine kinase mtrB	1 to 2	RBB	YP_005237344;YP_005240334	1 to 1	SSD	WP_011725946.1	0	N/A		1 to 2	RBB	NP_416126.1;NP_418347.1	1 to 2	RBB	NP_249849.1;NP_250489.1	1 to 1	SSD	YP_001704319	1 to 2	RBB	WP_003087912.1;WP_003109067.1	1 to 2	RBB	NP_460432.1;NP_462939.1	1 to 1	SSD	YP_005339598	0	N/A		1 to 1	SSD	WP_012393168.1	1 to 1	SSD	YP_886241.1	1 to 2	RBB	YP_002387089;YP_002389388	1 to 1	SSD	WP_011725946.1	1 to 1	RBB	WP_014907739.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_002288588.1
397675187	RVBD_3246c	WP_003899985.1	DNA-binding response regulator mtrA	0	N/A		1 to 1	SSD	WP_007168097.1	0	N/A		0	N/A		1 to 2	RBB	NP_249848.1;NP_250490.1	1 to 1	SSD	YP_001704320	1 to 2	RBB	WP_003087915.1;WP_003082360.1	0	N/A		1 to 1	SSD	WP_007168097.1	1 to 1	RBB	YP_001083790	1 to 1	SSD	WP_015354856.1	1 to 1	SSD	YP_886240.1	0	N/A		1 to 1	SSD	WP_007168097.1	1 to 2	RBB	WP_002896380.1	0	N/A		0	N/A		0	N/A		0	N/A	
397675188	RVBD_3247c	WP_003417036.1	thymidylate kinase	0	N/A		1 to 1	SSD	WP_003874565.1	0	N/A		0	N/A		0	N/A		1 to 1	Borderline-SSD	YP_001704323	0	N/A		0	N/A		1 to 1	SSD	WP_014380959.1	0	N/A		1 to 1	SSD	WP_012393166.1	1 to 1	SSD	YP_886239.1	0	N/A		1 to 1	SSD	WP_009978739.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_000470769.1	0	N/A	
397675189	RVBD_3248c	WP_003417039.1	adenosylhomocysteinase	0	N/A		1 to 1	SSD	WP_003878944.1	0	N/A		0	N/A		1 to 1	RBB	NP_249123.1	1 to 1	SSD	YP_001704324	1 to 1	RBB	WP_004365056.1	0	N/A		1 to 1	Borderline-SSD	WP_008259773.1	1 to 1	SSD	YP_001085358	1 to 1	SSD	WP_012393163.1	0	N/A		0	N/A		1 to 1	Borderline-SSD	WP_003874564.1	1 to 1	Borderline-SSD	WP_004184774.1	0	N/A		0	N/A		1 to 1	SSD	WP_000994842.1	0	N/A	
397675190	RVBD_3249c	WP_003417042.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001704325	0	N/A		0	N/A		1 to 1	SSD	WP_014380960.1	0	N/A		1 to 1	SSD	WP_020732140.1	1 to 1	SSD	YP_886212.1	0	N/A		1 to 1	SSD	WP_003874563.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675191	RVBD_3250c	WP_003417044.1	rubredoxin-2	2 to 1	RBB	YP_005238941	0	N/A		0	N/A		2 to 1	RBB	NP_417190.1	1 to 2	RBB	NP_254037.1;NP_254038.1	1 to 1	RBB	YP_001704326	1 to 2	RBB	WP_003098329.1;WP_003098330.1	2 to 1	RBB	NP_461761.1	1 to 1	Non-SSD	WP_014380961.1	1 to 1	RBB	YP_001084029	1 to 1	RBB	WP_011740670.1	1 to 1	Borderline-SSD	YP_886211.1	2 to 1	RBB	YP_002388165	1 to 1	Non-SSD	WP_009978741.1	1 to 2	RBB	WP_014907043.1	0	N/A		0	N/A		1 to 1	RBB	WP_000760495.1	0	N/A	
397675192	RVBD_3251c	WP_003417045.1	rubredoxin 3	2 to 1	RBB	YP_005238941	0	N/A		0	N/A		2 to 1	RBB	NP_417190.1	0	N/A		0	N/A		0	N/A		2 to 1	RBB	NP_461761.1	1 to 1	Non-SSD	YP_005339604	0	N/A		1 to 1	SSD	WP_011740542.1	1 to 1	SSD	YP_886210.1	2 to 1	RBB	YP_002388165	1 to 1	Non-SSD	WP_011725947.1	1 to 2	RBB	WP_014907043.1	0	N/A		0	N/A		0	N/A		0	N/A	
397675193	RVBD_3252c	WP_003417047.1	alkane 1-monooxygenase	0	N/A		1 to 1	SSD	WP_003874560.1	0	N/A		0	N/A		1 to 2	RBB	NP_250216.1;NP_251264.1	1 to 1	SSD	YP_001704327	1 to 2	RBB	WP_003090058.1;WP_003083349.1	0	N/A		1 to 1	SSD	WP_014380962.1	1 to 1	RBB	YP_001084670	1 to 1	SSD	WP_012393161.1	1 to 1	SSD	YP_886209.1	0	N/A		1 to 1	SSD	WP_011725948.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_000993541.1	0	N/A	
397675194	RVBD_3253c	WP_003417049.1	APA family basic amino acid/polyamine antiporter	1 to 1	RBB	YP_005239277	1 to 1	SSD	WP_003874559.1	2 to 1	RBB	WP_000534425.1	0	N/A		2 to 4	RBB	NP_249013.1;NP_250731.1;NP_252287.1;NP_254197.1	1 to 1	Borderline-SSD	YP_001704328	2 to 5	RBB	WP_003110575.1;WP_003138044.1;WP_016254180.1;WP_003088677.1;WP_003099715.1	1 to 1	RBB	NP_462041.1	1 to 1	SSD	WP_008259797.1	0	N/A		1 to 1	SSD	WP_012393160.1	1 to 1	SSD	YP_886208.1	0	N/A		1 to 1	SSD	WP_003874559.1	0	N/A		2 to 1	RBB	YP_001576460	2 to 1	RBB	YP_501376.1	0	N/A		1 to 1	RBB	WP_002286768.1
397675195	RVBD_3254	WP_003899988.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_003878947.1	0	N/A		0	N/A		0	N/A		1 to 1	Non-SSD	YP_001702367	0	N/A		0	N/A		1 to 1	SSD	WP_014380963.1	0	N/A		1 to 1	SSD	WP_012393158.1	1 to 1	RBB	YP_886207.1	0	N/A		1 to 1	SSD	WP_011725949.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675196	RVBD_3255c	WP_003417054.1	mannose-6-phosphate isomerase	1 to 1	RBB	YP_005237339	1 to 1	SSD	WP_003874557.1	0	N/A		1 to 1	RBB	NP_416130.3	0	N/A		1 to 1	SSD	YP_001704330	0	N/A		1 to 1	RBB	NP_460428.1	1 to 1	SSD	WP_008259799.1	0	N/A		1 to 1	SSD	WP_012393157.1	1 to 1	SSD	YP_886206.1	1 to 1	RBB	YP_002387093	1 to 1	SSD	WP_003874557.1	1 to 1	RBB	WP_002903312.1	0	N/A		0	N/A		0	N/A		0	N/A	
397675197	RVBD_3256c	WP_003417056.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_003878948.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001704331	0	N/A		0	N/A		1 to 1	SSD	WP_014380964.1	0	N/A		1 to 1	SSD	WP_012393156.1	1 to 1	SSD	YP_886205.1	0	N/A		1 to 1	SSD	WP_011725950.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675198	RVBD_3257c	WP_003899989.1	phosphomannomutase	1 to 1	RBB	YP_005238139	1 to 1	SSD	WP_003878949.1	0	N/A		1 to 1	RBB	NP_416552.1	1 to 1	RBB	NP_254009.1	1 to 1	SSD	YP_001704332	1 to 1	RBB	WP_016254361.1	1 to 1	SSD	NP_461049.1	1 to 1	SSD	WP_041787100.1	1 to 1	RBB	YP_001083163	1 to 1	SSD	WP_012393155.1	1 to 1	SSD	YP_886204.1	1 to 2	RBB	YP_002387509;YP_002387529	0	N/A		1 to 1	RBB	WP_004899416.1	0	N/A		0	N/A		1 to 1	RBB	WP_000209932.1	0	N/A	
397675199	RVBD_3258c	WP_003417073.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_003878950.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001704333	0	N/A		0	N/A		1 to 1	SSD	WP_014712269.1	0	N/A		1 to 1	SSD	YP_001849597	1 to 1	SSD	YP_886203.1	0	N/A		1 to 1	SSD	WP_003878950.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675200	RVBD_3259	WP_003417076.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_003874553.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001704334	0	N/A		0	N/A		1 to 1	Borderline-SSD	WP_009955382.1	0	N/A		1 to 1	SSD	WP_020727278.1	1 to 1	SSD	YP_886202.1	0	N/A		1 to 1	SSD	WP_003874553.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675201	RVBD_3260c	WP_003900662.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_011725952.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001704335	0	N/A		0	N/A		1 to 1	SSD	WP_014380966.1	0	N/A		1 to 1	SSD	WP_020788379.1	1 to 1	SSD	YP_886201.1	0	N/A		1 to 1	SSD	WP_011725952.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675202	RVBD_3261	WP_003417087.1	2-phospho-L-lactate transferase	0	N/A		1 to 1	SSD	WP_003878952.1	0	N/A		0	N/A		0	N/A		1 to 1	Borderline-SSD	YP_001704336	0	N/A		0	N/A		1 to 1	SSD	WP_014380967.1	0	N/A		1 to 1	SSD	WP_012393152.1	1 to 1	Borderline-SSD	YP_886200.1	0	N/A		1 to 1	SSD	WP_003878952.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675203	RVBD_3262	WP_003900663.1	gamma-glutamyl ligase	0	N/A		1 to 1	SSD	WP_003874550.1	0	N/A		0	N/A		0	N/A		1 to 1	Borderline-SSD	YP_001704337	0	N/A		0	N/A		1 to 1	SSD	WP_014380968.1	0	N/A		1 to 1	SSD	WP_012393151.1	1 to 1	SSD	YP_886199.1	0	N/A		1 to 1	SSD	WP_011725953.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675204	RVBD_3262A	YP_006516739	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675205	RVBD_3263	WP_003912160.1	methyltransferase	0	N/A		1 to 1	RBB	WP_003878953.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_014380969.1	0	N/A		1 to 1	RBB	WP_012393150.1	1 to 1	RBB	YP_887527.1	0	N/A		1 to 1	RBB	WP_011725954.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675206	RVBD_3264c	WP_003417097.1	mannose-1-phosphate guanylyltransferase	0	N/A		1 to 1	SSD	WP_003874547.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001704340	0	N/A		0	N/A		1 to 1	SSD	WP_008259820.1	1 to 1	RBB	YP_001084578	1 to 1	SSD	WP_011740556.1	0	N/A		0	N/A		1 to 1	SSD	WP_011725957.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_000646460.1	0	N/A	
397675207	RVBD_3265c	WP_003899992.1	"dTDP-Rha:alpha-D-GlcNAc-pyrophosphate polyprenol, alpha-3-L-rhamnosyltransferase"	0	N/A		1 to 1	SSD	WP_003874546.1	0	N/A		0	N/A		1 to 1	RBB	NP_249782.1	1 to 1	SSD	YP_001704341	1 to 1	RBB	WP_003140597.1	0	N/A		1 to 1	SSD	WP_008259824.1	0	N/A		1 to 1	SSD	WP_012393148.1	1 to 1	SSD	YP_886197.1	0	N/A		1 to 1	SSD	WP_003874546.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_002286455.1
