Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Streptococcus pneumoniae D39 - ortholog count (reference : comparison)	Streptococcus pneumoniae D39 - ortholuge status	Streptococcus pneumoniae D39 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus str. Newman - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus str. Newman - ortholuge status	Staphylococcus aureus subsp. aureus str. Newman - ortholog NCBI RefSeq accession	Bacillus subtilis subsp. subtilis str. 168 - ortholog count (reference : comparison)	Bacillus subtilis subsp. subtilis str. 168 - ortholuge status	Bacillus subtilis subsp. subtilis str. 168 - ortholog NCBI RefSeq accession
16131866	b4040	NP_418464.1	p-hydroxybenzoate octaprenyltransferase	0	N/A		0	N/A		0	N/A	
90111678	b4041	NP_418465.4	glycerol-3-phosphate O-acyltransferase	0	N/A		0	N/A		0	N/A	
16131868	b4042	NP_418466.1	diacylglycerol kinase	1 to 1	RBB	YP_816338.1	1 to 1	RBB	WP_000819532.1	0	N/A	
16131869	b4043	NP_418467.1	DNA-binding transcriptional repressor of SOS regulon	0	N/A		1 to 1	RBB	WP_001208759.1	1 to 1	SSD	NP_389668.1
162135919	b4044	NP_418468.3	DNA-damage-inducible SOS response protein	0	N/A		1 to 1	RBB	WP_000651060.1	0	N/A	
16131871	b4045	NP_418469.1	conserved protein, UPF0337 family	0	N/A		0	N/A		0	N/A	
90111679	b4046	NP_418470.4	DNA-binding transcriptional repressor, Zn(II)-binding	0	N/A		0	N/A		0	N/A	
16131873	b4047	NP_418471.1	predicted protein	0	N/A		0	N/A		0	N/A	
16131874	b4048	NP_418472.1	predicted protein	0	N/A		0	N/A		0	N/A	
145698340	b4049	NP_418473.2	tRNA-dihydrouridine synthase A	0	N/A		0	N/A		0	N/A	
90111680	b4050	NP_418474.4	phage shock protein G	0	N/A		0	N/A		0	N/A	
16131877	b4051	NP_418475.1	quinone oxidoreductase, NADPH-dependent	0	N/A		1 to 1	SSD	WP_000781945.1	1 to 1	RBB	NP_389725.1
16131878	b4052	NP_418476.1	replicative DNA helicase	1 to 1	SSD	YP_817415.1	1 to 1	RBB	WP_000375647.1	1 to 1	SSD	NP_391924.2
16131879	b4053	NP_418477.1	alanine racemase 1, PLP-binding, biosynthetic	1 to 2	RBB	YP_816964.1	1 to 2	RBB	WP_001281145.1	1 to 1	RBB	NP_389646.1
16131880	b4054	NP_418478.1	tyrosine aminotransferase, tyrosine-repressible, PLP-dependent	0	N/A		1 to 2	RBB	WP_001068542.1	0	N/A	
16131881	b4055	NP_418479.1	acid phosphatase/phosphotransferase, class B, non-specific	0	N/A		0	N/A		0	N/A	
16131882	b4056	NP_418480.1	thiamin phosphate synthase	0	N/A		0	N/A		1 to 1	Non-SSD	NP_391006.2
16131883	b4057	NP_418481.1	conserved protein	0	N/A		0	N/A		2 to 1	RBB	NP_391955.1
16131884	b4058	NP_418482.1	ATPase and DNA damage recognition protein of nucleotide excision repair excinuclease UvrABC	1 to 1	SSD	YP_815695.1	1 to 1	SSD	WP_000662681.1	1 to 1	SSD	NP_391396.1
16131885	b4059	NP_418483.1	single-stranded DNA-binding protein	2 to 1	RBB	YP_817137.1;YP_816829.1	3 to 1	RBB	WP_000934799.1;WP_000932694.1;WP_000934764.1	1 to 2	RBB	NP_391512.2;NP_391970.1
90111681	b4060	NP_418484.4	conserved protein	0	N/A		0	N/A		0	N/A	
16131887	b4061	NP_418485.1	predicted cyclic-di-GMP phosphodiesterase	0	N/A		0	N/A		0	N/A	
16131888	b4062	NP_418486.1	DNA-binding transcriptional dual regulator	1 to 1	RBB	YP_816728.1	0	N/A		0	N/A	
16131889	b4063	NP_418487.1	DNA-binding transcriptional dual regulator, Fe-S center for redox-sensing	0	N/A		0	N/A		0	N/A	
16131890	b4064	NP_418488.1	predicted permease	1 to 4	RBB	YP_815785.1	0	N/A		0	N/A	
16131891	b4065	NP_418489.1	predicted cation/proton antiporter	1 to 1	RBB	YP_816068.1	2 to 1	RBB	WP_001185690.1;WP_000402172.1	1 to 1	RBB	NP_391222.1
16131892	b4066	NP_418490.1	conserved protein	0	N/A		0	N/A		1 to 1	RBB	NP_388970.1
16131893	b4067	NP_418491.1	acetate transporter	0	N/A		0	N/A		1 to 1	SSD	NP_391703.2
16131894	b4068	NP_418492.1	inner membrane protein, DUF485 family	0	N/A		0	N/A		0	N/A	
16131895	b4069	NP_418493.1	acetyl-CoA synthetase	1 to 5	RBB	YP_816422.1	1 to 2	SimNSSD	WP_000862083.1	2 to 1	Non-SSD	NP_390846.1
16131896	b4070	NP_418494.1	nitrite reductase, formate-dependent, cytochrome	0	N/A		0	N/A		0	N/A	
90111682	b4071	NP_418495.2	nitrite reductase, formate-dependent, penta-heme cytochrome c	0	N/A		0	N/A		0	N/A	
16131898	b4072	NP_418496.1	formate-dependent nitrite reductase, 4Fe4S subunit	0	N/A		0	N/A		0	N/A	
16131899	b4073	NP_418497.1	formate-dependent nitrite reductase, membrane subunit	0	N/A		0	N/A		0	N/A	
16131900	b4074	NP_418498.1	heme lyase (NrfEFG) for insertion of heme into c552, subunit NrfE	0	N/A		0	N/A		0	N/A	
16131901	b4075	NP_418499.1	heme lyase (NrfEFG) for insertion of heme into c552, subunit NrfF	0	N/A		0	N/A		0	N/A	
16131902	b4076	NP_418500.1	heme lyase (NrfEFG) for insertion of heme into c552, subunit NrfG	0	N/A		0	N/A		0	N/A	
16131903	b4077	NP_418501.1	glutamate/aspartate:proton symporter	0	N/A		1 to 1	RBB	WP_001173166.1	1 to 1	SSD	NP_388903.1
16131904	b4078	NP_418502.1	conserved protein	0	N/A		0	N/A		0	N/A	
16131905	b4079	NP_418503.1	formate dehydrogenase-H, selenopolypeptide subunit	0	N/A		1 to 1	RBB	WP_001155264.1	1 to 2	RBB	NP_389098.1;NP_390600.1
16131906	b4080	NP_418504.1	outer membrane factor of efflux pump	0	N/A		0	N/A		0	N/A	
90111683	b4081	NP_418505.2	membrane translocase (MDR) of MdtNOP efflux pump, PET family	0	N/A		0	N/A		0	N/A	
16131908	b4082	NP_418506.1	membrane fusion protein of efflux pump	0	N/A		0	N/A		4 to 1	RBB	NP_388781.1
90111684	b4083	NP_418507.2	conserved protein, metallo-beta-lactamase superfamily	0	N/A		0	N/A		0	N/A	
16131910	b4084	NP_418508.1	D-allose kinase	0	N/A		0	N/A		0	N/A	
16131911	b4085	NP_418509.1	allulose-6-phosphate 3-epimerase	0	N/A		0	N/A		0	N/A	
16131912	b4086	NP_418510.1	D-allose transporter subunit	0	N/A		0	N/A		0	N/A	
16131913	b4087	NP_418511.1	fused D-allose transporter subunits of ABC superfamily: ATP-binding components	1 to 7	RBB	YP_816232.1	0	N/A		0	N/A	
16131914	b4088	NP_418512.1	D-allose transporter subunit	0	N/A		0	N/A		0	N/A	
90111685	b4089	NP_418513.4	DNA-binding transcriptional repressor	1 to 4	RBB	YP_816943.1	1 to 1	RBB	WP_000667379.1	0	N/A	
16131916	b4090	NP_418514.1	ribose 5-phosphate isomerase B/allose 6-phosphate isomerase	1 to 1	SSD	YP_816526.1	1 to 1	RBB	WP_000684746.1	1 to 1	RBB	NP_391573.1
16131918	b4092	NP_418516.1	carbon-phosphorus lyase complex accessory protein, phosphodiesterase	0	N/A		0	N/A		0	N/A	
16131919	b4093	NP_418517.1	predicted acyltransferase with acyl-CoA N-acyltransferase domain	1 to 1	RBB	YP_816387.1	0	N/A		0	N/A	
16131920	b4094	NP_418518.1	ribose 1,5-bisphosphokinase	0	N/A		0	N/A		0	N/A	
16131921	b4095	NP_418519.1	carbon-phosphorus lyase complex subunit	0	N/A		0	N/A		0	N/A	
16131922	b4096	NP_418520.1	carbon-phosphorus lyase complex subunit	0	N/A		0	N/A		0	N/A	
49176459	b4097	YP_026282.1	carbon-phosphorus lyase complex subunit	0	N/A		0	N/A		0	N/A	
16131924	b4098	NP_418522.1	carbon-phosphorus lyase complex subunit	0	N/A		0	N/A		0	N/A	
16131925	b4099	NP_418523.1	carbon-phosphorus lyase complex subunit	0	N/A		0	N/A		0	N/A	
16131926	b4100	NP_418524.1	carbon-phosphorus lyase complex subunit	0	N/A		0	N/A		0	N/A	
16131927	b4101	NP_418525.1	carbon-phosphorus lyase complex subunit	0	N/A		0	N/A		0	N/A	
16131928	b4102	NP_418526.1	predicted DNA-binding transcriptional regulator of phosphonate uptake and biodegradation	0	N/A		1 to 1	RBB	WP_001293307.1	0	N/A	
16131931	b4105	NP_418529.1	phosphonate/organophosphate ester transporter subunit	0	N/A		0	N/A		0	N/A	
16131932	b4106	NP_418530.1	phosphonate/organophosphate ester transporter subunit	0	N/A		1 to 1	RBB	WP_000078092.1	0	N/A	
16131933	b4107	NP_418531.1	conserved protein	0	N/A		1 to 1	RBB	WP_000125708.1	0	N/A	
16131934	b4108	NP_418532.1	conserved protein	1 to 1	RBB	YP_816884.1	0	N/A		0	N/A	
16131935	b4109	NP_418533.1	mutational suppressor of yhjH motility mutation, function unknown; related to Dynamin GTPase	0	N/A		0	N/A		0	N/A	
90111687	b4110	NP_418534.4	mutational suppressor of yhjH motility mutation, function unknown	0	N/A		0	N/A		0	N/A	
16131937	b4111	NP_418535.1	proline/glycine betaine transporter	0	N/A		1 to 1	RBB	WP_000347061.1	0	N/A	
16131938	b4112	NP_418536.1	sensory histidine kinase in two-component regulatory system with BasR	0	N/A		0	N/A		0	N/A	
16131939	b4113	NP_418537.1	DNA-binding response regulator in two-component regulatory system with BasS	0	N/A		0	N/A		0	N/A	
90111688	b4114	NP_418538.2	predicted metal dependent hydrolase	0	N/A		0	N/A		0	N/A	
16131941	b4115	NP_418539.1	arginine:agmatin	0	N/A		0	N/A		0	N/A	
16131942	b4116	NP_418540.1	DNA-binding transcriptional activator	0	N/A		0	N/A		0	N/A	
221800782	b4117	NP_418541.2	arginine decarboxylase	1 to 5	RBB	YP_816293.1	0	N/A		5 to 2	RBB	NP_387908.1;NP_389346.1
16131944	b4118	NP_418542.1	DNA-binding transcriptional dual regulator	0	N/A		1 to 1	RBB	WP_000128366.1	0	N/A	
16131945	b4119	NP_418543.1	alpha-galactosidase, NAD(P)-binding	0	N/A		0	N/A		1 to 1	RBB	NP_390908.1
16131946	b4120	NP_418544.1	melibiose:sodium symporter	0	N/A		0	N/A		0	N/A	
345452725	b4120	NP_418544.2	melibiose:sodium symporter	0	N/A		0	N/A		0	N/A	
16131947	b4121	NP_418545.1	conserved inner membrane protein	0	N/A		0	N/A		0	N/A	
16131948	b4122	NP_418546.1	anaerobic class I fumarate hydratase (fumarase B)	0	N/A		0	N/A		0	N/A	
16131949	b4123	NP_418547.1	C4-dicarboxylate antiporter	0	N/A		0	N/A		0	N/A	
16131950	b4124	NP_418548.1	DNA-binding response regulator in two-component regulatory system with DcuS	0	N/A		0	N/A		1 to 1	RBB	NP_391031.1
16131951	b4125	NP_418549.1	sensory histidine kinase in two-component regulatory system with DcuR, regulator of anaerobic fumarate respiration	0	N/A		0	N/A		1 to 1	RBB	NP_391030.1
16131952	b4126	NP_418550.1	conserved protein	0	N/A		0	N/A		0	N/A	
16131953	b4127	NP_418551.1	predicted acyltransferase with acyl-CoA N-acyltransferase domain	0	N/A		1 to 1	RBB	WP_000067115.1	0	N/A	
16131954	b4128	NP_418552.1	predicted protein	0	N/A		0	N/A		0	N/A	
16131955	b4129	NP_418553.1	lysine tRNA synthetase, inducible	1 to 2	RBB	YP_816116.1	1 to 2	RBB	WP_001288202.1	2 to 1	SSD	NP_387963.1
16131956	b4130	NP_418554.1	predicted dipeptide and tripeptide permease	0	N/A		1 to 4	RBB	WP_000193751.1	3 to 1	RBB	NP_388249.2
16131957	b4131	NP_418555.1	lysine decarboxylase, acid-inducible	1 to 5	RBB	YP_816293.1	1 to 2	RBB	WP_000812832.1	5 to 2	RBB	NP_387908.1;NP_389346.1
16131958	b4132	NP_418556.1	predicted lysine/cadaverine transporter	0	N/A		0	N/A		0	N/A	
16131959	b4133	NP_418557.1	DNA-binding transcriptional activator	0	N/A		0	N/A		0	N/A	
90111689	b4135	NP_418558.2	predicted transcriptional regulator	0	N/A		0	N/A		0	N/A	
16131961	b4136	NP_418559.1	fused thiol:disulfide interchange protein: activator of DsbC/conserved protein	0	N/A		0	N/A		0	N/A	
16131962	b4137	NP_418560.1	divalent-cation tolerance protein, copper sensitivity	0	N/A		0	N/A		0	N/A	
16131963	b4138	NP_418561.1	C4-dicarboxylate antiporter	0	N/A		0	N/A		0	N/A	
90111690	b4139	NP_418562.4	aspartate ammonia-lyase	0	N/A		0	N/A		1 to 1	RBB	NP_390238.2
90111691	b4140	NP_418564.2	suppressor of F exclusion of phage T7	0	N/A		0	N/A		0	N/A	
16131966	b4141	NP_418565.1	predicted transporter	0	N/A		0	N/A		1 to 1	RBB	NP_388537.2
16131967	b4142	NP_418566.1	Cpn10 chaperonin GroES, small subunit of GroESL	1 to 1	SSD	YP_817136.1	1 to 1	RBB	WP_000917289.1	1 to 1	Non-SSD	NP_388483.2
16131968	b4143	NP_418567.1	Cpn60 chaperonin GroEL, large subunit of GroESL	1 to 1	SSD	YP_817135.1	1 to 1	RBB	WP_000240645.1	1 to 1	SSD	NP_388484.1
90111692	b4144	NP_418568.2	conserved protein	0	N/A		0	N/A		0	N/A	
16131970	b4145	NP_418569.1	predicted protein	0	N/A		0	N/A		0	N/A	
16131971	b4146	NP_418570.1	EF-P lysylation protein; weak lysine 2,3-aminomutase	0	N/A		0	N/A		1 to 1	Borderline-SSD	NP_389850.1
16131972	b4147	NP_418571.1	elongation factor EF-P	1 to 1	Borderline-SSD	YP_815905.1	1 to 1	RBB	WP_000626504.1	1 to 1	SSD	NP_390325.2
90111693	b4148	NP_418572.4	multidrug efflux system protein	0	N/A		0	N/A		1 to 2	Non-SSD	NP_389193.1;NP_391330.1
16131974	b4149	NP_418573.1	outer membrane lipoprotein (lipocalin), cell division and growth function	0	N/A		0	N/A		0	N/A	
16131975	b4150	NP_418574.1	beta-lactamase/D-alanine carboxypeptidase	0	N/A		0	N/A		1 to 1	RBB	NP_391324.1
16131976	b4151	NP_418575.1	fumarate reductase (anaerobic), membrane anchor subunit	0	N/A		0	N/A		0	N/A	
16131977	b4152	NP_418576.1	fumarate reductase (anaerobic), membrane anchor subunit	0	N/A		0	N/A		0	N/A	
16131978	b4153	NP_418577.1	fumarate reductase (anaerobic), Fe-S subunit	0	N/A		1 to 2	RBB	WP_000139712.1	2 to 1	Non-SSD	NP_390721.1
16131979	b4154	NP_418578.1	fumarate reductase (anaerobic) catalytic and NAD/flavoprotein subunit	0	N/A		1 to 2	RBB	WP_000818278.1	2 to 1	RBB	NP_390722.2
90111694	b4155	NP_418579.2	EF-P-lysine34-lysine ligase	0	N/A		0	N/A		0	N/A	
90111695	b4156	NP_418580.2	predicted transporter	0	N/A		0	N/A		0	N/A	
16131982	b4157	NP_418581.1	predicted protein	0	N/A		0	N/A		0	N/A	
16131983	b4158	NP_418582.1	inner membrane protein	0	N/A		0	N/A		0	N/A	
16131984	b4159	NP_418583.1	predicted mechanosensitive channel	0	N/A		0	N/A		0	N/A	
16131985	b4160	NP_418584.1	phosphatidylserine decarboxylase	0	N/A		0	N/A		1 to 1	SSD	NP_388111.1
90111696	b4161	NP_418585.4	ribosome small subunit-dependent GTPase A	1 to 1	SSD	YP_817203.1	1 to 1	SSD	WP_000847933.1	1 to 1	SSD	NP_389460.1
90111697	b4162	NP_418586.4	oligoribonuclease	0	N/A		0	N/A		0	N/A	
16131988	b4166	NP_418587.1	predicted Fe-S electron transport protein	0	N/A		1 to 1	SSD	WP_000379978.1	1 to 1	SSD	NP_388772.2
16131989	b4167	NP_418588.1	predicted carbohydrate kinase	1 to 1	RBB	YP_816215.1	1 to 1	SSD	WP_000449218.1	1 to 1	RBB	NP_391751.1
16131990	b4168	NP_418589.1	ADP-binding protein needed for nucleoid integrity	1 to 1	Borderline-SSD	YP_817166.1	1 to 1	RBB	WP_001003077.1	1 to 1	SSD	NP_388472.1
16131991	b4169	NP_418590.1	N-acetylmuramoyl-l-alanine amidase II	0	N/A		1 to 3	RBB	WP_000717800.1	0	N/A	
16131992	b4170	NP_418591.1	methyl-directed mismatch repair protein	1 to 1	RBB	YP_815684.1	1 to 1	RBB	WP_000516261.1	1 to 1	SSD	NP_389587.1
16131993	b4171	NP_418592.1	delta(2)-isopentenylpyrophosphate tRNA-adenosine transferase	1 to 1	RBB	YP_816082.1	1 to 1	RBB	YP_001332245	1 to 1	SSD	NP_389615.2
16131994	b4172	NP_418593.1	HF-I, host factor for RNA phage Q beta replication	0	N/A		1 to 1	RBB	WP_000561358.1	1 to 1	RBB	NP_389616.1
16131995	b4173	NP_418594.1	GTPase, stimulated by 50S subunit binding	1 to 1	RBB	YP_816083.1	1 to 1	SSD	WP_000068630.1	1 to 1	SSD	NP_389625.2
16131996	b4174	NP_418595.1	modulator for HflB protease specific for phage lambda cII repressor	0	N/A		0	N/A		0	N/A	
16131997	b4175	NP_418596.1	modulator for HflB protease specific for phage lambda cII repressor	0	N/A		0	N/A		0	N/A	
16131998	b4176	NP_418597.1	conserved protein, DUF2065 family	0	N/A		0	N/A		0	N/A	
16131999	b4177	NP_418598.1	adenylosuccinate synthetase	1 to 1	RBB	YP_815439.1	1 to 1	SSD	WP_000095327.1	1 to 1	SSD	NP_391922.1
16132000	b4178	NP_418599.1	nitric oxide-sensitive repressor for NO regulon	0	N/A		0	N/A		1 to 1	SSD	NP_388819.1
90111698	b4179	NP_418600.4	exoribonuclease R, RNase R	1 to 1	RBB	YP_816344.1	1 to 1	SSD	WP_001050064.1	1 to 1	SSD	NP_391241.1
16132002	b4180	NP_418601.1	23S rRNA (Gm2251)-methyltransferase	1 to 1	SSD	YP_816752.1	1 to 1	RBB	WP_000390328.1	1 to 1	RBB	NP_387977.1
16132003	b4181	NP_418602.1	conserved protein, DUF2170 family	0	N/A		0	N/A		0	N/A	
16132004	b4182	NP_418603.1	conserved protein, PspA/IM30 family	0	N/A		0	N/A		0	N/A	
16132005	b4183	NP_418604.1	conserved protein, DUF2491 family	0	N/A		0	N/A		0	N/A	
16132006	b4184	NP_418605.1	inner membrane protein, UPF0719 family	0	N/A		0	N/A		0	N/A	
16132007	b4185	NP_418606.1	conserved protein, DUF1190 family	0	N/A		0	N/A		0	N/A	
16132008	b4186	NP_418607.1	glutathionylspermidine synthase homolog	0	N/A		0	N/A		0	N/A	
162135915	b4187	NP_418608.6	isovaleryl CoA dehydrogenase	0	N/A		0	N/A		0	N/A	
90111700	b4188	NP_418609.4	predicted protein	0	N/A		0	N/A		0	N/A	
90111701	b4189	NP_418610.4	confers peroxide resistance in bioflms	0	N/A		0	N/A		0	N/A	
16132012	b4190	NP_418611.1	acyl CoA esterase actviity in vitro	0	N/A		0	N/A		1 to 1	RBB	NP_388996.1
16132013	b4191	NP_418612.1	transcriptional tepressor for the L-ascorbate utilization (ula) divergon	0	N/A		0	N/A		0	N/A	
90111702	b4192	NP_418613.2	L-ascorbate 6-phosphate lactonase	1 to 1	RBB	YP_817247.1	0	N/A		0	N/A	
90111703	b4193	NP_418614.4	L-ascorbate-specific enzyme IIC component of PTS	1 to 1	RBB	YP_817254.1	1 to 1	RBB	WP_001147970.1	0	N/A	
16132016	b4194	NP_418615.1	L-ascorbate-specific enzyme IIB component of PTS	1 to 1	RBB	YP_817253.1	0	N/A		0	N/A	
16132017	b4195	NP_418616.1	L-ascorbate-specific enzyme IIA component of PTS	1 to 1	RBB	YP_817252.1	1 to 3	RBB	WP_000050762.1	0	N/A	
16132018	b4196	NP_418617.1	3-keto-L-gulonate 6-phosphate decarboxylase	1 to 2	RBB	YP_817251.1	1 to 2	RBB	WP_000422861.1	2 to 1	SSD	NP_388228.1
16132019	b4197	NP_418618.1	L-xylulose 5-phosphate 3-epimerase	1 to 2	RBB	YP_817250.1	0	N/A		0	N/A	
16132020	b4198	NP_418619.1	L-ribulose 5-phosphate 4-epimerase	1 to 3	RBB	YP_817249.1	0	N/A		3 to 1	RBB	NP_390756.1
16132021	b4199	NP_418620.1	predicted protein	0	N/A		0	N/A		0	N/A	
296044035	b4200	NP_418621.5	30S ribosomal subunit protein S6	1 to 1	RBB	YP_816830.1	1 to 1	RBB	WP_001261460.1	1 to 1	RBB	NP_391971.1
16132023	b4201	NP_418622.1	primosomal protein N	0	N/A		0	N/A		0	N/A	
16132024	b4202	NP_418623.1	30S ribosomal subunit protein S18	1 to 1	Borderline-SSD	YP_816828.1	1 to 1	RBB	WP_000897044.1	1 to 1	SSD	NP_391969.2
16132025	b4203	NP_418624.1	50S ribosomal subunit protein L9	0	N/A		1 to 1	RBB	WP_000864305.1	1 to 1	RBB	NP_391930.1
16132026	b4204	NP_418625.1	predicted protein	0	N/A		0	N/A		0	N/A	
162135916	b4206	NP_418627.4	predicted cell envelope opacity-associated protein	0	N/A		0	N/A		0	N/A	
90111705	b4207	NP_418628.4	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	0	N/A		0	N/A		0	N/A	
16132030	b4208	NP_418629.1	D-alanine/D-serine/glycine transporter	0	N/A		2 to 1	RBB	WP_000101538.1;WP_000818525.1	1 to 2	RBB	NP_388443.1;NP_390587.2
16132031	b4209	NP_418630.1	iron-sulfur cluster repair protein RIC	0	N/A		1 to 1	RBB	WP_000608826.1	0	N/A	
226524763	b4210	NP_418631.2	inner membrane protein, DMT transporter family	0	N/A		0	N/A		0	N/A	
16132033	b4211	NP_418632.1	NAD(P)H:quinone oxidoreductase	0	N/A		1 to 1	RBB	WP_001024377.1	0	N/A	
90111706	b4212	NP_418633.4	predicted transcriptional regulator, HxlR-type, DUF24 family	0	N/A		0	N/A		1 to 6	RBB	NP_388229.2;NP_388408.1;NP_388410.1;NP_389259.1;NP_390781.1;NP_391934.1
16132035	b4213	NP_418634.1	2':3'-cyclic-nucleotide 2'-phosphodiesterase	0	N/A		1 to 1	RBB	WP_000065035.1	1 to 1	RBB	NP_388665.1
16132036	b4214	NP_418635.1	PAPS (adenosine 3'-phosphate 5'-phosphosulfate) 3'(2'),5'-bisphosphate nucleotidase	0	N/A		0	N/A		0	N/A	
49176474	b4215	YP_026285.1	predicted protein	0	N/A		0	N/A		0	N/A	
16132038	b4216	NP_418637.1	predicted transcriptional regulator	0	N/A		0	N/A		0	N/A	
90111707	b4217	NP_418638.2	conserved protein, DUF1107 family	0	N/A		0	N/A		0	N/A	
16132040	b4218	NP_418639.1	inner membrane protein, UPF0053 family	0	N/A		1 to 1	SSD	WP_000450257.1	1 to 3	RBB	NP_388836.1;NP_390538.1;NP_391008.2
16132041	b4219	NP_418640.1	methionine sulfoxide reductase A	0	N/A		2 to 1	RBB	WP_000159902.1;WP_001024830.1	1 to 1	SSD	NP_390052.1
16132042	b4220	NP_418641.1	predicted outer membrane protein and surface antigen	0	N/A		0	N/A		0	N/A	
16132043	b4221	NP_418642.1	large conserved protein, DUF490 family	0	N/A		0	N/A		0	N/A	
16132044	b4222	NP_418643.1	conserved protein, UPF0131 family	0	N/A		0	N/A		1 to 1	RBB	NP_389333.1
90111708	b4224	NP_418645.2	antitoxin of the ChpBS toxin-antitoxin system	0	N/A		0	N/A		0	N/A	
16132047	b4225	NP_418646.1	toxin of the ChpB-ChpS toxin-antitoxin system	0	N/A		0	N/A		0	N/A	
16132048	b4226	NP_418647.1	inorganic pyrophosphatase	0	N/A		0	N/A		0	N/A	
16132049	b4227	NP_418648.1	galactofuranose binding proteint: periplasmic-binding component of ABC superfamily	0	N/A		0	N/A		0	N/A	
145698343	b4230	NP_418651.3	predicted sugar transporter subunit: membrane component of ABC superfamily	0	N/A		0	N/A		0	N/A	
90111710	b4231	NP_418652.2	predicted sugar transporter subunit: membrane component of ABC superfamily	0	N/A		0	N/A		0	N/A	
16132054	b4232	NP_418653.1	fructose-1,6-bisphosphatase I	0	N/A		0	N/A		0	N/A	
16132055	b4233	NP_418654.1	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl- meso-diaminopimelate ligase	1 to 1	RBB	YP_816811.1	1 to 1	RBB	WP_000150168.1	0	N/A	
16132056	b4234	NP_418655.1	conserved protein, ribosome-associated	0	N/A		0	N/A		0	N/A	
16132057	b4235	NP_418656.1	predicted peptidase required for the maturation and secretion of the antibiotic peptide MccB17	0	N/A		0	N/A		0	N/A	
16132059	b4237	NP_418658.1	anaerobic ribonucleotide reductase activating protein	1 to 1	RBB	YP_815709.1	1 to 1	RBB	WP_000601724.1	0	N/A	
16132060	b4238	NP_418659.1	anaerobic ribonucleoside-triphosphate reductase	1 to 1	RBB	YP_815706.1	1 to 1	SSD	WP_001071717.1	0	N/A	
16132061	b4239	NP_418660.1	trehalose-6-P hydrolase	1 to 1	RBB	YP_817113.1	1 to 1	RBB	WP_000031506.1	1 to 1	RBB	NP_388662.1
16132062	b4240	NP_418661.1	fused trehalose(maltose)-specific PTS enzyme: IIB component/IIC component	1 to 1	RBB	YP_817114.1	2 to 1	RBB	WP_000279374.1;WP_001108126.1	1 to 2	RBB	NP_388661.1;NP_391684.3
16132063	b4241	NP_418662.1	DNA-binding transcriptional repressor	0	N/A		1 to 1	RBB	WP_000790330.1	0	N/A	
16132064	b4242	NP_418663.1	magnesium transporter	1 to 1	Non-SSD	YP_816843.1	0	N/A		1 to 1	RBB	NP_389448.1
90111711	b4243	NP_418664.2	conserved protein, UPF0131 family	1 to 2	RBB	YP_816857.1	1 to 2	RBB	WP_000691766.1	2 to 1	RBB	NP_387929.1
16132066	b4244	NP_418665.1	aspartate carbamoyltransferase, regulatory subunit	0	N/A		0	N/A		0	N/A	
16132067	b4245	NP_418666.1	aspartate carbamoyltransferase, catalytic subunit	1 to 1	RBB	YP_816602.1	1 to 1	Borderline-SSD	WP_001016166.1	1 to 1	RBB	NP_389432.2
16132068	b4246	NP_418667.1	pyrBI operon leader peptide	0	N/A		0	N/A		0	N/A	
16132070	b4248	NP_418669.1	conserved protein, UPF0131 family	0	N/A		0	N/A		0	N/A	
16132071	b4249	NP_418670.1	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain	0	N/A		0	N/A		0	N/A	
90111712	b4251	NP_418672.4	predicted transcriptional regulator	0	N/A		0	N/A		2 to 1	RBB	YP_054572.1
90111713	b4252	NP_418673.4	biofilm modulator regulated by toxins	1 to 3	RBB	YP_816948.1	0	N/A		0	N/A	
90111714	b4253	NP_418674.2	predicted protein	0	N/A		0	N/A		0	N/A	
16132076	b4254	NP_418675.1	ornithine carbamoyltransferase 1	1 to 2	SSD	YP_817363.1	1 to 2	RBB	WP_000793605.1	2 to 1	SSD	NP_389007.1
16132077	b4255	NP_418676.1	protein inhibitor of RNase E	0	N/A		0	N/A		0	N/A	
49176479	b4256	YP_026287.1	predicted acetyltransferase	0	N/A		0	N/A		0	N/A	
49176480	b4257	YP_026288.1	inner membrane protein, DUF898 family	0	N/A		0	N/A		0	N/A	
16132080	b4258	NP_418679.1	valyl-tRNA synthetase	1 to 1	RBB	YP_816000.1	1 to 1	SSD	WP_000425353.1	1 to 1	SSD	NP_390687.2
16132081	b4259	NP_418680.1	DNA polymerase III, chi subunit	0	N/A		0	N/A		0	N/A	
16132082	b4260	NP_418681.1	multifunctional aminopeptidase A: a cyteinylglycinase, transcription regulator and site-specific recombination factor	0	N/A		1 to 1	RBB	WP_001009697.1	1 to 1	SSD	NP_391085.1
16132083	b4261	NP_418682.1	lipopolysaccharide export ABC permease of the LptBFGC export complex	0	N/A		0	N/A		0	N/A	
90111715	b4262	NP_418683.4	lipopolysaccharide export ABC permease of the LptBFGC export complex	0	N/A		0	N/A		0	N/A	
