Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Propionibacterium propionicum F0230a - ortholog count (reference : comparison)	Propionibacterium propionicum F0230a - ortholuge status	Propionibacterium propionicum F0230a - ortholog NCBI RefSeq accession	Pseudomonas stutzeri DSM 10701 - ortholog count (reference : comparison)	Pseudomonas stutzeri DSM 10701 - ortholuge status	Pseudomonas stutzeri DSM 10701 - ortholog NCBI RefSeq accession	Pseudomonas putida KT2440 - ortholog count (reference : comparison)	Pseudomonas putida KT2440 - ortholuge status	Pseudomonas putida KT2440 - ortholog NCBI RefSeq accession	Pseudomonas putida S16 - ortholog count (reference : comparison)	Pseudomonas putida S16 - ortholuge status	Pseudomonas putida S16 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PA7 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PA7 - ortholuge status	Pseudomonas aeruginosa PA7 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa DK2 - ortholog count (reference : comparison)	Pseudomonas aeruginosa DK2 - ortholuge status	Pseudomonas aeruginosa DK2 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Pseudomonas mendocina ymp - ortholog count (reference : comparison)	Pseudomonas mendocina ymp - ortholuge status	Pseudomonas mendocina ymp - ortholog NCBI RefSeq accession	Neisseria meningitidis MC58 - ortholog count (reference : comparison)	Neisseria meningitidis MC58 - ortholuge status	Neisseria meningitidis MC58 - ortholog NCBI RefSeq accession	Neisseria gonorrhoeae FA 1090 - ortholog count (reference : comparison)	Neisseria gonorrhoeae FA 1090 - ortholuge status	Neisseria gonorrhoeae FA 1090 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa NCGM2.S1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa NCGM2.S1 - ortholuge status	Pseudomonas aeruginosa NCGM2.S1 - ortholog NCBI RefSeq accession	Corynebacterium kroppenstedtii DSM 44385 - ortholog count (reference : comparison)	Corynebacterium kroppenstedtii DSM 44385 - ortholuge status	Corynebacterium kroppenstedtii DSM 44385 - ortholog NCBI RefSeq accession
397675000	RVBD_3074	WP_003416051.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675001	RVBD_3075c	WP_003912070.1	citrate lyase subunit beta	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675002	RVBD_3076	WP_003416053.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675003	RVBD_3077	WP_003917117.1	hydrolase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675004	RVBD_3078	WP_003416059.1	hydroxylaminobenzene mutase hab	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675005	RVBD_3079c	WP_003416061.1	hypothetical protein	0	N/A		1 to 2	RBB	WP_014854647.1	2 to 1	RBB	NP_744909.1	4 to 1	RBB	WP_013973027.1	0	N/A		5 to 3	RBB	WP_003093107.1;WP_019372469.1;WP_003118515.1	5 to 3	RBB	WP_003137716.1;WP_003160432.1;WP_003139615.1	2 to 1	RBB	WP_012018698.1	0	N/A		0	N/A		5 to 3	RBB	WP_014603793.1;WP_003090382.1;WP_003093107.1	0	N/A	
397675006	RVBD_3080c	WP_003899905.1	serine/threonine-protein kinase pknK	1 to 1	RBB	WP_014845986.1	1 to 1	RBB	WP_014852450.1	1 to 1	RBB	NP_742928.1	1 to 1	RBB	WP_013970940.1	1 to 1	RBB	WP_012074478.1	1 to 2	RBB	WP_003124089.1;WP_003117548.1	1 to 2	RBB	WP_003103006.1;WP_003138208.1	1 to 3	RBB	WP_012018816.1;WP_041772891.1;WP_012019607.1	0	N/A		0	N/A		1 to 2	RBB	WP_014603958.1;WP_003103006.1	0	N/A	
397675007	RVBD_3081	WP_003416066.1	hypothetical protein	1 to 1	RBB	WP_014847908.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675008	RVBD_3082c	WP_003416068.1	araC/xylS-family virulence-regulating transcriptional regulator virS	0	N/A		1 to 1	RBB	WP_014853517.1	2 to 1	RBB	NP_746618.1	2 to 1	RBB	WP_044047032.1	2 to 2	RBB	WP_012074985.1;WP_003156427.1	2 to 2	RBB	WP_003114821.1;WP_003116474.1	2 to 2	RBB	WP_003138428.1;WP_003091237.1	0	N/A		0	N/A		0	N/A		2 to 2	RBB	WP_003091237.1;WP_014603938.1	0	N/A	
397675009	RVBD_3083	WP_003899906.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		3 to 1	RBB	WP_012730934.1
397675010	RVBD_3084	WP_003901538.1	esterase/lipase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003118508.1	1 to 1	RBB	WP_015502989.1	1 to 1	RBB	WP_012018362.1	0	N/A		0	N/A		1 to 1	RBB	YP_005981311	0	N/A	
397675011	RVBD_3085	WP_003416074.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		2 to 1	RBB	WP_012076358.1	2 to 1	RBB	WP_003103932.1	2 to 1	RBB	WP_003087246.1	2 to 1	RBB	WP_012018870.1	0	N/A		0	N/A		2 to 1	RBB	WP_003087246.1	0	N/A	
397675012	RVBD_3086	WP_003416075.1	Rxyl_3153 family oxidoreductase	0	N/A		0	N/A		2 to 1	RBB	NP_743773.1	1 to 1	RBB	WP_013971270.1	0	N/A		0	N/A		0	N/A		0	N/A		2 to 1	RBB	NP_274323.1	0	N/A		0	N/A		0	N/A	
397675013	RVBD_3087	WP_003906978.1	acyltransferase, WS/DGAT/MGAT	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675014	RVBD_3088	WP_003416079.1	acyltransferase, WS/DGAT/MGAT	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675015	RVBD_3089	WP_003416081.1	o-succinylbenzoate--CoA ligase	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_013972947.1	1 to 1	RBB	WP_003151352.1	1 to 1	RBB	WP_003118168.1	1 to 2	RBB	WP_003137504.1;WP_003123437.1	2 to 1	RBB	WP_012018237.1	2 to 1	RBB	NP_274296.1	2 to 1	RBB	YP_207680.1	1 to 2	RBB	WP_003089156.1;WP_003093598.1	0	N/A	
397675016	RVBD_3089Ac	YP_006516551	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675017	RVBD_3090	WP_003416086.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675018	RVBD_3091	WP_003900628.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675019	RVBD_3092c	WP_003416091.1	hypothetical protein	1 to 1	RBB	WP_014847350.1	1 to 1	RBB	WP_043942629.1	1 to 1	RBB	NP_746410.1	1 to 1	RBB	WP_024087444.1	1 to 1	RBB	WP_012076136.1	1 to 1	RBB	WP_003098208.1	1 to 1	RBB	WP_003088054.1	1 to 1	RBB	WP_011920854.1	0	N/A		1 to 1	RBB	YP_207450.1	1 to 1	RBB	WP_003088054.1	0	N/A	
397675020	RVBD_3093c	WP_003912071.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675021	RVBD_3094c	WP_003416097.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675022	RVBD_3095	WP_003416099.1	transcriptional regulator	1 to 2	RBB	WP_014847595.1	1 to 1	SSD	WP_014852980.1	1 to 1	RBB	NP_742666.1	1 to 1	RBB	WP_013970662.1	1 to 1	RBB	WP_003156080.1	1 to 2	RBB	WP_003117204.1;WP_003090577.1	1 to 2	RBB	WP_003083753.1;WP_003090577.1	0	N/A		0	N/A		0	N/A		1 to 2	SSD	WP_003083753.1;WP_003090577.1	0	N/A	
397675023	RVBD_3096	WP_003899909.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675024	RVBD_3097c	WP_003912072.1	triacylglycerol lipase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
561108365	RVBD_3098A	WP_003416110.1	hypothetical protein	1 to 1	RBB	WP_014846112.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675025	RVBD_3098c	YP_006516560	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675027	RVBD_3099c	WP_003416111.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675028	RVBD_3100c	WP_003416113.1	SsrA-binding protein	1 to 1	SSD	WP_014846533.1	1 to 1	RBB	WP_014853949.1	1 to 1	RBB	NP_746841.1	1 to 1	RBB	WP_013974300.1	1 to 1	SSD	WP_003100496.1	1 to 1	Borderline-SSD	WP_014834139.1	1 to 1	Borderline-SSD	WP_003100496.1	1 to 1	SSD	WP_003240522.1	1 to 1	RBB	NP_274533.1	1 to 1	RBB	YP_208083.1	1 to 1	Borderline-SSD	WP_003100496.1	1 to 1	SSD	WP_012732064.1
397675029	RVBD_3101c	WP_003416117.1	cell division transporter permease	1 to 1	SSD	WP_041697439.1	1 to 1	RBB	WP_014851196.1	1 to 1	RBB	NP_747210.1	1 to 1	RBB	WP_013974629.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_004373828.1	1 to 1	RBB	NP_273074.1	1 to 1	RBB	YP_208946.1	0	N/A		1 to 1	SSD	WP_012732065.1
397675030	RVBD_3102c	WP_003416120.1	type II (General) Secretory Pathway (IISP) Family protein	1 to 1	SSD	WP_014846530.1	1 to 1	RBB	WP_014851195.1	1 to 1	RBB	NP_747211.1	1 to 1	RBB	WP_013974630.1	1 to 1	RBB	WP_012073982.1	1 to 1	RBB	WP_003117892.1	1 to 1	RBB	WP_003084505.1	1 to 1	SSD	WP_004373830.1	1 to 1	RBB	NP_274942.1	1 to 1	RBB	YP_209146.1	1 to 1	RBB	WP_003084505.1	1 to 1	SSD	WP_012732066.1
397675031	RVBD_3103c	WP_003416124.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675032	RVBD_3104c	WP_003416127.1	MscS family small conductance mechanosensitive ion channel	0	N/A		1 to 1	RBB	WP_043942776.1	1 to 1	RBB	NP_743885.1	1 to 1	RBB	WP_013971419.1	1 to 1	RBB	WP_012077775.1	1 to 1	RBB	WP_003104646.1	1 to 1	RBB	WP_003111156.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003096022.1	1 to 1	SSD	WP_041629407.1
397675033	RVBD_3105c	WP_003416129.1	peptide chain release factor 2	1 to 1	SSD	WP_014846529.1	1 to 1	RBB	WP_043942635.1	0	N/A		1 to 1	RBB	WP_013971216.1	1 to 1	SSD	WP_041025300.1	1 to 1	Borderline-SSD	WP_003092527.1	1 to 1	Borderline-SSD	WP_003092527.1	1 to 1	SSD	WP_036987323.1	1 to 1	RBB	NP_275123.1	1 to 1	RBB	YP_208974.1	1 to 1	Borderline-SSD	WP_003092527.1	1 to 1	SSD	WP_012732067.1
397675034	RVBD_3106	WP_003900632.1	NADPH-ferredoxin reductase fprA	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		2 to 1	Non-SSD	WP_012732299.1
397675035	RVBD_3107c	WP_003899914.1	alkyl-dihydroxyacetonephosphate synthase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675036	RVBD_3108	WP_031647143.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675037	RVBD_3109	WP_003900633.1	molybdenum cofactor biosynthesis protein A 1	0	N/A		2 to 1	RBB	WP_014852930.1;WP_014852626.1	0	N/A		1 to 1	RBB	WP_013973774.1	1 to 2	RBB	WP_012076376.1;WP_012074514.1	1 to 2	RBB	WP_003092949.1;WP_003083204.1	1 to 2	RBB	WP_003092949.1;WP_003110703.1	1 to 1	RBB	WP_012018980.1	0	N/A		0	N/A		1 to 2	RBB	WP_003083204.1;WP_003092949.1	0	N/A	
397675038	RVBD_3110	WP_003416149.1	4a-hydroxytetrahydrobiopterin dehydratase	0	N/A		1 to 1	RBB	WP_014854095.1	1 to 1	RBB	NP_746602.1	1 to 1	RBB	WP_003254532.1	1 to 1	RBB	WP_003149893.1	1 to 1	RBB	WP_003085898.1	1 to 1	RBB	WP_003085898.1	1 to 1	RBB	WP_003241907.1	0	N/A		0	N/A		1 to 1	RBB	WP_003085898.1	0	N/A	
397675039	RVBD_3111	WP_003899917.1	molybdenum cofactor biosynthesis protein C 1	0	N/A		1 to 2	RBB	WP_014851784.1	2 to 1	RBB	NP_743452.1	2 to 1	RBB	WP_013974145.1	2 to 1	RBB	WP_012074481.1	2 to 1	RBB	WP_003093030.1	2 to 1	RBB	WP_003093030.1	2 to 1	RBB	WP_011921106.1	0	N/A		0	N/A		2 to 1	RBB	WP_003093030.1	0	N/A	
397675040	RVBD_3112	WP_003899918.1	molybdopterin converting factor subunit 1	0	N/A		0	N/A		1 to 1	RBB	NP_743453.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675041	RVBD_3113	WP_003912074.1	HAD hydrolase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675042	RVBD_3114	WP_003906986.1	hypothetical protein	0	N/A		1 to 1	RBB	WP_014853700.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675043	RVBD_3115	WP_003901078.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675044	RVBD_3116	WP_003899922.1	molybdopterin biosynthesis protein MoeB	1 to 2	Borderline-SSD	WP_014845883.1	1 to 2	SSD	WP_014853799.1	2 to 1	RBB	NP_742896.1	2 to 1	RBB	WP_013970911.1	2 to 1	RBB	WP_041025524.1	2 to 1	RBB	WP_003117430.1	2 to 1	RBB	WP_003141626.1	2 to 1	RBB	WP_041772818.1	2 to 1	SSD	NP_275052.1	2 to 1	SSD	YP_209039.1	2 to 1	RBB	WP_014603555.1	2 to 1	RBB	WP_041629569.1
397675045	RVBD_3117	WP_003404293.1	thiosulfate sulfurtransferase	0	N/A		1 to 3	RBB	WP_014854297.1	3 to 1	RBB	NP_747010.1	3 to 1	RBB	WP_013974448.1	3 to 1	RBB	WP_012077644.1	3 to 1	RBB	WP_003102047.1	3 to 1	RBB	WP_003095676.1	2 to 1	RBB	WP_012020109.1	0	N/A		0	N/A		3 to 1	RBB	WP_003095676.1	0	N/A	
397675046	RVBD_3118	WP_003404278.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675047	RVBD_3119	WP_003899923.1	molybdopterin synthase catalytic subunit	0	N/A		1 to 2	RBB	WP_014851786.1	2 to 1	RBB	NP_743454.1	3 to 1	RBB	WP_013974144.1	2 to 1	RBB	WP_003156338.1	2 to 1	RBB	WP_003093025.1	2 to 1	RBB	WP_003093025.1	2 to 1	RBB	WP_011921107.1	0	N/A		0	N/A		2 to 1	RBB	WP_003093025.1	0	N/A	
397675048	RVBD_3120	WP_003899924.1	methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675049	RVBD_3121	WP_003917126.1	cytochrome P450 141 cyp141	1 to 9	Borderline-SSD	WP_014847027.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675050	RVBD_3122	WP_003900634.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675051	RVBD_3123	WP_003901547.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675052	RVBD_3124	WP_003900636.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675053	RVBD_3125c	WP_003899929.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675054	RVBD_3126c	WP_003899930.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675055	RVBD_3127	WP_003416354.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675056	RVBD_3129	WP_003416360.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_041628869.1
397675057	RVBD_3130c	WP_003899932.1	acyltransferase, WS/DGAT/MGAT	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675058	RVBD_3131	WP_003416362.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675059	RVBD_3132c	WP_003899933.1	redox sensor histidine kinase response regulator devS	4 to 1	RBB	WP_041697097.1;WP_041697423.1;WP_041696035.1;WP_041697773.1	0	N/A		1 to 2	RBB	NP_742575.1;NP_744276.1	1 to 2	RBB	WP_044046875.1;WP_013971703.1	0	N/A		1 to 1	RBB	WP_003107757.1	1 to 1	RBB	WP_003139766.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003088515.1	1 to 1	RBB	WP_041629144.1
397675060	RVBD_3133c	WP_003416369.1	transcriptional regulatory protein devR (dosR)	12 to 1	RBB	WP_014846716.1;WP_014846496.1;WP_014845640.1;WP_014845406.1;WP_041697582.1;WP_014846777.1;WP_014845619.1;WP_014847806.1;WP_041697677.1;WP_014846359.1;WP_014847425.1;WP_014845279.1	0	N/A		1 to 3	RBB	NP_743251.1;NP_744251.1;NP_745550.1	1 to 2	RBB	WP_023663311.1;WP_023660944.1	0	N/A		0	N/A		0	N/A		1 to 3	RBB	WP_003242055.1;WP_003240627.1;WP_012019990.1	0	N/A		0	N/A		0	N/A		0	N/A	
397675061	RVBD_3134c	WP_003416373.1	universal stress protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675062	RVBD_3135	WP_003906988.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675063	RVBD_3136	WP_003416381.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675064	RVBD_3136Ac	YP_006516599	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675065	RVBD_3137	WP_003917127.1	histidinol-phosphatase	1 to 1	RBB	WP_014846432.1	0	N/A		1 to 1	RBB	NP_745301.1	1 to 1	RBB	WP_013972682.1	1 to 1	RBB	WP_041025432.1	1 to 1	RBB	WP_003100038.1	1 to 1	RBB	WP_003100038.1	0	N/A		1 to 1	SSD	NP_274918.1	1 to 1	RBB	YP_209167.1	1 to 1	RBB	WP_015503807.1	1 to 1	SSD	WP_041629472.1
397675066	RVBD_3138	WP_003899934.1	pyruvate formate lyase activating enzyme	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675067	RVBD_3139	WP_003900638.1	acyl-CoA dehydrogenase fadE24	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_041025426.1	1 to 1	RBB	WP_003114543.1	1 to 1	RBB	WP_003109891.1	1 to 1	RBB	WP_011920811.1	0	N/A		0	N/A		1 to 1	RBB	WP_023098858.1	1 to 1	RBB	WP_041629535.1
397675068	RVBD_3140	WP_003899936.1	acyl-CoA dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012077682.1	1 to 1	RBB	WP_003095742.1	1 to 1	RBB	WP_003095742.1	1 to 1	RBB	WP_011920812.1	0	N/A		0	N/A		1 to 1	RBB	WP_003095742.1	1 to 1	RBB	WP_012732254.1
397675069	RVBD_3141	WP_003416403.1	NADPH2:quinone reductase	0	N/A		1 to 2	RBB	WP_014854469.1	2 to 1	RBB	NP_747311.1	2 to 1	RBB	WP_013974730.1	2 to 1	RBB	WP_012077851.1	2 to 1	RBB	WP_003118041.1	2 to 1	RBB	WP_003096329.1	2 to 1	RBB	WP_011920594.1	0	N/A		0	N/A		2 to 1	RBB	WP_003096329.1	0	N/A	
397675070	RVBD_3142c	WP_003416407.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675071	RVBD_3143	WP_003416410.1	response regulator	1 to 1	RBB	WP_014847075.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675072	RVBD_3144c	WP_003913805.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397675073	RVBD_3145	WP_003416417.1	NADH-quinone oxidoreductase subunit A	1 to 1	SSD	WP_014847375.1	1 to 1	SSD	WP_014852513.1	1 to 1	RBB	NP_746238.1	1 to 1	RBB	WP_003251427.1	1 to 2	RBB	WP_012076112.1;WP_012075444.1	1 to 2	RBB	WP_003090452.1;WP_003117664.1	1 to 2	RBB	WP_003090452.1;WP_003088123.1	1 to 1	RBB	WP_003240678.1	1 to 1	SSD	NP_273297.1	1 to 1	RBB	YP_208784.1	1 to 2	RBB	WP_003088123.1;WP_003090452.1	0	N/A	
397675074	RVBD_3146	WP_003416420.1	NADH-quinone oxidoreductase subunit B	1 to 1	SSD	WP_014847374.1	1 to 1	SSD	WP_014852512.1	1 to 1	RBB	NP_746239.1	1 to 1	RBB	WP_003251429.1	1 to 1	SSD	WP_012075443.1	1 to 1	RBB	WP_003090455.1	1 to 1	RBB	WP_003090455.1	1 to 1	RBB	WP_003240680.1	1 to 1	SSD	NP_273298.1	1 to 1	RBB	YP_208783.1	1 to 1	RBB	WP_003090455.1	0	N/A	
397675075	RVBD_3147	WP_003416425.1	NADH-quinone oxidoreductase subunit C	1 to 1	SSD	WP_014847373.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_273299.1	1 to 1	RBB	YP_208782.1	0	N/A		0	N/A	
397675076	RVBD_3148	WP_003416430.1	NADH-quinone oxidoreductase subunit D	1 to 1	SSD	WP_041697746.1	1 to 1	SSD	WP_014852511.1	1 to 1	RBB	NP_746240.1	1 to 1	RBB	WP_013973384.1	1 to 1	SSD	WP_012075442.1	1 to 1	RBB	WP_003090458.1	1 to 1	RBB	WP_003090458.1	1 to 1	RBB	WP_012018728.1	1 to 1	SSD	NP_273300.1	1 to 1	SSD	YP_208781.1	1 to 1	RBB	WP_003090458.1	0	N/A	
397675077	RVBD_3149	WP_003416434.1	NADH-quinone oxidoreductase subunit E	1 to 1	SSD	WP_014847371.1	1 to 1	RBB	WP_014852510.1	1 to 1	RBB	NP_744332.1	1 to 1	RBB	WP_013971800.1	1 to 1	SSD	WP_012075441.1	1 to 1	SSD	WP_003090460.1	1 to 1	SSD	WP_003090460.1	1 to 2	RBB	WP_011920641.1;WP_012018729.1	1 to 1	SSD	NP_273301.1	1 to 1	SSD	YP_208780.1	1 to 1	SSD	WP_003090460.1	0	N/A	
397675078	RVBD_3150	WP_003416439.1	NADH-quinone oxidoreductase subunit F	1 to 1	SSD	WP_014847370.1	1 to 1	RBB	WP_043942765.1	1 to 1	RBB	NP_746242.1	1 to 1	RBB	WP_013973386.1	1 to 1	SSD	WP_003097674.1	1 to 1	SSD	WP_003097674.1	1 to 1	SSD	YP_790553.1	1 to 1	RBB	WP_012018730.1	1 to 1	SSD	NP_273302.1	1 to 1	SSD	YP_208779.1	1 to 1	SSD	WP_003090462.1	0	N/A	
397675079	RVBD_3151	WP_003916519.1	NADH-quinone oxidoreductase subunit G	1 to 1	SSD	WP_041697744.1	1 to 1	RBB	WP_014852508.1	1 to 1	RBB	NP_744334.1	1 to 1	RBB	WP_013971802.1	1 to 1	SSD	WP_012075439.1	1 to 1	SSD	WP_003116716.1	1 to 1	SSD	WP_003138932.1	1 to 1	RBB	WP_011920643.1	1 to 1	SSD	NP_273305.1	1 to 1	RBB	YP_208778.1	1 to 1	SSD	WP_003090464.1	0	N/A	
