Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Pseudomonas stutzeri DSM 10701 - ortholog count (reference : comparison)	Pseudomonas stutzeri DSM 10701 - ortholuge status	Pseudomonas stutzeri DSM 10701 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa DK2 - ortholog count (reference : comparison)	Pseudomonas aeruginosa DK2 - ortholuge status	Pseudomonas aeruginosa DK2 - ortholog NCBI RefSeq accession	Propionibacterium propionicum F0230a - ortholog count (reference : comparison)	Propionibacterium propionicum F0230a - ortholuge status	Propionibacterium propionicum F0230a - ortholog NCBI RefSeq accession	Pseudomonas putida S16 - ortholog count (reference : comparison)	Pseudomonas putida S16 - ortholuge status	Pseudomonas putida S16 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa NCGM2.S1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa NCGM2.S1 - ortholuge status	Pseudomonas aeruginosa NCGM2.S1 - ortholog NCBI RefSeq accession	Corynebacterium kroppenstedtii DSM 44385 - ortholog count (reference : comparison)	Corynebacterium kroppenstedtii DSM 44385 - ortholuge status	Corynebacterium kroppenstedtii DSM 44385 - ortholog NCBI RefSeq accession	Pseudomonas mendocina ymp - ortholog count (reference : comparison)	Pseudomonas mendocina ymp - ortholuge status	Pseudomonas mendocina ymp - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PA7 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PA7 - ortholuge status	Pseudomonas aeruginosa PA7 - ortholog NCBI RefSeq accession	Neisseria meningitidis MC58 - ortholog count (reference : comparison)	Neisseria meningitidis MC58 - ortholuge status	Neisseria meningitidis MC58 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Pseudomonas putida KT2440 - ortholog count (reference : comparison)	Pseudomonas putida KT2440 - ortholuge status	Pseudomonas putida KT2440 - ortholog NCBI RefSeq accession	Neisseria gonorrhoeae FA 1090 - ortholog count (reference : comparison)	Neisseria gonorrhoeae FA 1090 - ortholuge status	Neisseria gonorrhoeae FA 1090 - ortholog NCBI RefSeq accession
16132056	b4234	NP_418655.1	conserved protein, ribosome-associated	1 to 1	SSD	WP_014851646.1	1 to 1	SSD	WP_003094378.1	0	N/A		1 to 1	SSD	WP_003255152.1	1 to 1	SSD	WP_003094378.1	0	N/A		1 to 1	SSD	WP_003242862.1	1 to 1	SSD	WP_003156633.1	1 to 1	RBB	NP_273881.1	1 to 1	SSD	WP_003094378.1	1 to 1	SSD	NP_743102.1	1 to 1	RBB	YP_207567.1
16132057	b4235	NP_418656.1	predicted peptidase required for the maturation and secretion of the antibiotic peptide MccB17	1 to 1	SSD	WP_014851647.1	1 to 1	SSD	WP_003110024.1	0	N/A		1 to 1	SSD	WP_013971071.1	1 to 1	SSD	WP_003110024.1	0	N/A		1 to 1	SSD	WP_011921005.1	1 to 1	SSD	WP_012077236.1	1 to 1	SSD	NP_273880.1	1 to 1	SSD	WP_003110024.1	1 to 1	SSD	NP_743103.1	1 to 1	SSD	YP_207566.1
16132059	b4237	NP_418658.1	anaerobic ribonucleotide reductase activating protein	0	N/A		1 to 1	RBB	WP_003090610.1	0	N/A		0	N/A		1 to 1	RBB	WP_003090610.1	0	N/A		0	N/A		1 to 1	RBB	WP_012075414.1	0	N/A		1 to 1	RBB	WP_003138856.1	0	N/A		0	N/A	
16132060	b4238	NP_418659.1	anaerobic ribonucleoside-triphosphate reductase	1 to 1	RBB	WP_043942659.1	1 to 1	RBB	WP_003111559.1	0	N/A		0	N/A		1 to 1	RBB	WP_003088215.1	0	N/A		0	N/A		1 to 1	RBB	WP_012076091.1	0	N/A		1 to 1	RBB	WP_003088215.1	0	N/A		0	N/A	
16132061	b4239	NP_418660.1	trehalose-6-P hydrolase	2 to 1	RBB	WP_014851371.1;WP_014852451.1	1 to 1	RBB	WP_014834027.1	1 to 1	RBB	WP_041697016.1	1 to 1	RBB	WP_013973335.1	1 to 1	RBB	WP_003088929.1	1 to 1	RBB	WP_041628900.1	1 to 1	RBB	WP_012019246.1	1 to 1	RBB	WP_012075863.1	0	N/A		1 to 1	RBB	WP_003139562.1	1 to 1	RBB	NP_746185.1	0	N/A	
16132062	b4240	NP_418661.1	fused trehalose(maltose)-specific PTS enzyme: IIB component/IIC component	0	N/A		0	N/A		1 to 4	RBB	WP_014845951.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132063	b4241	NP_418662.1	DNA-binding transcriptional repressor	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132064	b4242	NP_418663.1	magnesium transporter	1 to 1	Non-SSD	WP_014853182.1	1 to 1	SSD	WP_003095335.1	1 to 1	RBB	WP_014845738.1	0	N/A		1 to 1	SSD	WP_003095335.1	1 to 1	RBB	WP_041629121.1	1 to 1	Non-SSD	WP_012017800.1	1 to 1	SSD	WP_003151512.1	0	N/A		1 to 1	SSD	WP_004365415.1	1 to 1	SSD	NP_744789.1	0	N/A	
90111711	b4243	NP_418664.2	conserved protein, UPF0131 family	1 to 2	RBB	WP_014854316.1	1 to 2	RBB	WP_003096609.1	0	N/A		1 to 2	RBB	WP_009684531.1	1 to 2	RBB	WP_003096609.1	1 to 2	RBB	WP_012732602.1	1 to 2	RBB	WP_003242553.1	1 to 2	RBB	WP_003150736.1	1 to 2	RBB	NP_273704.1	1 to 2	RBB	WP_003096609.1	1 to 2	RBB	NP_747404.1	2 to 1	RBB	YP_207397.1
16132066	b4244	NP_418665.1	aspartate carbamoyltransferase, regulatory subunit	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_273165.1	0	N/A		0	N/A		1 to 1	RBB	YP_208908.1
16132067	b4245	NP_418666.1	aspartate carbamoyltransferase, catalytic subunit	1 to 1	Borderline-SSD	WP_014851222.1	1 to 1	Non-SSD	WP_003084569.1	1 to 1	RBB	WP_014846875.1	1 to 1	Non-SSD	WP_013974531.1	1 to 1	Non-SSD	WP_003084569.1	1 to 1	RBB	WP_012731633.1	1 to 1	Borderline-SSD	WP_011920651.1	1 to 1	Non-SSD	WP_003157750.1	1 to 1	SSD	NP_273164.1	1 to 1	Non-SSD	WP_003084569.1	1 to 1	Non-SSD	NP_747100.1	1 to 1	SSD	YP_208909.1
16132068	b4246	NP_418667.1	pyrBI operon leader peptide	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132070	b4248	NP_418669.1	conserved protein, UPF0131 family	1 to 1	RBB	WP_014853252.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003093558.1	0	N/A		1 to 1	RBB	WP_003239712.1	0	N/A		0	N/A		1 to 1	RBB	WP_003101334.1	0	N/A		0	N/A	
16132071	b4249	NP_418670.1	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain	0	N/A		1 to 1	RBB	WP_009875677.1	0	N/A		1 to 1	RBB	WP_024086508.1	1 to 1	RBB	WP_031627652.1	0	N/A		2 to 1	RBB	WP_012018067.1;WP_012019316.1	1 to 1	RBB	WP_003149588.1	0	N/A		1 to 1	RBB	WP_031627652.1	1 to 1	RBB	NP_744007.1	0	N/A	
90111712	b4251	NP_418672.4	predicted transcriptional regulator	0	N/A		0	N/A		2 to 1	RBB	WP_041697536.1;WP_041696095.1	0	N/A		0	N/A		1 to 2	RBB	WP_041629162.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111713	b4252	NP_418673.4	biofilm modulator regulated by toxins	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111714	b4253	NP_418674.2	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132076	b4254	NP_418675.1	ornithine carbamoyltransferase 1	1 to 2	RBB	WP_014853079.1	1 to 2	RBB	WP_003100031.1	1 to 2	RBB	WP_014845453.1	1 to 2	RBB	WP_013971112.1	1 to 2	RBB	WP_003096197.1	1 to 2	RBB	WP_012731481.1	1 to 2	RBB	WP_003246303.1	1 to 2	RBB	WP_012077807.1	1 to 2	RBB	NP_274579.1	1 to 2	RBB	WP_003096197.1	1 to 2	RBB	NP_743161.1	2 to 1	RBB	YP_208303.1
16132077	b4255	NP_418676.1	protein inhibitor of RNase E	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
49176479	b4256	YP_026287.1	predicted acetyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
49176480	b4257	YP_026288.1	inner membrane protein, DUF898 family	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132080	b4258	NP_418679.1	valyl-tRNA synthetase	1 to 1	SSD	WP_014852021.1	1 to 1	SSD	WP_003092872.1	1 to 1	RBB	WP_014846842.1	1 to 1	SSD	WP_013971095.1	1 to 1	SSD	WP_003092872.1	1 to 1	RBB	WP_041628862.1	1 to 1	SSD	WP_012019521.1	1 to 1	SSD	WP_012074544.1	1 to 1	SSD	NP_273232.1	1 to 1	SSD	WP_003137827.1	1 to 1	SSD	NP_743138.1	1 to 1	SSD	YP_208839.1
16132081	b4259	NP_418680.1	DNA polymerase III, chi subunit	1 to 1	SSD	WP_014852023.1	1 to 1	RBB	WP_003100593.1	0	N/A		1 to 1	RBB	WP_031325201.1	1 to 1	RBB	WP_003092868.1	0	N/A		1 to 1	SSD	WP_012019519.1	1 to 1	RBB	WP_003149876.1	1 to 1	RBB	NP_274575.1	1 to 1	RBB	WP_003092868.1	1 to 1	RBB	NP_743140.1	1 to 1	RBB	YP_208297.1
16132082	b4260	NP_418681.1	multifunctional aminopeptidase A: a cyteinylglycinase, transcription regulator and site-specific recombination factor	1 to 1	SSD	WP_014852024.1	1 to 1	SSD	WP_003092867.1	1 to 2	RBB	WP_014847087.1	1 to 1	SSD	WP_013971098.1	1 to 1	SSD	WP_003092867.1	0	N/A		1 to 1	SSD	WP_041772958.1	1 to 1	SSD	WP_012074546.1	0	N/A		1 to 1	SSD	WP_003137844.1	1 to 1	SSD	NP_743141.1	1 to 1	SSD	YP_208298.1
16132083	b4261	NP_418682.1	lipopolysaccharide export ABC permease of the LptBFGC export complex	1 to 1	SSD	WP_014852025.1	1 to 1	SSD	WP_003092864.1	0	N/A		1 to 1	RBB	WP_013971099.1	1 to 1	SSD	WP_003092864.1	0	N/A		1 to 1	Borderline-SSD	WP_012019517.1	1 to 1	SSD	WP_003149870.1	1 to 1	RBB	NP_274576.1	1 to 1	SSD	WP_003092864.1	1 to 1	SSD	NP_743143.1	1 to 1	RBB	YP_208299.1
90111715	b4262	NP_418683.4	lipopolysaccharide export ABC permease of the LptBFGC export complex	1 to 1	SSD	WP_014852026.1	1 to 1	SSD	WP_003092863.1	0	N/A		1 to 1	SSD	WP_013971100.1	1 to 1	SSD	WP_003092863.1	0	N/A		1 to 1	SSD	WP_012019516.1	1 to 1	SSD	WP_012074547.1	1 to 1	RBB	NP_274577.1	1 to 1	SSD	WP_003092863.1	1 to 1	SSD	NP_743144.1	1 to 1	RBB	YP_208300.1
16132085	b4263	NP_418684.1	conserved protein, DUF853 family with NTPase fold	1 to 1	SSD	WP_014851778.1	1 to 1	Non-SSD	WP_003114975.1	1 to 1	RBB	WP_014847803.1	1 to 1	Non-SSD	WP_013974050.1	1 to 1	Non-SSD	WP_003093869.1	0	N/A		1 to 1	SSD	WP_012019394.1	1 to 1	Non-SSD	WP_012077119.1	0	N/A		1 to 1	Non-SSD	WP_011666749.1	1 to 1	Non-SSD	NP_743531.1	0	N/A	
16132086	b4264	NP_418685.1	DNA-binding transcriptional repressor, 5-gluconate-binding	1 to 2	RBB	WP_043942590.1	1 to 2	RBB	WP_003107131.1	0	N/A		1 to 2	RBB	WP_024087200.1	1 to 2	RBB	WP_003111384.1	0	N/A		1 to 2	RBB	WP_012018828.1	1 to 2	RBB	WP_033997594.1	0	N/A		1 to 2	RBB	WP_003111384.1	1 to 2	RBB	NP_745553.1	0	N/A	
16132087	b4265	NP_418686.1	L-idonate and D-gluconate transporter	1 to 5	RBB	WP_014851914.1	1 to 3	RBB	WP_003107128.1	0	N/A		1 to 3	RBB	WP_013972805.1	1 to 3	RBB	WP_003089414.1	1 to 4	RBB	WP_012730848.1	1 to 7	RBB	WP_012018016.1	1 to 3	RBB	WP_003156838.1	0	N/A		1 to 3	RBB	WP_003107128.1	1 to 3	RBB	NP_745555.1	0	N/A	
16132088	b4266	NP_418687.1	5-keto-D-gluconate-5-reductase	1 to 2	RBB	WP_014851288.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132089	b4267	NP_418688.1	L-idonate 5-dehydrogenase, NAD-binding	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132090	b4268	NP_418689.1	D-gluconate kinase, thermosensitive	1 to 1	RBB	WP_014854171.1	1 to 2	RBB	WP_003107130.1	0	N/A		1 to 2	RBB	WP_015270531.1	1 to 2	RBB	WP_003089412.1	1 to 2	RBB	WP_012730849.1	1 to 2	RBB	WP_012018830.1	1 to 2	RBB	WP_012075721.1	1 to 2	RBB	NP_275020.1	1 to 2	RBB	WP_003139362.1	1 to 2	RBB	NP_745554.1	2 to 1	RBB	YP_209089.1
90111716	b4269	NP_418690.4	predicted alcohol dehydrogenase, Zn-dependent and NAD(P)-binding	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012019677.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
145698344	b4272	NP_418692.2	IS2 repressor TnpA	0	N/A		1 to 6	RBB	WP_003116795.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132094	b4273	NP_418693.1	IS2 transposase TnpB	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132098	b4277	NP_418697.1	KpLE2 phage-like element; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132099	b4278	NP_418698.1	IS4 transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_016487063.1	0	N/A		0	N/A		0	N/A		0	N/A	
90111718	b4279	NP_418699.4	predicted transporter	0	N/A		2 to 2	RBB	WP_003112539.1;WP_003102111.1	0	N/A		1 to 2	RBB	WP_013973753.1	2 to 2	RBB	WP_003088828.1;WP_003108631.1	0	N/A		0	N/A		2 to 2	RBB	WP_012076772.1;WP_012075956.1	0	N/A		2 to 2	RBB	WP_003088828.1;WP_003112539.1	1 to 2	RBB	NP_746687.1	0	N/A	
90111719	b4280	NP_418700.2	predicted oxidoreductase	0	N/A		1 to 1	RBB	WP_003101871.1	1 to 1	RBB	WP_014847776.1	1 to 1	RBB	WP_024086797.1	1 to 1	RBB	WP_003084081.1	1 to 1	RBB	WP_012732047.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003121655.1	0	N/A		0	N/A	
16132105	b4284	NP_418704.1	IS30 transposase	0	N/A		0	N/A		4 to 3	RBB	WP_041697684.1;WP_041697156.1;WP_041697065.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		14 to 3	RBB	NP_273875.1;NP_275133.1;NP_273282.1;NP_274084.1;NP_274770.1;NP_273951.1;NP_274274.1;NP_274281.1;NP_273847.1;NP_274130.1;NP_274716.1;NP_274056.1;NP_273678.1	0	N/A		0	N/A		0	N/A	
16132108	b4287	NP_418707.1	KpLE2 phage-like element; iron-dicitrate transporter subunit	1 to 2	RBB	WP_014852839.1	1 to 1	RBB	WP_003095098.1	0	N/A		1 to 2	RBB	WP_013971985.1	0	N/A		0	N/A		0	N/A		1 to 2	RBB	WP_012077463.1	1 to 3	RBB	NP_274985.1	0	N/A		1 to 1	RBB	NP_746796.1	3 to 1	RBB	YP_209101.1
16132109	b4288	NP_418708.1	KpLE2 phage-like element; iron-dicitrate transporter subunit	1 to 4	RBB	WP_014854029.1	0	N/A		5 to 1	RBB	WP_041697933.1;WP_041696939.1;WP_014846404.1;WP_014847796.1;WP_041697646.1	0	N/A		0	N/A		1 to 1	RBB	WP_041629131.1	1 to 1	RBB	WP_012019055.1	0	N/A		1 to 5	RBB	NP_274982.1	1 to 1	RBB	WP_031632625.1	1 to 2	RBB	NP_744565.1	0	N/A	
16132110	b4289	NP_418709.1	KpLE2 phage-like element; iron-dicitrate transporter subunit	1 to 4	RBB	WP_014854029.1	1 to 1	RBB	WP_003101425.1	0	N/A		0	N/A		1 to 1	RBB	WP_014603923.1	2 to 1	RBB	WP_012731082.1;WP_041629640.1	1 to 1	RBB	WP_012020289.1	1 to 1	RBB	WP_012075207.1	1 to 5	RBB	NP_274982.1	1 to 1	RBB	WP_003138657.1	0	N/A		0	N/A	
162135917	b4290	NP_418710.4	KpLE2 phage-like element; iron-dicitrate transporter subunit	1 to 1	RBB	WP_014852840.1	0	N/A		1 to 1	RBB	WP_041696215.1	0	N/A		0	N/A		1 to 1	RBB	WP_041628752.1	0	N/A		0	N/A		1 to 2	Non-SSD	NP_274981.1	0	N/A		1 to 2	RBB	NP_744735.1	2 to 1	RBB	YP_209105.1
16132112	b4291	NP_418711.1	KpLE2 phage-like element; ferric citrate outer membrane transporter	0	N/A		1 to 1	RBB	WP_003118282.1	0	N/A		1 to 1	RBB	YP_004700393	1 to 1	RBB	WP_003093001.1	0	N/A		1 to 1	RBB	WP_012019340.1	1 to 1	RBB	WP_012074490.1	0	N/A		1 to 1	RBB	WP_003137759.1	1 to 1	RBB	NP_746722.1	0	N/A	
16132113	b4292	NP_418712.1	KpLE2 phage-like element; transmembrane signal transducer for ferric citrate transport	1 to 1	RBB	WP_014854621.1	3 to 1	RBB	WP_003116884.1;WP_003113764.1;WP_003114934.1	0	N/A		2 to 1	RBB	WP_041506297.1;WP_013970352.1	2 to 1	RBB	WP_014604021.1;WP_003090595.1	0	N/A		1 to 1	RBB	WP_012018912.1	4 to 1	RBB	WP_012075588.1;WP_012077596.1;WP_012074491.1;WP_012076095.1	0	N/A		1 to 1	RBB	WP_016254227.1	2 to 1	RBB	NP_742864.1;NP_742330.1	0	N/A	
16132114	b4293	NP_418713.1	KpLE2 phage-like element; RNA polymerase, sigma 19 factor	1 to 1	RBB	WP_014854622.1	2 to 1	RBB	WP_003117376.1;WP_003092999.1	1 to 1	RBB	WP_014845539.1	1 to 1	RBB	WP_013972971.1	2 to 1	RBB	WP_003088185.1;WP_003092999.1	0	N/A		1 to 1	RBB	WP_003243715.1	2 to 1	RBB	WP_033997664.1;WP_033997176.1	0	N/A		2 to 1	RBB	WP_003092999.1;WP_003088185.1	1 to 1	RBB	NP_745714.1	0	N/A	
16132115	b4294	NP_418714.1	IS1 repressor TnpA	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111724	b4295	NP_418715.2	predicted DNA-binding transcriptional regulator; KpLE2 phage-like element	0	N/A		0	N/A		1 to 1	RBB	WP_014848071.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132117	b4296	NP_418716.1	KpLE2 phage-like element; predicted transporter	0	N/A		1 to 3	RBB	WP_003107128.1	0	N/A		1 to 3	RBB	WP_013972805.1	1 to 3	RBB	WP_003089414.1	1 to 4	RBB	WP_012730848.1	1 to 7	RBB	WP_012018016.1	1 to 3	RBB	WP_003156838.1	0	N/A		1 to 3	RBB	WP_003107128.1	1 to 3	RBB	NP_745555.1	0	N/A	
16132118	b4297	NP_418717.1	KpLE2 phage-like element; predicted dehydratase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111725	b4298	NP_418718.4	KpLE2 phage-like element; predicted lyase/synthase	0	N/A		0	N/A		1 to 3	RBB	WP_014846243.1	0	N/A		0	N/A		1 to 2	RBB	WP_012732474.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132120	b4299	NP_418719.1	KpLE2 phage-like element; predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		1 to 7	RBB	WP_014846399.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132121	b4300	NP_418720.1	KpLE2 phage-like element; predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132122	b4301	NP_418721.1	KpLE2 phage-like element; predicted epimerase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132123	b4302	NP_418722.1	KpLE2 phage-like element; predicted phosphotransferase enzyme IIA component	0	N/A		0	N/A		1 to 3	RBB	WP_014846285.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132124	b4303	NP_418723.1	KpLE2 phage-like element; predicted nucleoside triphosphatase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132125	b4304	NP_418724.1	KpLE2 phage-like element; predicted phosphotransferase enzyme IIC component	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111726	b4305	NP_418725.4	KpLE2 phage-like element; predicted endoglucanase with Zn-dependent exopeptidase domain	1 to 3	RBB	WP_014852185.1	1 to 3	RBB	WP_003116980.1	0	N/A		0	N/A		1 to 2	RBB	WP_003088971.1	0	N/A		1 to 2	RBB	WP_012019120.1	1 to 3	RBB	WP_012075891.1	0	N/A		1 to 2	RBB	WP_011666677.1	0	N/A		0	N/A	
16132127	b4306	NP_418726.1	KpLE2 phage-like element; predicted methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132128	b4307	NP_418727.1	KpLE2 phage-like element; predicted acetyltransferase	0	N/A		0	N/A		1 to 2	RBB	WP_014846108.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132130	b4309	NP_418729.1	probable 9-O-acetyl N-acetylneuraminic acid esterase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111727	b4310	NP_418730.4	N-acetylneuraminic acid mutarotase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111728	b4311	NP_418731.2	N-acetylnuraminic acid outer membrane channel protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132133	b4312	NP_418732.1	tyrosine recombinase/inversion of on/off regulator of fimA	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132134	b4313	NP_418733.1	tyrosine recombinase/inversion of on/off regulator of fimA	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132135	b4314	NP_418734.1	major type 1 subunit fimbrin (pilin)	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111729	b4315	NP_418735.2	fimbrial protein involved in type 1 pilus biosynthesis	0	N/A		0	N/A		0	N/A		1 to 5	RBB	WP_013971549.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_744046.1	0	N/A	
49176488	b4316	NP_418736.3	chaperone, periplasmic	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132138	b4317	NP_418737.1	outer membrane usher protein, type 1 fimbrial synthesis	0	N/A		1 to 4	RBB	WP_003123214.1	0	N/A		1 to 6	RBB	WP_044047225.1	1 to 4	RBB	WP_003086235.1	0	N/A		0	N/A		1 to 4	RBB	WP_012076805.1	0	N/A		1 to 4	RBB	WP_003134047.1	1 to 4	RBB	NP_744044.1	0	N/A	
16132139	b4318	NP_418738.1	minor component of type 1 fimbriae	0	N/A		0	N/A		0	N/A		1 to 5	RBB	WP_013971549.1	0	N/A		0	N/A		0	N/A		1 to 2	RBB	WP_012074354.1	0	N/A		0	N/A		1 to 2	RBB	NP_744043.1	0	N/A	
16132140	b4319	NP_418739.1	minor component of type 1 fimbriae	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132141	b4320	NP_418740.1	minor component of type 1 fimbriae	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132142	b4321	NP_418741.1	fructuronate transporter	1 to 5	RBB	WP_014851914.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 4	RBB	WP_012730848.1	1 to 7	RBB	WP_012018016.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132143	b4322	NP_418742.1	mannonate hydrolase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132144	b4323	NP_418743.1	D-mannonate oxidoreductase, NAD-binding	1 to 3	RBB	WP_014852750.1	1 to 3	RBB	WP_003105368.1	0	N/A		0	N/A		1 to 3	RBB	WP_003089448.1	0	N/A		1 to 3	RBB	WP_012020216.1	1 to 3	RBB	WP_012075707.1	0	N/A		1 to 3	RBB	WP_003139353.1	0	N/A		0	N/A	
16132145	b4324	NP_418744.1	DNA-binding transcriptional repressor	1 to 2	RBB	WP_014852895.1	0	N/A		1 to 4	RBB	WP_014846322.1	2 to 2	RBB	WP_013974312.1;WP_013972994.1	0	N/A		0	N/A		1 to 2	RBB	WP_003245991.1	0	N/A		0	N/A		0	N/A		2 to 2	RBB	NP_746865.1;NP_745739.1	0	N/A	
