Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Mycobacterium tuberculosis H37Rv - ortholog count (reference : comparison)	Mycobacterium tuberculosis H37Rv - ortholuge status	Mycobacterium tuberculosis H37Rv - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PAO1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PAO1 - ortholuge status	Pseudomonas aeruginosa PAO1 - ortholog NCBI RefSeq accession	Acinetobacter baumannii ATCC 17978 - ortholog count (reference : comparison)	Acinetobacter baumannii ATCC 17978 - ortholuge status	Acinetobacter baumannii ATCC 17978 - ortholog NCBI RefSeq accession	Escherichia coli IAI1 - ortholog count (reference : comparison)	Escherichia coli IAI1 - ortholuge status	Escherichia coli IAI1 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession
16131145	b3257	NP_417723.1	conserved inner membrane protein	0	N/A		1 to 1	Non-SSD	YP_005239570	1 to 1	Non-SSD	NP_462291.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388734	0	N/A	
90111565	b3258	NP_417724.4	pantothenate:sodium symporter	0	N/A		1 to 1	SSD	YP_005239571	1 to 1	SSD	NP_462292.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388735	0	N/A	
16131147	b3259	NP_417725.1	methyltransferase for 50S ribosomal subunit protein L11	0	N/A		1 to 1	SSD	YP_005239572	1 to 1	SSD	NP_462293.1	1 to 1	SSD	NP_253537.1	1 to 1	SSD	YP_001085213	1 to 1	RBB	YP_002388736	1 to 1	SSD	WP_003112237.1
16131148	b3260	NP_417726.1	tRNA-dihydrouridine synthase B	1 to 1	RBB	WP_003914633.1	1 to 1	SSD	YP_005239574	1 to 1	SSD	NP_462294.1	1 to 1	SSD	NP_253539.1	1 to 1	SSD	YP_001085514	1 to 1	RBB	YP_002388737	1 to 1	SSD	WP_003111229.1
16131149	b3261	NP_417727.1	global DNA-binding transcriptional dual regulator	0	N/A		1 to 1	Borderline-SSD	YP_005239575	1 to 1	Borderline-SSD	NP_462295.1	1 to 1	RBB	NP_253540.1	1 to 1	SSD	YP_001085215	1 to 1	RBB	YP_002388738	1 to 1	SSD	WP_003121116.1
90111566	b3262	NP_417728.4	DNA adenine methyltransferase, SAM-dependent	0	N/A		1 to 1	SSD	YP_005239576	1 to 1	SSD	NP_462296.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388739	0	N/A	
16131151	b3263	NP_417729.1	predicted membrane protein	0	N/A		1 to 1	RBB	YP_005239577	1 to 1	RBB	NP_462297.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388740	0	N/A	
16131152	b3264	NP_417730.1	DNA-binding transcriptional regulator	0	N/A		1 to 1	SSD	YP_005239579	1 to 1	SSD	NP_462299.1	1 to 2	RBB	NP_252264.1	0	N/A		1 to 1	RBB	YP_002388741	1 to 2	RBB	WP_003092152.1
16131153	b3265	NP_417731.1	cytoplasmic membrane lipoprotein	0	N/A		1 to 1	SSD	YP_005239582	1 to 1	SSD	NP_462300.1	1 to 2	RBB	NP_249116.1	1 to 3	RBB	YP_001085750	1 to 1	RBB	YP_002388742	1 to 2	RBB	WP_003118819.1
16131154	b3266	NP_417732.1	multidrug efflux system protein	0	N/A		1 to 1	Borderline-SSD	YP_005239583	1 to 1	Borderline-SSD	NP_462301.1	1 to 2	RBB	NP_249117.1	1 to 4	RBB	YP_001085751	1 to 1	RBB	YP_002388743	1 to 2	RBB	WP_003107312.1
16131155	b3267	NP_417733.1	predicted outer membrane protein	0	N/A		1 to 1	RBB	YP_005239584	1 to 1	RBB	NP_462302.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388744	0	N/A	
49176333	b3269	YP_026209.1	predicted amino-acid transporter subunit	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002388747	0	N/A	
90111567	b3270	NP_417736.2	predicted amino-acid transporter subunit	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002388748	0	N/A	
16131159	b3271	NP_417737.1	predicted amino-acid transporter subunit	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002388749	0	N/A	
90111568	b3279	NP_417738.4	conserved protein	0	N/A		1 to 1	SSD	YP_005239589	1 to 1	SSD	NP_462303.1	1 to 1	SSD	NP_248756.1	1 to 1	RBB	YP_001085456	1 to 1	RBB	YP_002388750	1 to 1	RBB	WP_003106612.1
16131161	b3280	NP_417739.1	conserved protein	0	N/A		1 to 1	Borderline-SSD	YP_005239590	1 to 1	Borderline-SSD	NP_462304.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388751	0	N/A	
16131162	b3281	NP_417740.1	dehydroshikimate reductase, NAD(P)-binding	1 to 2	RBB	WP_003413193.1	1 to 1	SSD	YP_005239591	1 to 1	SSD	NP_462305.1	1 to 1	SSD	NP_248715.1	1 to 1	SSD	YP_001086108	1 to 1	RBB	YP_002388752	1 to 1	SSD	WP_003097314.1
16131163	b3282	NP_417741.1	tRNA(ANN) t(6)A37 threonylcarbamoyladenosine modification protein	1 to 2	RBB	WP_003898815.1	1 to 1	SSD	YP_005239592	1 to 1	SSD	NP_462306.1	1 to 1	SSD	NP_248712.1	1 to 1	RBB	YP_001083250	1 to 1	RBB	YP_002388753	1 to 1	RBB	WP_003097300.1
49176335	b3283	YP_026210.1	predicted DNA topoisomerase	0	N/A		1 to 1	Borderline-SSD	YP_005239593	1 to 1	Borderline-SSD	NP_462307.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388754	0	N/A	
16131165	b3284	NP_417743.1	conserved protein	0	N/A		1 to 1	SSD	YP_005239594	1 to 1	SSD	NP_462308.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388755	0	N/A	
16131166	b3287	NP_417745.1	peptide deformylase	1 to 1	RBB	WP_003402185.1	1 to 1	SSD	YP_005239596	1 to 1	SSD	NP_462310.1	1 to 1	SSD	NP_248709.1	1 to 1	SSD	YP_001083253	1 to 1	RBB	YP_002388757	1 to 1	SSD	WP_003097293.1
16131167	b3288	NP_417746.1	10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase	1 to 1	RBB	WP_003900336.1	1 to 1	SSD	YP_005239597	1 to 1	SSD	NP_462311.1	1 to 1	SSD	NP_248708.1	1 to 1	SSD	YP_001086447	1 to 1	RBB	YP_002388758	1 to 1	SSD	WP_003142204.1
16131168	b3289	NP_417747.1	16S rRNA m(5)C967 methyltransferase, S-adenosyl-L-methionine-dependent	1 to 1	RBB	WP_003898865.1	1 to 1	Borderline-SSD	YP_005239598	1 to 1	Borderline-SSD	NP_462312.1	1 to 1	SSD	NP_248707.1	1 to 1	SSD	YP_001086448	1 to 1	RBB	YP_002388759	1 to 1	SSD	WP_003142203.1
16131169	b3290	NP_417748.1	NAD-binding component of TrK potassium transporter	1 to 1	RBB	WP_003911948.1	1 to 1	SSD	YP_005239599	1 to 1	SSD	NP_462313.1	1 to 1	RBB	NP_248706.1	0	N/A		1 to 1	RBB	YP_002388760	1 to 1	SSD	WP_003111375.1
16131170	b3291	NP_417749.1	mechanosensitive channel protein, high conductance	1 to 1	RBB	WP_003405128.1	1 to 1	Borderline-SSD	YP_005239600	1 to 1	Borderline-SSD	NP_462314.1	1 to 1	SSD	NP_253304.1	1 to 1	RBB	YP_001085842	1 to 1	RBB	YP_002388761	1 to 1	RBB	WP_003094890.1
16131171	b3292	NP_417751.1	DNA-binding transcriptional activator in response to Zn(II)	1 to 2	RBB	WP_003900026.1	1 to 1	SSD	YP_005239602	1 to 1	SSD	NP_462316.1	1 to 1	RBB	NP_252379.1	0	N/A		1 to 1	RBB	YP_002388763	1 to 1	RBB	WP_003092490.1
16131172	b3293	NP_417752.1	conserved protein, DUF1992 family	0	N/A		1 to 1	SSD	YP_005239603	1 to 1	SSD	NP_462317.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388764	0	N/A	
16131173	b3294	NP_417753.1	50S ribosomal subunit protein L17	1 to 1	RBB	WP_003418346.1	1 to 1	SimNSSD	YP_005239604	1 to 1	SimNSSD	NP_462318.1	1 to 1	SSD	NP_252927.1	1 to 1	SSD	YP_001086054	1 to 1	RBB	YP_002388765	1 to 1	SSD	WP_003093672.1
16131174	b3295	NP_417754.1	RNA polymerase, alpha subunit	1 to 1	RBB	WP_003418351.1	1 to 1	SSD	YP_005239605	1 to 1	SSD	NP_462319.1	1 to 1	SSD	NP_252928.1	1 to 1	SSD	YP_001086055	1 to 1	RBB	YP_002388766	1 to 1	SSD	WP_003093675.1
16131175	b3296	NP_417755.1	30S ribosomal subunit protein S4	1 to 1	RBB	WP_003418354.1	1 to 1	SSD	YP_005239606	1 to 1	SSD	NP_462320.1	1 to 1	SSD	NP_252929.1	1 to 1	SSD	YP_001086056	1 to 1	RBB	YP_002388767	1 to 1	SSD	WP_003093678.1
16131176	b3297	NP_417756.1	30S ribosomal subunit protein S11	1 to 1	RBB	WP_003900064.1	1 to 1	SSD	YP_005239607	1 to 1	SSD	NP_462321.1	1 to 1	SSD	NP_252930.1	1 to 1	SSD	YP_001086057	1 to 1	RBB	YP_002388768	1 to 1	SSD	WP_003093689.1
16131177	b3298	NP_417757.1	30S ribosomal subunit protein S13	1 to 1	RBB	WP_003418360.1	1 to 1	SSD	YP_005239608	1 to 1	SSD	NP_462322.1	1 to 1	SSD	NP_252931.1	1 to 1	SSD	YP_001086058	1 to 1	RBB	YP_002388769	1 to 1	SSD	WP_003093692.1
16131178	b3299	NP_417758.1	50S ribosomal subunit protein L36	1 to 1	RBB	WP_003418367.1	1 to 1	Borderline-SSD	YP_005239609	1 to 1	Borderline-SSD	NP_462323.1	1 to 1	SSD	NP_252932.1	1 to 1	RBB	YP_001086059	0	N/A		1 to 1	RBB	WP_003093693.1
16131179	b3300	NP_417759.1	preprotein translocase membrane subunit	1 to 1	RBB	WP_003403723.1	1 to 1	SSD	YP_005239610	1 to 1	SSD	NP_462324.1	1 to 1	SSD	NP_252933.1	1 to 1	SSD	YP_001086060	1 to 1	RBB	YP_002388770	1 to 1	SSD	WP_003093694.1
16131180	b3301	NP_417760.1	50S ribosomal subunit protein L15	0	N/A		1 to 1	SSD	YP_005239611	1 to 1	SSD	NP_462325.1	1 to 1	SSD	NP_252934.1	1 to 1	SSD	YP_001086061	1 to 1	RBB	YP_002388771	1 to 1	SSD	WP_003093695.1
16131181	b3302	NP_417761.1	50S ribosomal subunit protein L30	1 to 1	RBB	WP_003403683.1	1 to 1	SimNSSD	YP_005239612	1 to 1	SimNSSD	NP_462326.1	1 to 1	SSD	NP_252935.1	1 to 1	SSD	YP_001086062	1 to 1	RBB	YP_002388772	1 to 1	SSD	WP_003093696.1
16131182	b3303	NP_417762.1	30S ribosomal subunit protein S5	1 to 1	RBB	WP_003403680.1	1 to 1	SSD	YP_005239613	1 to 1	SSD	NP_462327.1	1 to 1	SSD	NP_252936.1	1 to 1	SSD	YP_001086063	1 to 1	RBB	YP_002388773	1 to 1	SSD	WP_003093697.1
16131183	b3304	NP_417763.1	50S ribosomal subunit protein L18	1 to 1	RBB	WP_003403677.1	1 to 1	SimNSSD	YP_005239614	1 to 1	SimNSSD	NP_462328.1	1 to 1	SSD	NP_252937.1	1 to 1	Borderline-SSD	YP_001086064	1 to 1	RBB	YP_002388774	1 to 1	SSD	WP_003093698.1
16131184	b3305	NP_417764.1	50S ribosomal subunit protein L6	1 to 1	RBB	WP_003403673.1	1 to 1	SSD	YP_005239615	1 to 1	SSD	NP_462329.1	1 to 1	SSD	NP_252938.1	1 to 1	SSD	YP_001086065	1 to 1	RBB	YP_002388775	1 to 1	SSD	WP_003093699.1
16131185	b3306	NP_417765.1	30S ribosomal subunit protein S8	1 to 1	RBB	WP_003403669.1	1 to 1	SSD	YP_005239616	1 to 1	SSD	NP_462330.1	1 to 1	SSD	NP_252939.1	1 to 1	SSD	YP_001086066	1 to 1	RBB	YP_002388776	1 to 1	SSD	WP_003093700.1
16131186	b3307	NP_417766.1	30S ribosomal subunit protein S14	1 to 1	RBB	WP_003410624.1	1 to 1	Borderline-SSD	YP_005239617	1 to 1	Borderline-SSD	NP_462331.3	1 to 1	SSD	NP_252940.1	1 to 1	SSD	YP_001086067	1 to 1	RBB	YP_002388777	1 to 1	SSD	WP_003093701.1
16131187	b3308	NP_417767.1	50S ribosomal subunit protein L5	1 to 1	RBB	WP_003403660.1	1 to 1	SimNSSD	YP_005239618	1 to 1	SimNSSD	NP_462332.1	1 to 1	SSD	NP_252941.1	1 to 1	SSD	YP_001086068	1 to 1	RBB	YP_002388778	1 to 1	SSD	WP_003093703.1
16131188	b3309	NP_417768.1	50S ribosomal subunit protein L24	1 to 1	RBB	WP_003403654.1	1 to 1	SSD	YP_005239619	1 to 1	SSD	NP_462333.1	1 to 1	SSD	NP_252942.1	1 to 1	SSD	YP_001086069	1 to 1	RBB	YP_002388779	1 to 1	SSD	WP_003093711.1
16131189	b3310	NP_417769.1	50S ribosomal subunit protein L14	1 to 1	RBB	WP_003403649.1	1 to 1	SimNSSD	YP_005239620	1 to 1	SimNSSD	NP_462334.1	1 to 1	SSD	NP_252943.1	1 to 1	SSD	YP_001086070	1 to 1	RBB	YP_002388780	1 to 1	SSD	WP_003093714.1
16131190	b3311	NP_417770.1	30S ribosomal subunit protein S17	1 to 1	RBB	WP_031647119.1	1 to 1	SSD	YP_005239621	1 to 1	SSD	NP_462335.1	1 to 1	SSD	NP_252944.1	1 to 1	SSD	YP_001086071	1 to 1	RBB	YP_002388781	1 to 1	SSD	WP_003093717.1
16131191	b3312	NP_417771.1	50S ribosomal subunit protein L29	1 to 1	RBB	WP_003403594.1	1 to 1	SSD	YP_005239622	1 to 1	SSD	NP_462336.1	1 to 1	SSD	NP_252945.1	1 to 1	RBB	YP_001086072	1 to 1	RBB	YP_002388782	1 to 1	SSD	WP_003093720.1
16131192	b3313	NP_417772.1	50S ribosomal subunit protein L16	1 to 1	RBB	WP_003403592.1	1 to 1	SSD	YP_005239623	1 to 1	SSD	NP_462337.1	1 to 1	SSD	NP_252946.1	1 to 1	SSD	YP_001086073	1 to 1	RBB	YP_002388783	1 to 1	SSD	WP_003093723.1
16131193	b3314	NP_417773.1	30S ribosomal subunit protein S3	1 to 1	RBB	WP_003403590.1	1 to 1	SSD	YP_005239624	1 to 1	SSD	NP_462338.1	1 to 1	SSD	NP_252947.1	1 to 1	SSD	YP_001086074	1 to 1	RBB	YP_002388784	1 to 1	SSD	WP_003093727.1
16131194	b3315	NP_417774.1	50S ribosomal subunit protein L22	1 to 1	RBB	WP_003403587.1	1 to 1	SSD	YP_005239625	1 to 1	SSD	NP_462339.1	1 to 1	SSD	NP_252948.1	1 to 1	SSD	YP_001086075	1 to 1	RBB	YP_002388785	1 to 1	SSD	WP_003103908.1
16131195	b3316	NP_417775.1	30S ribosomal subunit protein S19	1 to 1	RBB	WP_003403584.1	1 to 1	SimNSSD	YP_005239626	1 to 1	SimNSSD	NP_462340.1	1 to 1	SSD	NP_252949.1	0	N/A		1 to 1	RBB	YP_002388786	1 to 1	SSD	WP_003093734.1
16131196	b3317	NP_417776.1	50S ribosomal subunit protein L2	1 to 1	RBB	WP_003403582.1	1 to 1	SimNSSD	YP_005239627	1 to 1	SimNSSD	NP_462341.1	1 to 1	SSD	NP_252950.1	1 to 1	SSD	YP_001086076	1 to 1	RBB	YP_002388787	1 to 1	SSD	WP_003103878.1
16131197	b3318	NP_417777.1	50S ribosomal subunit protein L23	1 to 1	RBB	WP_003403581.1	1 to 1	SimNSSD	YP_005239628	1 to 1	SimNSSD	NP_462342.1	1 to 1	SSD	NP_252951.1	1 to 1	SSD	YP_001086077	1 to 1	RBB	YP_002388788	1 to 1	SSD	WP_003093736.1
16131198	b3319	NP_417778.1	50S ribosomal subunit protein L4	1 to 1	RBB	WP_003403580.1	1 to 1	SSD	YP_005239629	1 to 1	SSD	NP_462343.1	1 to 1	SSD	NP_252952.1	1 to 1	SSD	YP_001086078	1 to 1	RBB	YP_002388789	1 to 1	SSD	WP_003093737.1
16131199	b3320	NP_417779.1	50S ribosomal subunit protein L3	1 to 1	RBB	WP_003403579.1	1 to 1	Borderline-SSD	YP_005239630	1 to 1	Borderline-SSD	NP_462344.1	1 to 1	SSD	NP_252953.1	1 to 1	SSD	YP_001086079	1 to 1	RBB	YP_002388790	1 to 1	SSD	WP_003103877.1
16131200	b3321	NP_417780.1	30S ribosomal subunit protein S10	1 to 1	RBB	WP_003403578.1	1 to 1	SimNSSD	YP_005239631	1 to 1	SimNSSD	NP_462345.1	1 to 1	SSD	NP_252954.1	1 to 1	SSD	YP_001086080	1 to 1	RBB	YP_002388791	1 to 1	SSD	WP_003103876.1
16131201	b3322	NP_417781.1	part of gsp divergon involved in type II protein secretion	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16131202	b3323	NP_417782.1	general secretory pathway component, cryptic	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16131203	b3324	NP_417783.1	general secretory pathway component, cryptic	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002388450	0	N/A	
90111569	b3325	NP_417784.4	general secretory pathway component, cryptic	0	N/A		0	N/A		0	N/A		2 to 1	SSD	NP_250559.1;NP_251795.1	1 to 1	SSD	YP_001083348	1 to 1	RBB	YP_002388449	2 to 1	RBB	WP_003138518.1;WP_003139899.1
16131205	b3326	NP_417785.1	general secretory pathway component, cryptic	0	N/A		0	N/A		0	N/A		1 to 1	SSD	NP_251793.1	1 to 1	SSD	YP_001083667	1 to 1	RBB	YP_002388448	1 to 1	RBB	WP_003110065.1
16131206	b3327	NP_417786.1	general secretory pathway component, cryptic	0	N/A		0	N/A		0	N/A		1 to 1	SSD	NP_251792.1	1 to 1	SSD	YP_001083431	1 to 1	RBB	YP_002388447	1 to 1	RBB	WP_003091376.1
16131207	b3328	NP_417787.1	pseudopilin, cryptic, general secretion pathway	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_251791.1	1 to 1	SSD	YP_001083432	1 to 1	RBB	YP_002388446	1 to 1	RBB	WP_003091375.1
16131208	b3329	NP_417788.1	predicted general secretory pathway component, cryptic	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111570	b3330	NP_417789.4	general secretory pathway component, cryptic	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_251789.1	0	N/A		0	N/A		1 to 1	RBB	WP_003091373.1
16131210	b3331	NP_417790.1	predicted general secretory pathway component, cryptic	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002388443	0	N/A	
16131211	b3332	NP_417791.1	general secretory pathway component, cryptic	0	N/A		0	N/A		0	N/A		1 to 1	SSD	NP_251787.1	1 to 1	RBB	YP_001084594	1 to 1	RBB	YP_002388442	1 to 1	RBB	WP_003138522.1
90111571	b3333	NP_417792.2	general secretory pathway component, cryptic	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111572	b3334	NP_417793.2	general secretory pathway component, cryptic	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16131214	b3335	NP_417794.1	bifunctional prepilin leader peptidase/ methylase	0	N/A		1 to 1	RBB	YP_005239632	1 to 1	RBB	NP_462346.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388793	0	N/A	
16131215	b3336	NP_417795.1	bacterioferritin, iron storage and detoxification protein	1 to 1	RBB	WP_003409398.1	1 to 1	Non-SSD	YP_005239633	1 to 1	Non-SSD	NP_462347.1	1 to 1	RBB	NP_252221.1	1 to 1	SSD	YP_001086174	1 to 1	RBB	YP_002388794	1 to 1	SSD	WP_003092078.1
16131216	b3337	NP_417796.1	bacterioferritin-associated ferredoxin	0	N/A		1 to 1	SSD	YP_005239634	1 to 1	SSD	NP_462348.1	1 to 1	RBB	NP_252220.1	1 to 1	RBB	YP_001086173	1 to 1	RBB	YP_002388795	1 to 1	Borderline-SSD	WP_003092075.1
16131217	b3338	NP_417797.1	periplasmic endochitinase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16131218	b3339	NP_417798.1	protein chain elongation factor EF-Tu (duplicate of tufB)	1 to 2	RBB	WP_003403463.1	2 to 2	SSD	YP_005239636;YP_005240424	2 to 2	SSD	NP_462349.1;NP_463015.1	2 to 2	RBB	NP_252967.1;NP_252955.1	2 to 2	RBB	YP_001083352;YP_001083903	1 to 1	RBB	YP_002388796	2 to 2	SSD	WP_003115146.1
16131219	b3340	NP_417799.1	protein chain elongation factor EF-G, GTP-binding	1 to 1	RBB	WP_003898554.1	1 to 1	SSD	YP_005239637	1 to 1	SSD	NP_462350.1	2 to 1	RBB	NP_250761.1;NP_252956.1	1 to 1	Borderline-SSD	YP_001083902	1 to 1	RBB	YP_002388797	2 to 1	RBB	WP_003139642.1;WP_003093741.1
16131220	b3341	NP_417800.1	30S ribosomal subunit protein S7	1 to 1	RBB	WP_003403456.1	1 to 1	SSD	YP_005239638	1 to 1	SSD	NP_462351.1	1 to 1	SSD	NP_252957.1	1 to 1	SSD	YP_001083901	1 to 1	RBB	YP_002388798	1 to 1	SSD	WP_003093742.1
16131221	b3342	NP_417801.1	30S ribosomal subunit protein S12	1 to 1	RBB	WP_003403453.1	1 to 1	SSD	YP_005239639	1 to 1	SSD	NP_462352.1	1 to 1	SSD	NP_252958.1	1 to 1	SSD	YP_001083900	1 to 1	RBB	YP_002388799	1 to 1	SSD	WP_003093744.1
16131222	b3343	NP_417802.1	protein required for 2-thiolation step of mnm(5)-s(2)U34-tRNA synthesis	0	N/A		1 to 1	SSD	YP_005239640	1 to 1	SSD	NP_462353.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388800	0	N/A	
16131223	b3344	NP_417803.1	protein required for 2-thiolation step of mnm(5)-s(2)U34-tRNA synthesis	0	N/A		1 to 1	SSD	YP_005239641	1 to 1	SSD	NP_462354.1	1 to 1	RBB	NP_251296.1	0	N/A		1 to 1	RBB	YP_002388801	1 to 1	RBB	WP_003090389.1
16131224	b3345	NP_417804.1	sulfurtransferase for 2-thiolation step of mnm(5)-s(2)U34-tRNA synthesis	0	N/A		1 to 1	SSD	YP_005239642	1 to 1	SSD	NP_462355.1	1 to 1	RBB	NP_251295.1	1 to 1	RBB	YP_001085017	1 to 1	RBB	YP_002388802	1 to 1	RBB	WP_003090387.1
90111573	b3346	NP_417805.4	conserved protein	0	N/A		1 to 1	SSD	YP_005239643	1 to 1	SSD	NP_462356.1	1 to 1	RBB	NP_252553.1	1 to 1	RBB	YP_001085414	1 to 1	RBB	YP_002388803	1 to 1	RBB	WP_003092943.1
16131226	b3347	NP_417806.1	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	0	N/A		1 to 1	SSD	YP_005239644	1 to 1	SSD	NP_462357.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388804	0	N/A	
16131227	b3348	NP_417807.1	protein required for phi X174 lysis	0	N/A		1 to 1	SSD	YP_005239645	1 to 1	SSD	NP_462358.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388805	0	N/A	
16131228	b3349	NP_417808.1	FKBP-type peptidyl prolyl cis-trans isomerase (rotamase)	0	N/A		1 to 1	SSD	YP_005239646	1 to 1	SSD	NP_462359.1	1 to 1	RBB	NP_249528.1	1 to 1	SSD	YP_001085501	1 to 1	RBB	YP_002388806	1 to 1	SSD	WP_003085816.1
16131229	b3350	NP_417809.1	potassium:proton antiporter	0	N/A		1 to 1	SSD	YP_005239648	1 to 1	SSD	NP_462361.1	1 to 2	RBB	NP_249898.1	1 to 2	RBB	YP_001083429	1 to 1	RBB	YP_002388808	1 to 2	RBB	WP_003086638.1
16131230	b3351	NP_417810.1	component of potassium effux complex with KefB	0	N/A		1 to 1	SSD	YP_005239649	1 to 1	SSD	NP_462362.1	3 to 2	RBB	NP_249915.1;NP_253662.1;NP_249916.1	1 to 1	RBB	YP_001086249	1 to 1	RBB	YP_002388809	2 to 2	RBB	WP_003140470.1;WP_003102071.1
16131231	b3352	NP_417811.1	fused predicted transporter subunits of ABC superfamily: ATP-binding components	1 to 2	RBB	WP_003407507.1	1 to 1	Borderline-SSD	YP_005239651	1 to 1	Borderline-SSD	NP_462363.1	1 to 1	SSD	NP_253939.1	1 to 1	SSD	YP_001083106	1 to 1	RBB	YP_002388810	1 to 1	SSD	WP_003141958.1
16131232	b3353	NP_417812.1	predicted hydrolase	0	N/A		1 to 1	SSD	YP_005239654	1 to 1	SSD	NP_462365.1	1 to 1	Borderline-SSD	NP_249059.1	1 to 1	RBB	YP_001084931	1 to 1	RBB	YP_002388811	1 to 1	SSD	WP_003084490.1
16131233	b3354	NP_417813.1	conserved protein	0	N/A		1 to 1	SSD	YP_005239655	1 to 1	SSD	NP_462366.1	1 to 1	RBB	NP_252153.1	0	N/A		1 to 1	RBB	YP_002388812	1 to 1	RBB	WP_003091959.1
16131234	b3355	NP_417814.1	predicted phosphoribulokinase	0	N/A		1 to 1	SSD	YP_005239656	1 to 1	SSD	NP_462367.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388813	0	N/A	
16131235	b3356	NP_417815.1	conserved protein, OsmC family	0	N/A		1 to 1	SSD	YP_005239657	1 to 1	SSD	NP_462368.1	1 to 1	RBB	NP_249344.1	1 to 1	SSD	YP_001084215	1 to 1	RBB	YP_002388814	1 to 1	Borderline-SSD	WP_003085219.1
16131236	b3357	NP_417816.1	DNA-binding transcriptional dual regulator	1 to 1	RBB	WP_003419728.1	1 to 1	SimNSSD	YP_005239659	1 to 1	SimNSSD	NP_462369.1	1 to 1	RBB	NP_249343.1	1 to 1	RBB	YP_001084214	1 to 1	RBB	YP_002388816	1 to 1	SSD	WP_003085214.1
90111574	b3358	NP_417817.2	conserved inner membrane protein	0	N/A		1 to 1	SSD	YP_005239660	1 to 1	SSD	NP_462370.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388817	0	N/A	
16131238	b3359	NP_417818.1	bifunctional acetylornithine aminotransferase/ succinyldiaminopimelate aminotransferase	1 to 2	RBB	WP_003408163.1	1 to 1	SSD	YP_005239661	1 to 1	SSD	NP_462371.1	1 to 1	RBB	NP_249586.1	1 to 2	RBB	YP_001086131	1 to 1	RBB	YP_002388818	1 to 1	RBB	WP_003140819.1
16131239	b3360	NP_417819.1	aminodeoxychorismate synthase, subunit II	1 to 1	RBB	WP_003899773.1	1 to 1	SSD	YP_005239662	1 to 1	SSD	NP_462372.1	1 to 1	SSD	NP_249340.1	1 to 1	Borderline-SSD	YP_001085376	1 to 1	RBB	YP_002388819	1 to 1	SSD	WP_003117978.1
